,MAE,MAE,RMSE,RMSE,NMAE,NMAE,R2_det,R2_det
,mean,std,mean,std,mean,std,mean,std
channel,,,,,,,,
strain,10.7245,0.6975,15.4749,1.2296,0.4641,0.0343,0.6973,0.0536
Pauli,28.5937,2.2139,45.4904,6.0461,0.3511,0.0223,0.8372,0.034
Velst,14.5195,1.1327,21.869,3.1164,0.3955,0.0235,0.8085,0.0417
oi,16.8036,1.2567,25.2966,2.2058,0.3047,0.016,0.8816,0.0149
disp,1.2011,0.1418,1.787,0.2076,0.2065,0.0258,0.9414,0.0122
barrier,10.2897,0.7088,14.0797,1.1673,0.3734,0.0305,0.8353,0.0257
