descriptor,beta,SE,t,p,CI_low,CI_high
d1,-11.088454545959916,2.204148756476298,-5.030719688668687,6.888955268458119e-07,-15.419292040861535,-6.757617051058297
d2,11.176714767435872,2.192310185408829,5.098144798041707,4.922408665120059e-07,6.8691383738162815,15.484291161055463
d3,6.270378868509669,6.429354980573453,0.9752733963913741,0.3299098416933306,-6.362385383942183,18.90314312096152
d4,2.711806289161588,5.390729500290817,0.5030499655037954,0.6151570391666858,-7.880207238117231,13.303819816440408
d7,-10600.94784254532,6.429437670503534,-1648.8141554244332,0.0,-10613.580769271673,-10588.314915818966
d8,7744856.576106613,0.6661905545236755,11625587.489219455,0.0,7744855.267137323,7744857.885075903
d9,-5756616.417352938,0.9159490738208118,-6284865.154499967,0.0,-5756618.217062046,-5756614.61764383
d10,-3683580.0317595312,1.1232858635352652,-3279289.9397544023,0.0,-3683582.238855818,-3683577.8246632447
d11,-833211.1254706699,1.0501504378662774,-793420.7285230578,0.0,-833213.1888662907,-833209.0620750492
d12,945484.6655864135,1.1700837771154948,808048.6919639498,0.0,945482.3665389108,945486.9646339162
d13,1319907.2185379036,1.3286393064264912,993427.7965085397,0.0,1319904.6079514318,1319909.8291243755
d14,1609836.1377505108,0.8437361532588655,1907985.2528929138,0.0,1609834.479929478,1609837.7955715437
d15,0.6980713222451573,4.6586020484802155,0.14984566506874963,0.8809485450028585,-8.455416329667125,9.85155897415744
d16,-0.04993683590159222,4.282070225529512,-0.0116618442182174,0.9907001909638251,-8.46359323456148,8.363719562758297
d17,-22.899553751419308,4.241686050392041,-5.398691340982862,1.0517080784033794e-07,-31.233861013877686,-14.565246488960932
d18,3.6249987356874094,3.6535315467040608,0.9921903477082629,0.32159840609751966,-3.553668931265948,10.803666402640767
d19,-2.596460680680132,1.8212122154386947,-1.4256771718691195,0.15460350051318428,-6.174882566054164,0.9819612046939006
d20,7.965214978350303,2.344262504924321,3.3977487425656028,0.0007352316763598044,3.3590739797505034,12.571355976950102
d21,3.8530439959994927,1.8614026629076503,2.0699680261447297,0.03898304077021297,0.19565362162307176,7.510434370375913
d22,6.0021786712283545,1.0599534378165687,5.662681450981876,2.552913547226865e-08,3.919521555705657,8.084835786751052
d23,1.499248788917283,1.909159986567872,0.7852923796148206,0.432664814446426,-2.251977905424443,5.2504754832590095
d24,-4.452263238707251,6.139274005242877,-0.7252100549519477,0.4686722060678066,-16.515059805979956,7.610533328565453
