lambda,channel,metric,point,ci_lo,ci_hi
0.0,strain,NMAE,0.3948143737549145,0.3627057793457076,0.4278669465035134
0.0,strain,RMSE,14.38593424513278,12.902738396507416,16.012682558777055
0.0,strain,R2,0.7437026831876109,0.6992038942492029,0.7848655853564
0.0,Pauli,NMAE,0.4426002595902716,0.3975910675355509,0.48999077208925035
0.0,Pauli,RMSE,65.88944051083753,59.221863274712334,73.1511304791141
0.0,Pauli,R2,0.6615838696278283,0.6105433493401229,0.7093522115622712
0.0,elst,NMAE,0.4628844687280468,0.41785250806159485,0.5096326862539937
0.0,elst,RMSE,29.840857615383836,26.9367220981349,32.80775025767895
0.0,elst,R2,0.6465741229876464,0.5875772773224928,0.7042204742406959
0.0,oi,NMAE,0.4355349730277008,0.3944207206005127,0.4794242561380317
0.0,oi,RMSE,41.678632997116814,37.695108209827815,45.57393081411732
0.0,oi,R2,0.6806130939899051,0.6311231069121674,0.7273830910799344
0.0,disp,NMAE,0.19513805324562056,0.17609881454898452,0.2160261032311443
0.0,disp,RMSE,1.9822559700817148,1.7331150010432699,2.25422577030822
0.0,disp,R2,0.9289102084272902,0.915152128951708,0.941471690492946
0.0,barrier,NMAE,0.6325310142360356,0.5910613662540916,0.6769406300180855
0.0,barrier,RMSE,24.175800533666667,22.581739382635355,25.76844143610184
0.0,barrier,R2,0.5184889435135513,0.4741349534785797,0.5618199597860769
0.25,strain,NMAE,0.33756344077170947,0.31120003798569,0.3672806919132903
0.25,strain,RMSE,12.210564019941888,10.902509951372522,13.666599984489496
0.25,strain,R2,0.8153542279948638,0.7806478695933596,0.8462011085249938
0.25,Pauli,NMAE,0.3513081657317847,0.3143183688332478,0.39185965325100713
0.25,Pauli,RMSE,53.70372074334587,47.60869372026064,60.383925259996815
0.25,Pauli,R2,0.7751835077741253,0.7403336036691065,0.8096531136224734
0.25,elst,NMAE,0.369535758436543,0.3336966954199059,0.40807810884065066
0.25,elst,RMSE,24.0496072717595,21.545547922115265,26.763351801015887
0.25,elst,R2,0.7704423759953907,0.7293647986895069,0.8082907606794771
0.25,oi,NMAE,0.3510854464231763,0.3163302889583861,0.3867113855588379
0.25,oi,RMSE,33.720735810116956,30.252915957697763,37.18598191109532
0.25,oi,R2,0.7909335908055534,0.758402232898455,0.8220799888817605
0.25,disp,NMAE,0.15517222942366116,0.14024100294575642,0.1711758166491385
0.25,disp,RMSE,1.569347373414425,1.3393584540925463,1.8123970868513744
0.25,disp,R2,0.9554419740980438,0.9434410905113954,0.9651099184599107
0.25,barrier,NMAE,0.5123236928926063,0.4762831603000119,0.5489223871610915
0.25,barrier,RMSE,19.766453767038694,18.455707290142357,21.066831039920576
0.25,barrier,R2,0.6781140220677415,0.6467496895501395,0.7068885906807192
0.5,strain,NMAE,0.28628612474851917,0.26334259284701933,0.3119569601894669
0.5,strain,RMSE,10.365196870554964,9.158869619936016,11.630702976513044
0.5,strain,R2,0.8669475033496867,0.8396019944457722,0.8895040033945258
0.5,Pauli,NMAE,0.27596312027776404,0.2472396248693327,0.31035455396688383
0.5,Pauli,RMSE,42.590358841889596,37.545706600481395,48.10895117377445
0.5,Pauli,R2,0.8586024078444855,0.8370393397084621,0.8793120470240887
0.5,elst,NMAE,0.30538690994429385,0.27810328538741524,0.3367111291833274
0.5,elst,RMSE,19.40448456521271,17.32048050343571,21.55534424161591
0.5,elst,R2,0.8505554898345122,0.8237899414575176,0.8751693895116491
0.5,oi,NMAE,0.2749732414264379,0.24860765359292092,0.30302845098437386
0.5,oi,RMSE,26.009967320621026,23.162986666564823,28.935729805365256
0.5,oi,R2,0.8756144909508935,0.8566655926066257,0.8937251711205021
0.5,disp,NMAE,0.14568044353937612,0.13194154884000778,0.1610374447710098
0.5,disp,RMSE,1.50786285140215,1.3029113856245031,1.7335991765743293
0.5,disp,R2,0.9588650043696796,0.9485577586598009,0.9676190107439566
0.5,barrier,NMAE,0.4148794329451336,0.3859678742963469,0.44528241499628435
0.5,barrier,RMSE,16.48852911226754,15.314224433663464,17.667750848006314
0.5,barrier,R2,0.7760204503682255,0.7492295925329269,0.8001911377829252
0.75,strain,NMAE,0.2880234308107819,0.2653496225527571,0.31397232443740397
0.75,strain,RMSE,10.29770586776047,9.227844206027319,11.414674580190933
0.75,strain,R2,0.8686745542212233,0.8455512910424554,0.8881424497910302
0.75,Pauli,NMAE,0.21183168761338994,0.1898919256965088,0.23908207739754664
0.75,Pauli,RMSE,32.92345968138265,28.56220615374942,37.603159200288395
0.75,Pauli,R2,0.9155051290503209,0.8989251516622628,0.9316233203826799
0.75,elst,NMAE,0.2721174553334135,0.2502831664239826,0.2973010225281616
0.75,elst,RMSE,16.171343020168024,14.497952788549563,17.986577467452946
0.75,elst,R2,0.8962070341245946,0.8782218073512424,0.9135160033306886
0.75,oi,NMAE,0.19775689389377932,0.1789430381929682,0.2189304714824449
0.75,oi,RMSE,19.03918909915219,16.67513956625972,21.488058491837627
0.75,oi,R2,0.9333520079798802,0.9210142838891452,0.9449026762524823
0.75,disp,NMAE,0.23193046648232496,0.2096002232420365,0.2552768004062949
0.75,disp,RMSE,2.3735544792860166,2.110886333741519,2.646323773891135
0.75,disp,R2,0.898073718462534,0.8819778950941333,0.9121693802932306
0.75,barrier,NMAE,0.3794375346765287,0.3528569283892274,0.4083702515965999
0.75,barrier,RMSE,14.816416496759967,13.74101713578981,15.937869059531705
0.75,barrier,R2,0.8191448451697692,0.7972485807553173,0.8376287341312616
1.0,strain,NMAE,0.2270675953268933,0.2069566235970108,0.24822421177263562
1.0,strain,RMSE,8.398465434887608,7.487519360153079,9.416585643893209
1.0,strain,R2,0.912649017122243,0.8925410930497113,0.928999672094399
1.0,Pauli,NMAE,0.20512994514492405,0.18533052872727393,0.22776002084428165
1.0,Pauli,RMSE,30.192269952390316,26.747367941244743,33.725221566074154
1.0,Pauli,R2,0.9289423325146922,0.9158123005956957,0.9420461628967544
1.0,elst,NMAE,0.26547495502306845,0.24320452940657222,0.2920610509636998
1.0,elst,RMSE,16.269932357212316,14.686831343389407,17.944006656001523
1.0,elst,R2,0.8949376191732521,0.8757052867475319,0.9120103192960182
