rxn_id,ok,n_atoms,rmsd_R_TS,shift,inter_R,inter_TS,p_order_ok,hit_cap,n_iso_max,max_disp_heavy,max_disp_h,recovery_used,reused,reason
0,True,19.0,0.4232585505440352,0.363536762593867,2.424978385435359,2.3177873523902055,True,False,12.0,0.5699068503747525,0.7503404497924926,,True,
1,True,19.0,0.737836538342055,0.9858182016105275,2.9825242038207636,2.274046823858295,True,False,12.0,0.36068995940983195,0.30012697017594675,,True,
2,True,16.0,0.435883642607423,0.5756419094541343,2.5794115053798725,2.1494940458396252,True,False,6.0,0.38413032163121336,0.24172197629972006,,True,
3,True,16.0,0.6701254491579997,0.9248751197737874,2.675583695380199,2.2598791960191145,True,False,6.0,0.4452922421253281,0.30428156534661205,,True,
4,True,23.0,0.961704455819976,0.8216619599552359,2.16000000000915,2.3147868828036846,True,False,72.0,1.6984535950938957,1.4530137830078496,,True,
5,True,19.0,1.8045792367422056,2.0201084998807346,2.6910000000024867,1.9101619919263393,True,False,6.0,1.6811812536056303,3.1089011069495065,,True,
6,True,19.0,1.2563477459837862,0.6835563406457368,2.4480000000059925,1.978658448065254,True,False,6.0,1.3543640537345527,3.134905390717601,,True,
7,True,24.0,1.0534109285955524,0.2538097944234323,2.3657537305160385,2.6185760580513984,True,False,36.0,1.1053513432514597,2.942102094663628,,True,
8,True,24.0,1.0488417387777706,0.17179023832431994,2.6427928444312823,2.6567282356500073,True,False,36.0,1.1079761991556614,2.983495171200011,,True,
9,True,23.0,0.42161415212565867,0.4736851258385286,2.5364782549046065,2.3764046391345053,True,False,144.0,0.37646016826708545,0.41466469621235424,,True,
10,True,23.0,0.42838944511098564,0.5454451944751781,2.4713120018518624,2.231384632935344,True,False,144.0,0.301186343717773,0.29929693194327733,,True,
13,True,24.0,0.9192806988790792,0.7723150268939207,2.7360000000080467,2.21217072295517,True,False,72.0,1.5428495518166763,1.5358936100007854,,True,
14,True,24.0,0.5561691760337302,0.6830240726158081,2.54302184780837,2.1474735878468914,True,False,36.0,0.5988379910606969,0.9584248623685281,,True,
15,True,24.0,0.863589134683898,0.6855513601694838,2.804920192889787,2.1088701694983505,True,False,36.0,1.6311440450185195,2.3421552675901247,,True,
16,True,24.0,1.2160975369297389,0.42854595207609236,2.6100000000044217,2.246886281879882,True,False,72.0,1.95835620212153,3.3150058257000135,,True,
17,True,24.0,1.2689310653769363,0.45120520729687996,2.853000000002042,2.436208860791701,True,False,72.0,3.2602411896285104,2.8628311694496937,,True,
18,True,24.0,0.07906703517804586,0.10389282241521869,2.448000000007479,2.303700824000374,True,False,12.0,0.03909382911220553,0.05215857358133729,,True,
19,True,24.0,0.8906735814977491,0.30732111012912355,2.6213580387612403,2.2474672948454666,True,False,12.0,0.8777774490649279,2.862731306367816,,True,
20,True,25.0,1.2198322396024948,0.9582422453167965,2.6100000000081236,2.1873706334775553,True,False,36.0,1.3683870265970195,3.1839499165742895,,True,
22,True,25.0,1.1723956916172613,1.4211168006258958,2.718000000000065,2.279399614745076,True,False,144.0,1.7698654282198178,1.3397026653562834,,True,
23,True,25.0,0.5925430005221743,0.8086575337947579,2.8930814354833068,2.1823165715816764,True,False,144.0,0.5434940487854263,0.45104464489407514,,True,
24,True,21.0,2.3538890171845472,2.885223894023511,2.5410516591522763,2.131498254679088,True,False,6.0,2.815756433511401,1.192647416819408,,True,
25,True,21.0,1.3989959039860946,1.5342407558346167,2.7588067673641046,2.241156704672835,True,False,6.0,1.8810794540605624,1.010262549775226,,True,
26,True,26.0,0.710798726692526,0.13081580277139437,2.281982144737903,2.3488895071075606,True,False,36.0,1.6989384450170226,1.7309292326628491,,True,
27,True,29.0,0.2724981484235021,0.2771659315621946,2.554850493574819,2.3066034809867086,True,False,16.0,0.669068672708257,0.5076773784811887,,True,
28,True,23.0,1.103201405621502,0.8939086604004842,2.6410039052128003,2.3213061077333164,True,False,72.0,2.015601049320682,1.2577722126247044,,True,
29,True,27.0,0.4648638657064097,0.6329158513653965,2.5873481510320904,2.1106951151930966,True,False,432.0,0.3446139104644,0.7515839466029569,,True,
30,True,27.0,0.621994129238812,0.7756531526501931,2.610000000003871,2.010113133358419,True,False,432.0,0.4235970152595213,1.2254021823636914,,True,
31,True,20.0,0.46900441001000265,0.4023198045688332,2.766995044581508,2.2481159148273475,True,False,36.0,0.6975007931518364,0.6269703812389258,,True,
33,True,21.0,0.339502551303746,0.35292373963966384,2.40300000000757,2.18009570812843,True,False,12.0,0.33851981778673,0.5145283475504507,,True,
34,True,21.0,0.4718457967034405,0.6011395263740269,2.85300000000596,2.1368737780224643,True,False,12.0,0.4507972750169712,0.23336004232885899,,True,
35,True,28.0,1.4289378460094158,0.9803235863109876,2.4703812939668834,2.3459830016008216,True,False,72.0,2.9955738349309673,2.9939406232006607,,True,
36,True,28.0,1.5499871469153685,1.4277228379287408,2.160000000005126,2.1860487227873033,True,False,72.0,3.0302543579562755,2.886728807870206,,True,
37,True,28.0,1.2977670242114625,0.7705332358491432,2.238966174386278,2.5468640360451125,True,False,72.0,3.0266806641505997,2.839076979965317,,True,
38,True,28.0,0.25834498875679757,0.24461639305081917,2.160000000005626,2.2851912771144565,True,False,72.0,0.2317842710253346,0.38141709180303146,,True,
41,True,26.0,1.1639704239959034,0.5315484279672091,2.160000000000735,2.2070499553476357,True,False,36.0,3.70685508685528,1.6212170397231556,,True,
42,True,26.0,0.5124812626634404,0.6181151438358938,2.6100000000013304,2.3355003043887623,True,False,36.0,0.5295387159014552,0.5839901358471263,,True,
44,True,28.0,1.2765375146290676,1.174364866285032,2.7360000000033025,2.5563966989495195,True,False,36.0,3.3717169875419857,1.968999598592208,,True,
45,True,28.0,1.4805501212081063,1.3451713597823982,2.1600000000104984,2.350366161835215,True,False,36.0,1.830639211066182,3.2576339831979553,,True,
46,True,28.0,1.0784276897244447,0.6486696183274034,2.1600000000032127,2.409164591658279,True,False,36.0,1.1051356933252798,3.046753526698682,,True,
47,True,26.0,1.3523469467274183,0.8574106721644057,2.7360000000005558,2.044780241052813,True,False,36.0,2.627297502290793,3.169360551839469,,True,
48,True,26.0,1.5279380745765085,0.8238156814513786,2.4480000000004813,1.8547596454797046,True,False,36.0,3.984636463296581,1.957823174891509,,True,
49,True,30.0,1.0524360000043607,0.6341167397840763,2.8907716494178977,2.3552831848845694,True,False,12.0,1.1072406371737298,2.9909410016235927,,True,
50,True,30.0,1.9008878549143886,0.7281064119561051,2.670838949840261,2.4463832252735878,True,False,12.0,3.332596520484583,4.207867332567444,,True,
51,True,29.0,2.035543430416231,2.039615499739739,2.448000000000634,2.4456912466826224,True,False,36.0,2.2691002860274114,3.362042235034961,,True,
52,True,29.0,1.253105984619559,0.38685491192154586,2.4750000000073773,2.2941040082350233,True,False,36.0,1.6388485268005129,2.9830486483463616,,True,
55,True,32.0,1.7170213522167759,1.1222352563818276,2.6100000000013055,2.5643133795423676,True,False,48.0,2.6334243093393694,4.54247507090827,,True,
56,True,32.0,1.787500448684566,0.8572781182047038,2.9815602447551117,2.5561636578669997,True,False,48.0,2.5933338740056047,4.648037400391433,,True,
57,True,27.0,1.0240429432500089,0.23782246440896415,2.2020197737985208,2.328090733133054,True,False,432.0,3.056699500453623,1.4776324408434098,,True,
58,True,27.0,0.4684333442104417,0.6200400580819405,2.403000000006866,2.295887025922661,True,False,432.0,0.42584324104229965,1.0298923254294337,,True,
61,True,31.0,0.3283556730517796,0.4858687877022021,2.6699851465428304,2.32861693717537,True,False,1296.0,0.3465997016761735,0.6108094593877758,,True,
62,True,31.0,0.9682773641113753,0.5187767224779236,2.8503253634183348,2.3510664661808267,True,False,1296.0,2.9640545729868313,1.9459347566456877,,True,
63,True,30.0,0.8605156239732864,0.6604243837828108,2.690508646164261,2.2559477499268463,True,False,144.0,1.0832518175743986,2.5535326030202214,,True,
64,True,30.0,0.47605293326860193,0.22825885002384894,2.8076342664709,2.3187701470607216,True,False,144.0,0.9455681046975886,1.1691222866431834,,True,
65,True,25.0,1.1904131899487875,1.0728590764701949,2.3017489506545448,2.1595497576578317,True,False,72.0,2.012827449001811,2.185231297753103,,True,
66,True,26.0,0.5141297126898805,0.5059614717029035,2.6880343505090645,2.2521476121471258,True,False,6.0,0.5990837346365258,0.692010060247135,,True,
67,True,26.0,1.3440171299146615,1.4480666506678972,2.9250000000077403,2.300034362808521,True,False,6.0,1.848464222692609,1.1570762526368643,,True,
68,True,31.0,0.3420089763016581,0.43645964658935554,2.8148578277970726,2.1526699704552947,True,False,72.0,0.30892541768514903,0.4399750071829066,,True,
69,True,31.0,1.0497656081166138,0.9023580150824273,2.6851421643742803,2.260990895824218,True,False,72.0,3.1641948089001186,1.4234862890815771,,True,
70,True,33.0,1.4544270234678132,0.523082302603143,2.380678394755641,2.038455368949735,True,False,144.0,2.374099865175786,4.294619535699263,,True,
71,True,33.0,1.4617278384892245,0.5950356674438808,2.358642796022113,2.184417792387711,True,False,144.0,2.342067212255922,4.260595369076401,,True,
72,True,25.0,0.8242567724381816,1.2846425636926142,3.1050000000075344,2.359940382594442,True,False,36.0,0.6746216461421538,0.8928673483175857,,True,
73,True,25.0,1.1594884296701373,0.3896195374072704,2.655000000010084,2.0933592312357665,True,False,36.0,1.5049635909284755,2.9640880952912583,,True,
74,True,26.0,1.7407524511780066,1.424717188001523,2.4750000000065637,2.1177824070003033,True,False,12.0,3.0497409675161657,2.718326411409673,,True,
75,True,26.0,1.752018737934201,1.424054580689699,2.160000000006984,2.0323564105244927,True,False,12.0,3.0334753165915034,2.777957081578898,,True,
76,True,26.0,1.6923981117346782,1.4852400268828205,2.160000000002943,2.1925899654062087,True,False,12.0,2.9475180545431603,2.36866510541062,,True,
77,True,26.0,0.9630194555513748,0.8877723059667915,2.206198871292517,1.9854009901025034,True,False,12.0,1.5250728028684242,1.5028315015289437,,True,
78,True,28.0,1.2070254935277713,0.7839286663765961,2.8530000000083513,2.292525900071796,True,False,36.0,3.13393740761974,2.9217600084961544,,True,
79,True,28.0,0.8668021141941774,0.17982844597645453,2.864353232313548,2.1840332267161138,True,False,36.0,1.2035935293997992,3.3338002787131678,,True,
80,True,22.0,0.6960685542178173,0.8273862935238867,2.655000000008739,2.4863070863833374,True,False,12.0,0.861166173165091,0.4152363905732564,,True,
81,True,22.0,0.3557254138777235,0.3629447488601727,2.8168030506953086,2.461744701710557,True,False,12.0,0.529556445977574,0.3074435585910193,,True,
