rxn_id,ok,rmsd,ref_d1,ref_d2,gen_d1,gen_d2,dd1,dd2
0,True,0.25999559651974524,2.317787352390206,2.5821387835281047,2.331351866932789,2.503283483394959,0.013564514542582895,-0.07885530013314579
1,True,0.18480544478280755,2.726961736548571,2.274046823858295,2.6518388881523323,2.2231044670775146,-0.07512284839623895,-0.05094235678078052
2,True,0.1282551079059384,2.1494940458396252,2.767116797787907,2.148968671310962,2.5540144681610557,-0.0005253745286633027,-0.21310232962685127
3,True,0.08867089404446052,2.2598791960191145,2.3656185143636326,2.392822148012259,2.323388544522418,0.13294295199314465,-0.04222996984121474
4,True,0.40350014095391973,2.3147868828036846,2.466140860251093,2.411135179921068,2.6998189027055126,0.09634829711738346,0.2336780424544198
5,True,0.8042446952789262,2.43570981861551,2.2245206772471233,2.3792440071058287,2.3994061668848397,-0.05646581150968144,0.17488548963771633
6,True,0.4887500911861101,2.8368228000705296,1.978658448065254,2.422932967115062,2.1965709452749302,-0.41388983295546744,0.2179124972096762
7,True,0.49297206003381905,2.7335646760045753,2.6185760580513984,2.4587944949332385,2.4984424679495825,-0.27477018107133677,-0.1201335901018159
8,True,0.46047224908366113,2.7952111279830008,2.6567282356500073,2.3972820200512497,2.4025007302410963,-0.39792910793175107,-0.2542275054089109
9,True,0.1816908701657047,2.514369713049376,2.3764046391345053,2.4680732365092006,2.371031947181227,-0.04629647654017521,-0.005372691953278164
10,True,0.24002217012870125,2.818936481955562,2.231384632935344,2.5516892332764582,2.1302910261053536,-0.26724724867910377,-0.10109360682999036
13,True,0.5368889502883082,2.21217072295517,2.2352757035766304,2.2943337983480085,2.3810778968918678,0.08216307539283862,0.14580219331523736
14,True,0.2378808435897892,2.1474735878468914,2.2305667087984613,1.9397432924036624,2.353403337257981,-0.20773029544322896,0.12283662845951948
15,True,0.7054174208936788,2.333316908330285,2.10887016949835,2.4964358154827453,2.27223201293904,0.16311890715246014,0.16336184344068982
16,True,0.9891827819744655,2.246886281879882,2.4117358964447164,2.2140330782192486,2.4222763082237333,-0.03285320366063349,0.010540411779016878
17,True,0.7225886252570007,2.650466585056299,2.436208860791701,2.378197331738054,2.460944105631414,-0.27226925331824514,0.024735244839712678
