arm,split,seed,fold,channel,train_mae,test_mae,n_train,n_test
A_diff,component,42,0,d1_own_dft,0.036978879973622286,1.719279193071628,1393,388
A_diff,component,42,0,d2_own_dft,0.029304487957959226,2.075820519942718,1393,388
A_diff,component,42,0,elst_dft,0.07886027699015212,3.7756897277795596,1393,388
A_diff,component,42,0,pauli_dft,0.1366932006658682,6.998062923798047,1393,388
A_diff,component,42,0,oi_dft,0.07617229456813085,3.5936524783224346,1393,388
A_diff,component,42,0,disp_dft,0.021604860703286356,1.13343568694618,1393,388
A_diff,component,42,0,cpcm_dft,0.04454592516939599,2.5023940693743962,1393,388
A_diff,component,42,1,d1_own_dft,0.033753089373989485,1.88495681004507,1394,387
A_diff,component,42,1,d2_own_dft,0.03467086033003233,1.3536896828119862,1394,387
A_diff,component,42,1,elst_dft,0.08047885356549928,4.265316715882274,1394,387
A_diff,component,42,1,pauli_dft,0.1324434704376209,7.037439626063283,1394,387
A_diff,component,42,1,oi_dft,0.0769350954250406,3.7615602087323134,1394,387
A_diff,component,42,1,disp_dft,0.02108906135238056,0.8677178875523063,1394,387
A_diff,component,42,1,cpcm_dft,0.051572772088030995,2.2824872363429582,1394,387
A_diff,component,42,2,d1_own_dft,0.041100293565557264,2.227917979572981,1394,387
A_diff,component,42,2,d2_own_dft,0.030897066408345036,1.9916480607895404,1394,387
A_diff,component,42,2,elst_dft,0.07962533126293177,5.166225622319643,1394,387
A_diff,component,42,2,pauli_dft,0.11589576543400201,9.9247967725752,1394,387
A_diff,component,42,2,oi_dft,0.07691479498226951,5.8840240212340795,1394,387
A_diff,component,42,2,disp_dft,0.02321716695730115,1.276254941012933,1394,387
A_diff,component,42,2,cpcm_dft,0.04351706161467576,3.0005855314184924,1394,387
A_diff,component,42,3,d1_own_dft,0.03596701870869487,2.6054583595644165,1394,387
A_diff,component,42,3,d2_own_dft,0.03308650409415129,2.1858238228896663,1394,387
A_diff,component,42,3,elst_dft,0.07213055279349265,5.148203629134025,1394,387
A_diff,component,42,3,pauli_dft,0.11919592369785768,9.03354762961103,1394,387
A_diff,component,42,3,oi_dft,0.05987793961803208,4.969686518933695,1394,387
