arm,channel,swap_type,n,mae_delta
A_diff,d1_own_dft,*C([H])([H])[H]>>*OC([H])([H])[H],110,0.9734742811358996
A_diff,d1_own_dft,*C([H])([H])[H]>>*[H],445,2.478225434143959
A_diff,d1_own_dft,*C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],400,1.4594009069029916
A_diff,d1_own_dft,*F>>*c1c([H])c([H])c([H])c([H])c1[H],10,1.0905520833982965
A_diff,d1_own_dft,*N([H])C([H])([H])[H]>>*OC([H])([H])[H],440,2.393200572150949
A_diff,d1_own_dft,*[H]>>*c1c([H])c([H])c([H])c([H])c1[H],445,2.133621452892264
A_diff,d2_own_dft,*/C([H])=C(\[H])C(=C([H])[H])C([H])([H])[H]>>*C([H])=O,140,3.4969128933303613
A_diff,d2_own_dft,*Br>>*C#N,10,1.0708530951582413
A_diff,d2_own_dft,*Br>>*Cl,30,1.3483079010230576
A_diff,d2_own_dft,*C#N>>*C(=O)C([H])([H])[H],490,1.9910736771845814
A_diff,d2_own_dft,*C#N>>*C(=O)N([H])C([H])([H])[H],660,2.258113058603083
A_diff,d2_own_dft,*C#N>>*C(=O)OC([H])([H])[H],305,2.670455003489276
A_diff,d2_own_dft,*C#N>>*C([H])([H])[H],500,1.0553817568895276
A_diff,d2_own_dft,*C#N>>*F,20,1.825582902540805
A_diff,d2_own_dft,*C#N>>*[H],125,2.234227292530764
A_diff,d2_own_dft,*C#N>>*c1c([H])c([H])c([H])c([H])c1[H],675,1.7721461322333618
A_diff,d2_own_dft,*C(=O)C([H])([H])[H]>>*C(=O)N([H])C([H])([H])[H],200,1.058578438943303
A_diff,d2_own_dft,*C(=O)C([H])([H])[H]>>*C(=O)OC([H])([H])[H],190,1.5303725225231002
A_diff,d2_own_dft,*C(=O)C([H])([H])[H]>>*C([H])([H])[H],455,1.630244625700356
A_diff,d2_own_dft,*C(=O)C([H])([H])[H]>>*[H],60,3.881034560473512
A_diff,d2_own_dft,*C(=O)C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],550,1.5929191427285705
A_diff,d2_own_dft,*C(=O)N([H])C([H])([H])[H]>>*C(=O)OC([H])([H])[H],285,1.2366400274681706
A_diff,d2_own_dft,*C(=O)N([H])C([H])([H])[H]>>*C([H])([H])[H],875,1.8393942933813034
A_diff,d2_own_dft,*C(=O)N([H])C([H])([H])[H]>>*Cl,20,2.7372484207478376
