arm,split,channel,n,mae_delta,mae_delta_std,median_err,sign_acc,spearman,slope,arm0_mae_delta,arm0_baseline_delta_zero,improve_vs_arm0,improve_vs_zero,verdict
A_diff,component,cpcm_dft,1936.0,2.546324223026214,0.02279615119472766,2.080809255854592,0.8215909090909091,0.8485278693477112,0.75631032944279,2.414926424403714,5.1617798208467125,-0.05441068402526783,0.5066964668383457,C_WORSE
A_diff,component,d1_own_dft,1936.0,2.089660659004371,0.01292234179380178,1.3949731111271526,0.9007231404958678,0.9443518150195505,0.8655809291165484,1.7180787020070365,6.614571969650818,-0.21627761089364372,0.6840822552703008,C_WORSE
A_diff,component,d2_own_dft,1936.0,1.9306702695448021,0.024743439739358303,1.3347746646116225,0.8792355371900827,0.9331932955825856,0.8792712160043756,1.7993759897636403,6.78357730761731,-0.07296656203487983,0.7153905407141385,C_WORSE
A_diff,component,disp_dft,1936.0,1.2194144507964844,0.016503876968207397,0.9139485084167591,0.8585743801652892,0.8709494770450826,0.6792323516601801,1.092913883853541,2.4986130621660614,-0.11574614323400367,0.5119634691498142,C_WORSE
A_diff,component,elst_dft,1936.0,4.671032312817485,0.030626413218317126,3.3208890848784707,0.7516528925619835,0.6674888605395011,0.42449790122464803,4.201663785212722,6.618378521592868,-0.11171015854639577,0.29423312710538485,C_WORSE
A_diff,component,oi_dft,1936.0,4.845537369433254,0.034913851507948616,3.359486923773548,0.7826446280991736,0.7208683786570189,0.5592124956657625,3.8305797010140266,7.644813819716968,-0.2649618981039734,0.36616672639744563,C_WORSE
A_diff,component,pauli_dft,1936.0,8.481923076790604,0.03251724391335262,5.849692445542106,0.7748966942148761,0.7097390307333977,0.4411083098689012,6.578409799963088,12.601847049688775,-0.28935766160967913,0.3269301679867571,C_WORSE
A_diff,swaptype_holdout,cpcm_dft,1936.0,2.5070600094769118,0.02329923360885742,2.046419370004851,0.8205578512396695,0.8471875044754139,0.7650521685385294,2.414926424403714,5.1617798208467125,-0.038151715158753596,0.5143031867900041,C_WORSE
A_diff,swaptype_holdout,d1_own_dft,1936.0,1.8733263761241676,0.014245984296625927,1.1895998162201535,0.9029958677685951,0.9451068395637545,0.8852719005351977,1.7180787020070365,6.614571969650818,-0.09036121217018334,0.7167879668224306,C_WORSE
A_diff,swaptype_holdout,d2_own_dft,1936.0,1.8154464799866505,0.007243142289647412,1.248270813975037,0.8799586776859505,0.931956526477434,0.9117720184176529,1.7993759897636403,6.78357730761731,-0.008931146305404036,0.7323762378372135,C_WORSE
A_diff,swaptype_holdout,disp_dft,1936.0,1.196533614534337,0.015393318679798684,0.9182520810697705,0.8644628099173554,0.8749399733080934,0.6959813723014981,1.092913883853541,2.4986130621660614,-0.09481051728928525,0.521120883960698,C_WORSE
A_diff,swaptype_holdout,elst_dft,1936.0,4.362909003938422,0.023362794072894537,3.0590352566043286,0.7630165289256199,0.7046595062027047,0.4836732346157143,4.201663785212722,6.618378521592868,-0.038376516296516616,0.34078883676656413,C_WORSE
A_diff,swaptype_holdout,oi_dft,1936.0,4.409306850657708,0.018648854906910838,2.903907421919091,0.8006198347107437,0.7482970357205921,0.6209205165913735,3.8305797010140266,7.644813819716968,-0.15108082713707316,0.42322900797328344,C_WORSE
A_diff,swaptype_holdout,pauli_dft,1936.0,7.645983809057658,0.043380340990361865,5.0025321774300675,0.793698347107438,0.7480991341948816,0.5184449400972984,6.578409799963088,12.601847049688775,-0.1622845097154879,0.3932648302340339,C_WORSE
B_concat,component,cpcm_dft,1936.0,2.858356263148887,0.024615978337950796,2.3992006944360664,0.7832644628099174,0.7894267249746341,0.6804095973445441,2.414926424403714,5.1617798208467125,-0.18362043425594776,0.44624599220506533,C_WORSE
B_concat,component,d1_own_dft,1936.0,2.5940666215844903,0.07346431425254674,1.7181240847924346,0.8607438016528925,0.9093135536747929,0.7524955569636044,1.7180787020070365,6.614571969650818,-0.5098648382953217,0.6078254748021994,C_WORSE
B_concat,component,d2_own_dft,1936.0,2.5356558690391315,0.062169700117686875,1.7707667073601798,0.8481404958677686,0.901726101653028,0.7924213440982879,1.7993759897636403,6.78357730761731,-0.40918623092898243,0.6262066821009274,C_WORSE
B_concat,component,disp_dft,1936.0,1.520720447591532,0.01883518777495026,1.250707971897223,0.8006198347107437,0.7878747709621611,0.5384520488648666,1.092913883853541,2.4986130621660614,-0.39143666308783054,0.391374170487522,C_WORSE
B_concat,component,elst_dft,1936.0,5.119574439125069,0.028264888936851133,3.81356270000619,0.7356404958677686,0.6005476157094415,0.33311436614136436,4.201663785212722,6.618378521592868,-0.21846361366248024,0.22646091902689736,C_WORSE
B_concat,component,oi_dft,1936.0,5.411689232887791,0.045158742037502565,4.031684684728268,0.7278925619834711,0.6455210694966926,0.47125192465035337,3.8305797010140266,7.644813819716968,-0.41275985758897393,0.29210974125617795,C_WORSE
B_concat,component,pauli_dft,1936.0,9.363147172380181,0.061957080811107894,6.828821695118117,0.7415289256198347,0.6447412336706716,0.39491088241151334,6.578409799963088,12.601847049688775,-0.42331466982076993,0.25700199855929684,C_WORSE
B_concat,swaptype_holdout,cpcm_dft,1936.0,2.476246357516632,0.02148008740452007,1.884633175193202,0.8178719008264462,0.8469517840682901,0.7309080292528881,2.414926424403714,5.1617798208467125,-0.02539205024768365,0.5202727657007189,C_WORSE
B_concat,swaptype_holdout,d1_own_dft,1936.0,1.990291765848091,0.03502298189469906,1.0948889924793836,0.9049586776859504,0.9332979031033715,0.8127287211080146,1.7180787020070365,6.614571969650818,-0.15844039247041408,0.6991049798868303,C_WORSE
B_concat,swaptype_holdout,d2_own_dft,1936.0,2.162282570658733,0.024670826770303536,1.4011131546968856,0.8565082644628099,0.9077953603736482,0.8489753327431553,1.7993759897636403,6.78357730761731,-0.20168468566859277,0.6812474491547851,C_WORSE
B_concat,swaptype_holdout,disp_dft,1936.0,1.3358518168262197,0.01005580991244229,1.051461963779511,0.8205578512396695,0.8345386887944034,0.624063109649742,1.092913883853541,2.4986130621660614,-0.22228460683114015,0.46536266977322116,C_WORSE
B_concat,swaptype_holdout,elst_dft,1936.0,4.31778987361386,0.03946009942289563,3.0625812818636553,0.7680785123966942,0.7065284367764608,0.48267811569847857,4.201663785212722,6.618378521592868,-0.02763812012037481,0.34760608515714175,C_WORSE
B_concat,swaptype_holdout,oi_dft,1936.0,4.564914757034346,0.04372322112394616,2.9433929103762546,0.7834710743801653,0.7266893069282501,0.5948368832819815,3.8305797010140266,7.644813819716968,-0.19170337477273414,0.4028743060738984,C_WORSE
B_concat,swaptype_holdout,pauli_dft,1936.0,7.507013492911308,0.05204810105059684,5.0891603228902,0.7901859504132231,0.7562531971833109,0.5404421451495202,6.578409799963088,12.601847049688775,-0.14115929551142137,0.40429260382931664,C_WORSE
C_symmetric,component,cpcm_dft,1936.0,2.582074438178082,0.017640048901090423,2.0963331453879164,0.8144628099173554,0.8444950586964293,0.7619120607535479,2.414926424403714,5.1617798208467125,-0.06921453675990952,0.49977051951151774,C_WORSE
C_symmetric,component,d1_own_dft,1936.0,1.9490466414984353,0.014596726025264222,1.3026063400998944,0.9034090909090908,0.9459106201156796,0.8805303163029071,1.7180787020070365,6.614571969650818,-0.13443385289718401,0.7053404739654945,C_WORSE
C_symmetric,component,d2_own_dft,1936.0,1.832741267820269,0.026490581771564457,1.2103839331426145,0.8898760330578511,0.9393335579763775,0.8957385917523941,1.7993759897636403,6.78357730761731,-0.018542693826325563,0.7298267293626512,C_WORSE
C_symmetric,component,disp_dft,1936.0,1.1249271902472724,0.0076291211828324965,0.8556151104138427,0.8714876033057852,0.8899203565659288,0.7088007548802221,1.092913883853541,2.4986130621660614,-0.029291700715571967,0.5497793526813364,C_WORSE
C_symmetric,component,elst_dft,1936.0,4.505095294214306,0.06822530028572206,3.282925197381463,0.7604338842975207,0.7200380699180307,0.4571832161173458,4.201663785212722,6.618378521592868,-0.07221698939107801,0.31930528308162576,C_WORSE
C_symmetric,component,oi_dft,1936.0,4.6427774139334455,0.06445807406500045,3.2655048852368522,0.7773760330578512,0.7531855045172865,0.5947623680130121,3.8305797010140266,7.644813819716968,-0.21202997361062992,0.3926892762307541,C_WORSE
C_symmetric,component,pauli_dft,1936.0,7.649880698102061,0.06312719717773006,5.298715936971203,0.8117768595041323,0.7977880541827644,0.514711493857414,6.578409799963088,12.601847049688775,-0.16287688525348254,0.39295559865638996,C_WORSE
C_symmetric,swaptype_holdout,cpcm_dft,1936.0,2.0737994786952823,0.028669565064689987,1.6285711253284585,0.8556818181818182,0.8932763427292137,0.8244492026495228,2.414926424403714,5.1617798208467125,0.14125769723715764,0.5982394540890923,B_IMPROVED
C_symmetric,swaptype_holdout,d1_own_dft,1936.0,1.5867302877505638,0.012539286492846535,0.8928646533468875,0.9266528925619835,0.9536370792853743,0.8976058018175099,1.7180787020070365,6.614571969650818,0.07645075519708922,0.7601159538318052,B_IMPROVED
C_symmetric,swaptype_holdout,d2_own_dft,1936.0,1.5407148798613457,0.005626109927928492,0.9482890653389126,0.9015495867768596,0.9490824974583397,0.9358261620677777,1.7993759897636403,6.78357730761731,0.14375045091952765,0.7728757541936951,B_IMPROVED
C_symmetric,swaptype_holdout,disp_dft,1936.0,0.9380936155140883,0.008340006370917068,0.6851638452868636,0.8925619834710744,0.9231533311484217,0.7754458236277394,1.092913883853541,2.4986130621660614,0.1416582501391298,0.6245542658370441,A_GOAL
C_symmetric,swaptype_holdout,elst_dft,1936.0,3.6071285610531576,0.018767533439065738,2.53409712565436,0.8118801652892562,0.8165624960620491,0.5959098211433876,4.201663785212722,6.618378521592868,0.14149995205517485,0.45498303711631516,B_IMPROVED
C_symmetric,swaptype_holdout,oi_dft,1936.0,3.5132489397366506,0.024695275028329463,2.2583981089423717,0.8444214876033058,0.8484832360955066,0.710006822264158,3.8305797010140266,7.644813819716968,0.08284144595487009,0.5404402222751945,B_IMPROVED
C_symmetric,swaptype_holdout,pauli_dft,1936.0,5.837611641288167,0.08897380964184937,3.7747249424521043,0.8478305785123966,0.8665557769462587,0.6592324343069189,6.578409799963088,12.601847049688775,0.11261052156998153,0.5367653949242037,B_IMPROVED
