arm,split,channel,bin,n,sign_acc
A_diff,swaptype_holdout,pauli_dft,"[0,1)",685,0.4554744525547445
A_diff,swaptype_holdout,pauli_dft,"[1,2)",685,0.5868613138686132
A_diff,swaptype_holdout,pauli_dft,"[2,3)",615,0.6276422764227643
A_diff,swaptype_holdout,pauli_dft,"[3,5)",1070,0.6672897196261682
A_diff,swaptype_holdout,pauli_dft,"[5,10)",2055,0.8452554744525548
A_diff,swaptype_holdout,pauli_dft,"[10,inf)",4570,0.9041575492341357
B_concat,component,cpcm_dft,"[0,1)",1345,0.5732342007434944
B_concat,component,cpcm_dft,"[1,2)",1510,0.6278145695364239
B_concat,component,cpcm_dft,"[2,3)",1185,0.6962025316455697
B_concat,component,cpcm_dft,"[3,5)",1840,0.7902173913043479
B_concat,component,cpcm_dft,"[5,10)",2465,0.9123732251521298
B_concat,component,cpcm_dft,"[10,inf)",1335,1.0
B_concat,component,d1_own_dft,"[0,1)",1730,0.638728323699422
B_concat,component,d1_own_dft,"[1,2)",1380,0.7442028985507246
B_concat,component,d1_own_dft,"[2,3)",990,0.8303030303030303
B_concat,component,d1_own_dft,"[3,5)",1275,0.8815686274509804
B_concat,component,d1_own_dft,"[5,10)",1660,0.9753012048192771
B_concat,component,d1_own_dft,"[10,inf)",2645,0.996219281663516
B_concat,component,d2_own_dft,"[0,1)",1725,0.6034782608695652
B_concat,component,d2_own_dft,"[1,2)",1310,0.6916030534351145
B_concat,component,d2_own_dft,"[2,3)",915,0.8065573770491803
B_concat,component,d2_own_dft,"[3,5)",1430,0.9188811188811189
B_concat,component,d2_own_dft,"[5,10)",1945,0.9552699228791773
B_concat,component,d2_own_dft,"[10,inf)",2355,0.9991507430997877
B_concat,component,disp_dft,"[0,1)",2665,0.5992495309568481
B_concat,component,disp_dft,"[1,2)",2325,0.749247311827957
B_concat,component,disp_dft,"[2,3)",1555,0.8945337620578778
B_concat,component,disp_dft,"[3,5)",1935,0.944702842377261
B_concat,component,disp_dft,"[5,10)",1170,0.9931623931623932
B_concat,component,disp_dft,"[10,inf)",30,1.0
B_concat,component,elst_dft,"[0,1)",1130,0.5424778761061947
B_concat,component,elst_dft,"[1,2)",1135,0.5938325991189427
B_concat,component,elst_dft,"[2,3)",950,0.6621052631578948
B_concat,component,elst_dft,"[3,5)",1650,0.7072727272727273
B_concat,component,elst_dft,"[5,10)",2710,0.8084870848708487
B_concat,component,elst_dft,"[10,inf)",2105,0.8774346793349168
B_concat,component,oi_dft,"[0,1)",1050,0.4961904761904762
B_concat,component,oi_dft,"[1,2)",1100,0.5872727272727273
B_concat,component,oi_dft,"[2,3)",925,0.6454054054054054
B_concat,component,oi_dft,"[3,5)",1500,0.7073333333333334
B_concat,component,oi_dft,"[5,10)",2605,0.763915547024952
B_concat,component,oi_dft,"[10,inf)",2500,0.8924
B_concat,component,pauli_dft,"[0,1)",685,0.5357664233576642
B_concat,component,pauli_dft,"[1,2)",685,0.5591240875912409
B_concat,component,pauli_dft,"[2,3)",615,0.5788617886178862
B_concat,component,pauli_dft,"[3,5)",1070,0.6158878504672897
B_concat,component,pauli_dft,"[5,10)",2055,0.7411192214111922
B_concat,component,pauli_dft,"[10,inf)",4570,0.8512035010940919
B_concat,swaptype_holdout,cpcm_dft,"[0,1)",1345,0.5449814126394052
B_concat,swaptype_holdout,cpcm_dft,"[1,2)",1510,0.6973509933774834
B_concat,swaptype_holdout,cpcm_dft,"[2,3)",1185,0.7443037974683544
B_concat,swaptype_holdout,cpcm_dft,"[3,5)",1840,0.8510869565217392
B_concat,swaptype_holdout,cpcm_dft,"[5,10)",2465,0.9537525354969574
B_concat,swaptype_holdout,cpcm_dft,"[10,inf)",1335,0.9977528089887641
B_concat,swaptype_holdout,d1_own_dft,"[0,1)",1730,0.7260115606936416
