arm,split,seed,channel,n,mae_delta,median_err,sign_acc,spearman,slope
A_diff,component,42,cpcm_dft,1936.0,2.5298516325087315,2.0802297401224514,0.8207644628099173,0.8506967506435417,0.7599369302777165
A_diff,component,42,d1_own_dft,1936.0,2.089719635102772,1.3908224675715992,0.9044421487603306,0.9441266278972196,0.8636742907182209
A_diff,component,42,d2_own_dft,1936.0,1.9072359817057198,1.321177840457759,0.8713842975206612,0.9341388665111295,0.8831140300090784
A_diff,component,42,disp_dft,1936.0,1.1934971592090864,0.9002621522199972,0.8641528925619835,0.8785821809049243,0.6847527400767129
A_diff,component,42,elst_dft,1936.0,4.7003043026971785,3.3195686192197975,0.7489669421487604,0.6610930104559231,0.4268473137266276
A_diff,component,42,oi_dft,1936.0,4.844572116398493,3.3684374322290935,0.7856404958677686,0.724249793275149,0.5490659770028407
A_diff,component,42,pauli_dft,1936.0,8.502209864394379,5.868170787774176,0.7799586776859504,0.7153536955451055,0.4397762589301772
A_diff,component,43,cpcm_dft,1936.0,2.525144237209551,2.0240170339892143,0.8295454545454546,0.8507454365329983,0.7505412099937916
A_diff,component,43,d1_own_dft,1936.0,2.0925883746781704,1.3987028415519118,0.9039256198347108,0.944810671259016,0.8726114275311486
A_diff,component,43,d2_own_dft,1936.0,1.9148593760769645,1.2911086286025624,0.8817148760330579,0.9327891246439142,0.8837192933998109
A_diff,component,43,disp_dft,1936.0,1.2290503133816748,0.911997372565156,0.8615702479338843,0.8684115051107119,0.6814122270737375
A_diff,component,43,elst_dft,1936.0,4.675794371853358,3.3247367126754988,0.7556818181818182,0.6727900384965809,0.41828461351734114
A_diff,component,43,oi_dft,1936.0,4.898897629223986,3.3820603956146265,0.7778925619834711,0.7174766781525014,0.550305200297346
A_diff,component,43,pauli_dft,1936.0,8.43918960826391,5.783716506641639,0.7794421487603306,0.7148493351978176,0.4405736850822256
A_diff,component,44,cpcm_dft,1936.0,2.57819329807369,2.1261055270057305,0.8161157024793388,0.8463730715699441,0.7524657238940766
A_diff,component,44,d1_own_dft,1936.0,2.0950310734632858,1.395104110590725,0.8966942148760331,0.9437163913979045,0.8614337041646616
A_diff,component,44,d2_own_dft,1936.0,1.9707700917381523,1.3735938527468567,0.8786157024793388,0.9313445461699501,0.8720401382384553
A_diff,component,44,disp_dft,1936.0,1.2142745215355315,0.9107817681442052,0.8538223140495868,0.8726627953446631,0.6805751443198979
