size_target,size_actual,fold,member,arm,nmae_strain,mae_strain,rmse_strain,nmae_Pauli,mae_Pauli,rmse_Pauli,nmae_elst,mae_elst,rmse_elst,nmae_oi,mae_oi,rmse_oi,nmae_disp,mae_disp,rmse_disp,nmae_barrier,mae_barrier,rmse_barrier
100,100,0,0,xgb_base,0.3397947132493155,7.620008867827191,10.589981048653952,0.3718212488757889,27.146733308294017,44.44289266744125,0.42709404162088493,14.668565947538728,22.084260542101813,0.2696809590778221,13.610272712008967,20.623437929707105,0.23580313055166582,1.4330447566737035,2.398865270141024,0.4519365685257733,12.952922377426912,18.471800920186265
100,100,0,0,xgb_delta,0.34386076687713496,7.711191465710379,10.717517300864984,0.37243456064529984,27.19151130603377,44.470420263037326,0.4302013734470217,14.775287412534094,22.170788975485024,0.2695850418899737,13.60543195836863,20.640589061896428,0.26612967222565137,1.617348041504052,2.5522328084318224,0.450549296408456,12.913161868312557,18.414771882066024
100,100,1,0,xgb_base,0.3547014309632045,7.863101455056743,11.909732897573315,0.2904110474219872,24.7808962475722,43.78042112940033,0.37647813640762795,14.007496001614127,21.815228225736895,0.23015266961933079,13.215897669458085,22.084230403919015,0.24407327935001116,1.46728173126081,2.6276655293469826,0.42368384166063006,11.790974363210095,16.576113489707193
100,100,1,0,xgb_delta,0.35442294447154415,7.856927903594484,11.922330527396122,0.29067746686125095,24.803629929852335,43.82251507384992,0.37527610384714355,13.962772378496304,21.825228464073124,0.22862619498804265,13.128243971782126,22.001614021790584,0.2393215091703222,1.4387157792877998,2.6164521281204873,0.4229905557446693,11.771680456627706,16.549811048441633
100,100,2,0,xgb_base,0.2641726143756868,6.102674500577769,9.307629556373293,0.31691463860349445,26.406978883561056,44.048309630109515,0.4130646645345868,15.609409320126673,25.027329004778316,0.24313197466272368,13.250197573452239,21.202060875097427,0.2019566725042661,1.1641112330612864,1.8574278748423045,0.46861100447585946,13.710540082044663,20.177835193911214
100,100,2,0,xgb_delta,0.2647158522432648,6.115223885721462,9.307415192103845,0.3158035931224457,26.314400785288235,44.1086369353476,0.411966666945628,15.567916800262063,25.092325560245563,0.24310107436012682,13.248513569877407,21.198904027356463,0.20920085878668504,1.205867905525645,1.8232792420649,0.46509271813721237,13.607602666138083,20.056309822328693
100,100,3,0,xgb_base,0.29891733037917734,7.715157184845362,12.362339636454594,0.35952087820707573,30.777802620178615,49.49949512304168,0.4572541360003696,17.542760173479717,27.15624943467751,0.2643849875532776,15.413346202327656,25.67324498942105,0.2179666160968962,1.2390936211897776,2.1750987409556104,0.43056919670269933,11.421426363862478,16.46260378007985
100,100,3,0,xgb_delta,0.30406333077821107,7.847977191973955,12.289905343901784,0.35891294837824117,30.72575906606821,49.2355451006523,0.4527772758952942,17.371003426038303,26.79764828726726,0.2666086130100943,15.542981055302498,25.717008715478567,0.2231101673867415,1.2683336108158796,2.055369039834645,0.4554196727229704,12.080618624121715,17.061279009216072
100,100,4,0,xgb_base,0.3138635410726492,7.000061318851435,9.879381879602967,0.291149976918267,23.358560650776592,37.687353307018455,0.36595631449467925,13.083363646116013,19.552329761598013,0.23950873539816148,13.174499214459688,19.179210076512987,0.20332192660724482,1.1340724871708796,1.9639005870141126,0.4669699206076443,12.035692921624733,17.738526328718947
100,100,4,0,xgb_delta,0.31722426991362385,7.075015255464957,10.040466227598072,0.33277037279899546,26.697707546062958,39.280414468616975,0.4203343122156783,15.027440275901403,20.811518503243274,0.25419298646695976,13.982226138695692,20.0131988561945,0.20696230307817126,1.1543774826404376,2.009635632076645,0.4658839614806574,12.007703387393402,17.814244658324228
200,200,0,0,xgb_base,0.2952063416772272,6.620099882980821,9.188983509762402,0.3356332304676818,24.504639862449306,41.362319414368926,0.39800910367874404,13.66964231782658,20.68411053615209,0.22598148050072203,11.404845147375848,19.021146882106624,0.21574839458671471,1.311166246605527,2.2576994397552355,0.39738184010526373,11.389333122285308,16.033677729496596
200,200,0,0,xgb_delta,0.29597585561433126,6.63735648761889,9.201669422033506,0.33556536146245614,24.499684734708943,41.354351606037596,0.39754633064386846,13.653748355094034,20.683380664317323,0.22585858968802838,11.398643087429605,19.016958352282565,0.21703888278702546,1.31900892174168,2.209524741137655,0.3917914232556555,11.22910657600992,15.767396079162902
200,200,1,0,xgb_base,0.3086429416301535,6.842066458076428,10.420645304830035,0.2399918540122122,20.478605367575483,36.91876221653901,0.337026101156375,12.539617331923953,19.768837034749236,0.18972075167881627,10.8942035914986,18.332765376378894,0.20467379237103173,1.230426031123301,2.248942905906625,0.4103377601152522,11.419557542747752,17.0603744848626
200,200,1,0,xgb_delta,0.3084379411689957,6.837521961540173,10.429783783259785,0.23989434184859856,20.470284613834064,36.916961161129336,0.33712139615860104,12.543162941173383,19.770661304286516,0.1894538924096852,10.878879916136432,18.32105404545637,0.1959378989845371,1.1779089477031854,2.1883030732264306,0.40992666938354433,11.408117030266743,17.040671107735935
200,200,2,0,xgb_base,0.25528200349591074,5.897291726747136,9.11924585902468,0.2837240489114215,23.641366020129745,42.11495485914107,0.3785831729670864,14.306379160303978,24.611902447699556,0.218564504680382,11.911320481710373,22.22005964085373,0.1665892537590968,0.9602476571016251,1.5808646502150865,0.34410367739469727,10.067726144365444,15.432642808176409
200,200,2,0,xgb_delta,0.2551251071025836,5.893667249542893,9.16193823439332,0.28130106423250206,23.43947031239795,42.28556593870517,0.38021780833606833,14.368150826472386,24.819977182524028,0.21615013046392167,11.77974200286683,22.28049270165561,0.21822544809782252,1.2578871117275991,1.8466570726804452,0.34550340946316377,10.108679264214388,15.386843883349563
200,200,3,0,xgb_base,0.24967017633541783,6.444071517540858,10.915492690814926,0.29428000488485356,25.192672955684174,43.20264368969628,0.3805124860177907,14.598532325182205,23.875335947256747,0.19545405089172824,11.394750439203703,20.513267261383486,0.19927177022781675,1.132817418529437,2.1390293574283286,0.40499037803636834,10.742913836470017,16.07439279854485
200,200,3,0,xgb_delta,0.2503785708124234,6.462355418082995,10.93825554302526,0.2941984731754351,25.1856932028746,43.191373282026504,0.38022266161185075,14.587413081756004,23.896562517393807,0.19587711490869264,11.419414593623234,20.546470958988902,0.19929863089754293,1.1329701156952443,2.1400051414388717,0.4053854958966875,10.75339486851142,16.076830492246028
200,200,4,0,xgb_base,0.2638432782487814,5.884465331641527,8.692718550018197,0.2849730431275909,22.86299378138322,39.4205848229817,0.3350960790786397,11.98007435676379,19.774522415159066,0.18452981048763373,10.150309713223042,15.808596425372924,0.17094050909850977,0.9534580531792763,1.659046661732003,0.4530397888796466,11.67665740255362,18.05618431255557
