channel,base_24d_NMAE,base_25d_NMAE,delta_base_25d,base_24d_d26_NMAE,delta_base_24d_d26,base_24d_d27_NMAE,delta_base_24d_d27,base_24d_d28_NMAE,delta_base_24d_d28,base_24d_d26_27_28_NMAE,delta_base_24d_d26_27_28,base_25d_d26_27_28_NMAE,delta_base_25d_d26_27_28
strain,0.6177826562736076,0.5431675877773944,-0.07461506849621324,0.6084880964065154,-0.009294559867092267,0.5920148200864941,-0.025767836187113535,0.6156147113067713,-0.002167944966836366,0.595152169779564,-0.022630486494043645,0.5313379153052284,-0.08644474096837917
Pauli,0.43815182458605034,0.42819838640041236,-0.009953438185637986,0.4437417134841619,0.005589888898111572,0.3980588030212621,-0.04009302156478822,0.4370669221298968,-0.001084902456153558,0.4092799316015925,-0.02887189298445786,0.3876493784530583,-0.05050244613299204
elst,0.41751910136284354,0.4190821292973535,0.001563027934509964,0.42297217753441,0.005453076171566484,0.4028342383046987,-0.014684863058144815,0.41930883077428105,0.0017897294114375129,0.4022907136908353,-0.015228387672008237,0.3932242380985618,-0.024294863264281763
oi,0.41000815390236117,0.4006757097780816,-0.009332444124279582,0.4073275428611098,-0.0026806110412513906,0.358634020737289,-0.05137413316507217,0.41336553645515406,0.003357382552792887,0.36185193846516217,-0.048156215437199,0.343749258889723,-0.06625889501263815
disp,0.1817459288888051,0.17050720377217887,-0.011238725116626241,0.17998890875353807,-0.0017570201352670456,0.17566248864451225,-0.006083440244292859,0.18128350249200023,-0.0004624263968048825,0.17842992008377573,-0.0033160088050293857,0.16931805864182406,-0.012427870246981054
barrier,0.5063115117505097,0.4973411761491814,-0.008970335601328316,0.523010928882885,0.016699417132375327,0.5141871642343295,0.007875652483819828,0.5373267386139626,0.031015226863452927,0.5098516611518557,0.003540149401345949,0.45645605474671785,-0.04985545700379185
