variant,channel,NMAE,RMSE,R2,slope,n_used
base_24d,strain,0.6177826562736076,20.086794965844902,0.4289697372947392,0.5047311133804472,776
base_24d,Pauli,0.43815182458605034,65.66107909010445,0.6536641972806295,0.6584799416248326,776
base_24d,elst,0.41751910136284354,30.191128290647992,0.6837574229478297,0.6878396777224888,776
base_24d,oi,0.41000815390236117,42.4452219432219,0.6825037155748871,0.6921106463223581,776
base_24d,disp,0.1817459288888051,2.049235320751596,0.9269050520088207,0.9440525844116227,776
base_24d,barrier,0.5063115117505097,20.61428463969336,0.6614498591616402,0.7921956733680214,776
base_25d,strain,0.5431675877773944,18.922580471935344,0.49619805340452305,0.5571756578928059,762
base_25d,Pauli,0.42819838640041236,64.07413885426135,0.6709188342422772,0.6656833993800408,762
base_25d,elst,0.4190821292973535,29.474541730648504,0.6957883907592748,0.6900528738287192,762
base_25d,oi,0.4006757097780816,41.557852723887216,0.6951852586941283,0.6979668231479214,762
base_25d,disp,0.17050720377217887,1.794298749479669,0.9423915334845582,0.9540721068926706,762
base_25d,barrier,0.4973411761491814,20.593578869252966,0.6675753079163496,0.8099462046543172,762
base_24d_d26,strain,0.6084880964065154,20.006807256243007,0.4335084863384854,0.5020198799918565,776
base_24d_d26,Pauli,0.4437417134841619,66.38074869977648,0.6460306561686423,0.6528180782353175,776
base_24d_d26,elst,0.42297217753441,30.416392502565074,0.6790206739434996,0.6822638706668713,776
base_24d_d26,oi,0.4073275428611098,42.9949977824534,0.6742256466842218,0.6929521550707343,776
base_24d_d26,disp,0.17998890875353807,2.0626397552104634,0.9259456688220717,0.9435293886506264,776
base_24d_d26,barrier,0.523010928882885,21.670759137844943,0.6258595086878576,0.7571919820939625,776
base_24d_d27,strain,0.5920148200864941,19.83105417796947,0.44341764515239734,0.5207543956256874,776
base_24d_d27,Pauli,0.3980588030212621,64.80418995844144,0.6626447053326584,0.674945103218942,776
base_24d_d27,elst,0.4028342383046987,30.010727546398552,0.6875254139541553,0.6964353400307723,776
base_24d_d27,oi,0.358634020737289,41.633634366950254,0.6945292175885971,0.7137480579213962,776
base_24d_d27,disp,0.17566248864451225,2.013372936466039,0.9294410435619533,0.9461621087653576,776
base_24d_d27,barrier,0.5141871642343295,21.481510873865812,0.632365627842604,0.7684526983595266,776
base_24d_d28,strain,0.6156147113067713,20.01775566581566,0.43288830961019353,0.5034986358442818,776
base_24d_d28,Pauli,0.4370669221298968,66.50723724098485,0.6446803934988656,0.6491920692885673,776
base_24d_d28,elst,0.41930883077428105,30.53279373470256,0.6765592459120138,0.6767588683780174,776
base_24d_d28,oi,0.41336553645515406,43.51447912871169,0.6663058383223326,0.6861045866640411,776
base_24d_d28,disp,0.18128350249200023,2.085063074228985,0.9243268016198576,0.9401970620808955,776
base_24d_d28,barrier,0.5373267386139626,21.886526904324153,0.618372060331611,0.7628692153846297,776
base_24d_d26_27_28,strain,0.595152169779564,19.98793003091817,0.43457699695110974,0.5137562273135214,776
base_24d_d26_27_28,Pauli,0.4092799316015925,66.53848262857196,0.6443464536995261,0.66024248522869,776
base_24d_d26_27_28,elst,0.4022907136908353,30.37629589697071,0.6798663822792204,0.6875650710006164,776
base_24d_d26_27_28,oi,0.36185193846516217,42.13376616580003,0.6871460872302486,0.7038637853269224,776
base_24d_d26_27_28,disp,0.17842992008377573,2.038811910893067,0.927646753949974,0.9435032305614076,776
base_24d_d26_27_28,barrier,0.5098516611518557,21.088649002608705,0.6456895358052251,0.7829900409893212,776
base_25d_d26_27_28,strain,0.5313379153052284,19.007834432879925,0.49164815940872986,0.5538173509945241,762
base_25d_d26_27_28,Pauli,0.3876493784530583,62.57120873705817,0.6861757061018824,0.6904563983374578,762
base_25d_d26_27_28,elst,0.3932242380985618,28.86894887808326,0.708160815199981,0.7100648361627568,762
base_25d_d26_27_28,oi,0.343749258889723,40.679012165717786,0.7079410205811595,0.7260601571484852,762
base_25d_d26_27_28,disp,0.16931805864182406,1.7948497574927222,0.9423561462887663,0.9567635729906642,762
base_25d_d26_27_28,barrier,0.45645605474671785,20.035950660419854,0.6853342114959302,0.8186472720118284,762
