id,e_barrier,distortion,interaction,distortion_dipole,distortion_dipolarophile
0,-35.45920750361125,81.79079249638875,-117.25,51.54996945196728,30.240823044421465
1,-36.18130137599502,53.548698624004984,-89.73,22.292418769134997,31.256279854869984
2,6.278127989656616,16.718127989656615,-10.44,12.843770979102985,3.874357010553631
3,-19.38220129533513,5.347798704664873,-24.73,2.650744996331047,2.697053708333826
4,-10.777252272972211,9.04274772702779,-19.82,7.7274224904264415,1.3153252366013481
5,-25.14297283315642,71.30702716684358,-96.45,37.9676826475203,33.339344519323284
6,-21.354675675258505,81.97532432474149,-103.33,52.935753798565415,29.03957052617608
7,-22.686887101453323,87.92311289854668,-110.61,56.72016419164175,31.202948706904923
8,-9.143930294209905,11.246069705790095,-20.39,2.759803960448957,8.486265745341138
9,-9.503404867783924,9.806595132216074,-19.31,3.705047017774091,6.101548114441984
10,-14.237390842983778,9.34260915701622,-23.58,2.1516942072258014,7.190914949790419
11,-0.5092705324562559,20.920729467543744,-21.43,14.330062918241195,6.590666549302549
12,-22.632978218739893,72.2770217812601,-94.91,51.42017734015152,20.85684444110858
13,-6.546730113202814,9.453269886797186,-16.0,6.970512476731009,2.4827574100661765
14,-20.613820143652703,137.30617985634728,-157.92,66.61110065461448,70.69507920173282
15,-26.120807511328778,42.98919248867122,-69.11,25.85702261977237,17.132169868898853
16,3.8737761086527396,15.75377610865274,-11.88,4.18212011145828,11.57165599719446
17,3.331239923812447,107.19123992381245,-103.86,53.93004351280219,53.261196411010246
18,5.381862334877809,89.7318623348778,-84.35,29.662646438135006,60.0692158967428
19,-18.051283560180494,42.64871643981951,-60.7,25.150048310931915,17.498668128887594
20,-3.2264855354094415,12.94351446459056,-16.17,5.4913257231554535,7.452188741435106
21,-13.596052687947815,4.383947312052186,-17.98,1.7547143633194155,2.6292329487327706
22,-25.244279659761396,48.95572034023861,-74.2,17.07023659833396,31.885483741904647
23,-7.704613375310933,7.655386624689067,-15.36,3.501190260107315,4.154196364581751
24,-7.879149889618983,11.260850110381018,-19.14,8.587970888309957,2.6728792220710607
25,-41.77244282287202,102.09755717712798,-143.87,66.97760154385865,35.11995563326932
26,-32.04791055617622,85.61208944382378,-117.66,49.38146197614985,36.23062746767392
27,-4.052621236972243,20.987378763027756,-25.04,13.148355467110994,7.839023295916761
28,1.6136237163354146,20.073623716335415,-18.46,16.400677742031306,3.6729459743041097
29,-17.695442521028202,8.5845574789718,-26.28,2.041633275525931,6.5429242034458674
30,-42.280394294909584,66.54960570509041,-108.83,39.56636628440894,26.98323942068148
31,-21.790500314070677,11.189499685929322,-32.98,6.301909026172577,4.887590659756745
32,-17.00624772161608,12.72375227838392,-29.73,5.19199985929501,7.5317524190889085
33,-20.094109444878068,10.365890555121933,-30.46,8.144692020528112,2.2211985345938206
34,-32.051111712326104,71.2288882876739,-103.28,43.18490769175568,28.04398059591821
35,-11.194920337513459,4.985079662486542,-16.18,1.0202139139391881,3.9648657485473535
36,-21.914393141993074,93.78560685800693,-115.7,60.13926256983411,33.64634428817283
37,-32.09560085250419,79.3643991474958,-111.46,23.33468524477019,56.02971390272562
38,-32.55071825878005,64.13928174121995,-96.69,37.658322380713905,26.48095936050604
39,-20.54308160745596,93.88691839254405,-114.43,59.08625364911068,34.800664743433366
40,-14.003754025450583,12.756245974549419,-26.76,9.305910211738146,3.450335762811273
41,0.6719049511640378,150.61190495116404,-149.94,82.22149319277432,68.39041175838973
42,-24.56721746424777,8.822782535752232,-33.39,2.18747796447664,6.635304571275592
43,-27.998399952450697,76.1416000475493,-104.14,54.747724806394196,21.3938752411551
44,-21.883641945176347,15.856358054823655,-37.74,10.608545867046036,5.247812187777619
45,-13.678118883369326,4.781881116630676,-18.46,2.974498167533128,1.807382949097548
46,-33.64112176517463,68.65887823482537,-102.3,39.56615886611385,29.09271936871151
47,-15.662416132322932,146.48758386767707,-162.15,74.72597363448905,71.76161023318802
48,-14.436043801206115,10.363956198793886,-24.8,8.979265959537868,1.3846902392560192
49,-16.006820013384083,7.143179986615915,-23.15,1.4153386911667043,5.727841295449211
50,-37.086630261164814,75.35336973883518,-112.44,43.73489553333919,31.618474205495996
51,-10.685294943099375,14.234705056900626,-24.92,3.7701033521283143,10.464601704772312
52,-7.615827619222044,11.084172380777956,-18.7,5.336556630880747,5.747615749897209
53,-29.727205179892493,96.8827948201075,-126.61,51.804235754947776,45.07855906515973
54,42.12980167275312,134.17980167275311,-92.05,97.88888746422234,36.29091420853079
55,-17.702653063998525,58.407346936001474,-76.11,39.35162148501548,19.055725450985996
56,-37.51294503893067,101.19705496106934,-138.71,61.70873263429049,39.48832232677884
57,-17.118859163054758,8.891140836945246,-26.01,3.931457569653254,4.959683267291991
58,-1.67706234606041,132.2929376539396,-133.97,79.77916522604397,52.51377242789563
59,-34.45605799305136,90.65394200694864,-125.11,62.36973283745697,28.284209169491668
60,-23.8124825807635,104.1475174192365,-127.96,58.94508397786494,45.20243344137156
61,-18.485943862362426,10.744056137637576,-29.23,4.923359668015659,5.820696469621917
62,-25.831887329684605,61.26811267031539,-87.1,33.069683786813144,28.198428883502242
63,-38.734140843661436,53.11585915633856,-91.85,31.049076992734367,22.066782163604195
64,-18.31915647521176,7.220843524788239,-25.54,6.075061341805442,1.1457821829827963
65,-26.042853238136207,5.427146761863791,-31.47,4.355647363295286,1.0714993985685055
66,-38.85172508559289,100.17827491440711,-139.03,59.132248292590134,41.04602662181698
67,-7.006220698796557,30.163779301203444,-37.17,25.1951254213812,4.968653879822244
68,-25.019763688742856,75.24023631125715,-100.26,50.39670465904879,24.843531652208362
69,-34.530659697931185,141.21934030206882,-175.75,68.50526121175777,72.71407909031103
70,-12.172285944461258,9.837714055538743,-22.01,4.937252279722427,4.900461775816315
71,-9.147875221857793,14.442124778142206,-23.59,14.126149415619773,0.3159753625224338
72,-32.974845936753205,7.745154063246794,-40.72,4.6423096454607276,3.102844417786067
73,-5.100039109551716,126.08996089044828,-131.19,66.69036557435761,59.399595316090675
74,-3.958840675946959,43.98115932405304,-47.94,19.744578441487135,24.236580882565903
75,-13.625974178780229,13.11402582121977,-26.74,5.721937199934962,7.392088621284806
76,-27.225694541876663,103.10430545812335,-130.33,56.87682644364163,46.22747901448172
77,-7.920961802763742,15.67903819723626,-23.6,8.85299514028592,6.82604305695034
78,-23.339277222929297,125.5407227770707,-148.88,71.01899846272026,54.521724314350436
79,-40.25730186284069,51.392698137159314,-91.65,22.024024828274968,29.368673308884343
80,-13.760596957892286,18.939403042107717,-32.7,5.332319894587486,13.60708314752023
81,-25.141933179109543,91.65806682089045,-116.8,63.58986208943793,28.068204731452525
82,-28.119997870968916,78.27000212903108,-106.39,55.35899904911657,22.911003079914515
83,-38.32782545134083,28.75217454865917,-67.08,14.358684545295281,14.393490003363889
84,-8.710129812054376,77.82987018794563,-86.54,41.35996353930165,36.46990664864398
85,17.03495347482466,42.89495347482466,-25.86,14.991855815205893,27.903097659618766
86,-17.335387825763902,9.7146121742361,-27.05,6.014136604452619,3.700475569783481
87,-16.48983111968431,7.20016888031569,-23.69,4.5188405148762545,2.6813283654394353
88,-11.544838593375314,22.055161406624688,-33.6,12.371612088393329,9.683549318231359
89,-21.843596407762817,75.80640359223719,-97.65,35.76463821557817,40.041765376659015
90,-3.4252563992786733,11.254743600721326,-14.68,5.0565190528010255,6.198224547920302
91,-15.994217194079823,10.025782805920176,-26.02,3.382936301791953,6.642846504128224
92,7.777478747528509,28.46747874752851,-20.69,10.067385256519245,18.400093491009265
93,-19.924681600944915,13.995318399055087,-33.92,6.92130456742741,7.074013831627677
94,-28.339740418196676,12.490259581803322,-40.83,2.5125520543710356,9.977707527432287
95,-6.09073353955192,99.74926646044808,-105.84,53.547650291571664,46.20161616887642
96,-18.165688982450753,6.52431101754925,-24.69,3.605174483609864,2.9191365339393855
97,-21.572148734586975,64.54785126541303,-86.12,44.876266189812355,19.67158507560067
98,-12.921303988419961,11.62869601158004,-24.55,3.8536390818327755,7.775056929747264
99,-24.123864111699902,13.7561358883001,-37.88,11.058771261584239,2.6973646267158613
100,-22.498644333853022,9.71135566614698,-32.21,2.6649898787213226,7.046365787425658
101,-20.968039410089126,22.931960589910872,-43.9,13.652826896410167,9.279133693500706
102,-13.862454785045074,35.967545214954924,-49.83,21.234640894972824,14.7329043199821
103,-34.594008689191384,108.14599131080863,-142.74,47.08715983720376,61.05883147360487
104,-7.93405173975145,16.68594826024855,-24.62,13.0483677234507,3.6375805367978513
105,-5.081712335682887,30.96828766431711,-36.05,24.367356987067787,6.600930677249325
106,-17.056144432327756,17.983855567672244,-35.04,12.59600182131575,5.387853746356492
107,-17.805886833646053,8.004113166353946,-25.81,2.377412452366809,5.626700713987137
108,-6.6328940666296,11.767105933370399,-18.4,4.637073665615561,7.130032267754839
109,-28.071420418776707,6.968579581223292,-35.04,3.3064984904667307,3.662081090756561
110,-17.52619179936537,8.37380820063463,-25.9,6.052787508990072,2.321020691644557
111,-5.695339953375111,19.024660046624888,-24.72,12.093301304026616,6.93135874259827
112,-39.51330065037388,99.57669934962613,-139.09,61.320924360912215,38.2557749887139
113,-33.11514674763207,52.18485325236793,-85.3,23.25806293312869,28.926790319239235
114,-5.112232877135746,50.42776712286425,-55.54,34.751957320612625,15.67580980225163
115,-20.508698406947588,9.021301593052415,-29.53,3.7224184196066896,5.298883173445726
