fold,channel,alpha_label,alpha,NMAE,RMSE,R2,slope
0,strain,alpha_0,1e-06,0.8510032855978904,22.905086342824365,0.14212365266753402,0.27038242773015375
0,strain,alpha_1,1.0,0.8580417437681098,22.961236204478094,0.13791247621767588,0.26729025264940104
0,strain,alpha_A,100.0,0.8675750317601582,22.750838579524686,0.15363899485983035,0.23714733317077583
0,Pauli,alpha_0,1e-06,0.8236245274260707,112.69532305787702,0.2456360255174619,0.2571138104367791
0,Pauli,alpha_1,1.0,0.8236144981154445,112.31495265603573,0.25071970570515967,0.2514409010838898
0,Pauli,alpha_A,0.31622776601683794,0.8232416697599461,112.49333871249122,0.2483377022679938,0.2550232827070333
0,V_elst,alpha_0,1e-06,0.8541360225796741,46.117067984929626,0.2436511611894766,0.2483054202841065
0,V_elst,alpha_1,1.0,0.8554064357594576,46.0326884805896,0.24641638272215993,0.24124536911240815
0,V_elst,alpha_A,1e-06,0.8541360225796741,46.117067984929626,0.2436511611894766,0.2483054202841065
0,oi,alpha_0,1e-06,0.8116215192143658,89.96455583467784,0.2430454286645034,0.2235690134122594
0,oi,alpha_1,1.0,0.8124108382506434,89.6854882024066,0.24773425050653353,0.22067063951379523
0,oi,alpha_A,0.046415888336127725,0.8116132620385313,89.94245975122251,0.2434172123571332,0.22340026957283354
0,disp,alpha_0,1e-06,0.2769389506674733,1.874758802220197,0.9249395871499541,0.9689630181607507
0,disp,alpha_1,1.0,0.2788761321871282,1.881479214555721,0.924400487350483,0.9652026291976662
0,disp,alpha_A,14.677992676220676,0.284538041053721,1.8903493272937442,0.9236859890035203,0.9541087277893505
0,barrier,alpha_0,1e-06,0.5484863189137643,23.072609870851355,0.710313107957329,0.6927135906470504
0,barrier,alpha_1,1.0,0.5502701477347256,23.05387753047975,0.7107833027585934,0.6923458228273952
0,barrier,alpha_A,14.677992676220676,0.5617585710910433,23.308751505899618,0.7043530366374144,0.6801371271979112
1,strain,alpha_0,1e-06,0.8301710242475692,21.935668291552872,0.29314083805831426,0.36818830856769624
1,strain,alpha_1,1.0,0.817134707805271,21.55293605411847,0.3175921218216683,0.36565191815463693
1,strain,alpha_A,146.77992676220674,0.795345836114811,20.92854016619967,0.3565585667770168,0.313377517259717
1,Pauli,alpha_0,1e-06,0.8897651583945095,109.23152296833267,0.2426479441063344,0.2679059779291342
1,Pauli,alpha_1,1.0,0.8907580208075223,108.86198238864023,0.24776366332190147,0.2604302615353059
1,Pauli,alpha_A,1.4677992676220677,0.8913505980123723,108.78194434778331,0.24886938247735702,0.2577590825471941
1,V_elst,alpha_0,1e-06,0.9025842331581179,46.591314279840866,0.2045445502552451,0.23639055153973582
1,V_elst,alpha_1,1.0,0.9045428911279675,46.44911222184088,0.20939278358493185,0.22734972995036207
1,V_elst,alpha_A,1.4677992676220677,0.9055824792394698,46.413176488184334,0.21061562978273418,0.22420067581857298
1,oi,alpha_0,1e-06,1.0457542587272315,83.9580129130362,0.06314926631908202,0.2570819859825173
1,oi,alpha_1,1.0,1.0442712017274183,83.5508042165394,0.07221495528587607,0.24908388127876813
1,oi,alpha_A,0.21544346900318823,1.0452281890387658,83.83694382395281,0.06584923220523986,0.2551119980841256
1,disp,alpha_0,1e-06,0.28868059746712454,2.218977573992897,0.9028160892397964,0.9028868229437216
1,disp,alpha_1,1.0,0.2896911050086672,2.224125930296417,0.9023646039847548,0.9009793713473601
1,disp,alpha_A,0.6812920690579608,0.28946067186053337,2.2230237946287383,0.902461343822368,0.9012990274102065
1,barrier,alpha_0,1e-06,0.5230270503804038,20.228439923204693,0.7147834777176676,0.8879179548695548
1,barrier,alpha_1,1.0,0.5231925192740784,20.22509620793806,0.7148777612138408,0.8846972342389919
1,barrier,alpha_A,31.622776601683796,0.5095782913097074,19.85094081776176,0.7253294549562169,0.8561228385582154
2,strain,alpha_0,1e-06,0.8750693452884886,28.067334293777154,0.06320186719038334,0.2033793634976413
2,strain,alpha_1,1.0,0.8767420500112686,28.09585130190367,0.061297286511094784,0.2011279540288691
2,strain,alpha_A,1e-06,0.8750693452884886,28.067334293777154,0.06320186719038334,0.2033793634976413
2,Pauli,alpha_0,1e-06,0.899516426035042,119.78281330369818,0.11585115755983943,0.165102910916915
2,Pauli,alpha_1,1.0,0.9006857402372108,120.03829265774212,0.11207561321540016,0.16050952877343447
2,Pauli,alpha_A,4.641588833612772,0.9050428032953286,120.49876858984955,0.10525025733216131,0.15226904255136203
2,V_elst,alpha_0,1e-06,0.9297779764041486,49.99750255798,0.11274096212615514,0.15363323560804984
2,V_elst,alpha_1,1.0,0.9289211227114702,50.05036525579686,0.11086376029071687,0.14976791437480746
2,V_elst,alpha_A,3.162277660168379,0.9296720066064557,50.1695981857696,0.10662240879437834,0.14457788352047582
2,oi,alpha_0,1e-06,0.9152781359273517,103.04407282260733,0.08337860440473033,0.12596792752489888
2,oi,alpha_1,1.0,0.9190015516856683,103.24106668097775,0.07987056398954895,0.12375475164736074
2,oi,alpha_A,6.812920690579608,0.9276976770935994,103.66361163175078,0.07232334093508197,0.11756541605618644
2,disp,alpha_0,1e-06,0.26693220360941355,1.8725274871886057,0.9305596522771098,0.9052524477014215
2,disp,alpha_1,1.0,0.26631154973735754,1.867886320482626,0.9309034494519306,0.9030721760998518
2,disp,alpha_A,2.154434690031882,0.2666945748080686,1.8665135774801225,0.9310049727096144,0.9015623499798519
2,barrier,alpha_0,1e-06,0.5117388500469712,24.689447460595183,0.6977729418822717,0.6784816360125469
2,barrier,alpha_1,1.0,0.512613469108585,24.714047490629824,0.6971703768671611,0.67647062470059
2,barrier,alpha_A,14.677992676220676,0.5152917510366619,24.88200863896068,0.6930402196816889,0.6627091824815491
3,strain,alpha_0,1e-06,0.7945158672078081,28.077442855466003,0.3629232421877635,0.2876567138117447
3,strain,alpha_1,1.0,0.7971443886070733,28.14662016559777,0.3597801106608356,0.2855090274479336
3,strain,alpha_A,100.0,0.8145164043827664,29.126585011363677,0.31442370385256213,0.23963554341637655
3,Pauli,alpha_0,1e-06,0.8367905757392956,118.03151634043894,0.19442578480565853,0.20865521787140295
3,Pauli,alpha_1,1.0,0.8411254761497744,118.42672506860868,0.18902209306096618,0.20156570603991703
3,Pauli,alpha_A,6.812920690579608,0.8514082011670511,119.39926936584787,0.17564757021802369,0.18215116617031168
3,V_elst,alpha_0,1e-06,0.8714503718628376,46.94851069992349,0.2066720090193619,0.20338407108050174
3,V_elst,alpha_1,1.0,0.8753186728334946,47.1256985229778,0.20067252934589752,0.19602794943392396
3,V_elst,alpha_A,4.641588833612772,0.8821653448217047,47.42426392697358,0.19051214864255273,0.1829654218693053
3,oi,alpha_0,1e-06,0.8114812195643841,93.00053979839022,0.2129390596897517,0.19388620664369827
3,oi,alpha_1,1.0,0.8150377373148289,93.27263188102144,0.20832690743502713,0.18817866520481474
3,oi,alpha_A,0.06812920690579607,0.8117446370662273,93.02222798105805,0.21257192393170288,0.19341915843695828
3,disp,alpha_0,1e-06,0.30583589464181626,2.0132299307605925,0.8991461832528667,0.948247593158898
3,disp,alpha_1,1.0,0.306941752401457,2.0213606015448082,0.8983299177866001,0.950618800743915
3,disp,alpha_A,0.31622776601683794,0.306172256115584,2.01633860732463,0.8988344811963286,0.9493027250434317
3,barrier,alpha_0,1e-06,0.5895650650944796,26.306129430168653,0.6550928255606042,0.6611159502263957
3,barrier,alpha_1,1.0,0.5863348642024527,26.283499431023603,0.6556859870766832,0.6592076710410583
3,barrier,alpha_A,10.0,0.581052619165871,26.24721713201851,0.6566359276690936,0.649186837055671
4,strain,alpha_0,1e-06,0.8287869257982138,25.890832756943126,0.35050029260206206,0.6200680917190929
4,strain,alpha_1,1.0,0.8267183201923465,25.650899396607933,0.3624824926815523,0.6122195711055595
4,strain,alpha_A,68.12920690579608,0.7769995913896796,23.525955010519873,0.46373254001021535,0.4746907128908606
4,Pauli,alpha_0,1e-06,0.9395706894814211,105.13356601944038,0.14842296033730706,0.23998106674638242
4,Pauli,alpha_1,1.0,0.9382076885761235,104.69119986662358,0.15557417458717016,0.23544865184422
4,Pauli,alpha_A,1.4677992676220677,0.9386499605208208,104.54993697043093,0.1578514540490693,0.23363253148123114
4,V_elst,alpha_0,1e-06,0.9817314778590969,46.321051124838895,0.1113033815060076,0.19977502319599919
4,V_elst,alpha_1,1.0,0.9813694818779419,46.153024004777976,0.11773908602269278,0.19613615646195337
4,V_elst,alpha_A,2.154434690031882,0.9811723714624626,46.03746877853957,0.12215146131906451,0.1933972837682225
4,oi,alpha_0,1e-06,0.9282186801670853,81.69952714459552,0.1479739886569451,0.25200695601326534
4,oi,alpha_1,1.0,0.9286224665297431,81.20959920277171,0.15816204624760344,0.2476743734946119
4,oi,alpha_A,1.0,0.9286224665297431,81.20959920277171,0.15816204624760344,0.2476743734946119
4,disp,alpha_0,1e-06,0.2908801561216376,1.9664228131891417,0.9070491608925834,0.8921566977147196
4,disp,alpha_1,1.0,0.2872047613456285,1.9328686868964315,0.9101942368929771,0.8971481571425605
4,disp,alpha_A,10.0,0.2836903058408536,1.8985073222655853,0.9133588796053431,0.901660028269105
4,barrier,alpha_0,1e-06,0.5212261430525144,22.521553698401593,0.7217230251716464,0.7017767756009337
4,barrier,alpha_1,1.0,0.5187015015114211,22.439294587513533,0.7237521047743574,0.7022871250933147
4,barrier,alpha_A,46.41588833612773,0.5085449821320349,22.02579017654489,0.733839518857091,0.6775724533616629
