,d1_own_dft,d2_own_dft,elst_dft,pauli_dft,oi_dft,disp_dft,cpcm_dft,cds_dft
d1_own_dft,1.0,-0.2172390912931034,0.08030242460485708,-0.0794390816261521,-0.01666759727250953,-0.029268271579367438,-0.006425314527296042,-0.03795166747029101
d2_own_dft,-0.2172390912931034,1.0,0.07126092190222454,-0.06589332248623989,-0.04588485627947503,-0.06534698223566893,0.017737373013318316,-0.030743804243298735
elst_dft,0.08030242460485708,0.07126092190222454,1.0,-0.7006732959380058,0.33925579261382605,0.06623953031085501,-0.18729307944311388,0.017122495682464326
pauli_dft,-0.0794390816261521,-0.06589332248623989,-0.7006732959380058,1.0,-0.5103459543722899,-0.10407322412205078,0.0297289943416435,-0.07265065828956159
oi_dft,-0.01666759727250953,-0.04588485627947503,0.33925579261382605,-0.5103459543722899,1.0,0.0616429247557657,-0.2041435888675099,0.03350577699855867
disp_dft,-0.029268271579367438,-0.06534698223566893,0.06623953031085501,-0.10407322412205078,0.0616429247557657,1.0,0.1277866501644052,0.2011497305059561
cpcm_dft,-0.006425314527296042,0.017737373013318316,-0.18729307944311388,0.0297289943416435,-0.2041435888675099,0.1277866501644052,1.0,0.053533415611071895
cds_dft,-0.03795166747029101,-0.030743804243298735,0.017122495682464326,-0.07265065828956159,0.03350577699855867,0.2011497305059561,0.053533415611071895,1.0
