scheme,direct_mae_delta,direct_baseline,sum_mae_delta,sum_baseline,n_wins_direct
groupkfold_component,2.2962493659411765,4.674185625374449,4.457304577307533,4.912945830174794,5
kfold_random,2.2030055581680195,4.674185625374449,4.360081567822871,4.912945830174794,5
