,d1_own_dft,d2_own_dft,elst_dft,pauli_dft,oi_dft,disp_dft,cpcm_dft,cds_dft
d1_own_dft,1.0,-0.27317000619905535,0.06646082190238173,-0.06487754561582211,-0.00956131008912051,-0.05074314338859583,-0.01188140171808943,-0.02236240460116442
d2_own_dft,-0.27317000619905535,1.0,0.04564488946167837,-0.053470202129963396,-0.06979584956797956,-0.0914344080756656,0.0362211117555259,-0.003938027704171285
elst_dft,0.06646082190238173,0.04564488946167837,1.0,-0.7486622622695173,0.37967571687850743,0.0795648972528145,-0.18625613885966774,-0.01807180513598457
pauli_dft,-0.06487754561582211,-0.053470202129963396,-0.7486622622695173,1.0,-0.5560735564608841,-0.1213368404705339,0.017627807765256177,-0.04131760566479109
oi_dft,-0.00956131008912051,-0.06979584956797956,0.37967571687850743,-0.5560735564608841,1.0,0.059292575704923585,-0.19402766557119497,0.02434322205395041
disp_dft,-0.05074314338859583,-0.0914344080756656,0.0795648972528145,-0.1213368404705339,0.059292575704923585,1.0,0.11799288980236465,0.21235887287596442
cpcm_dft,-0.01188140171808943,0.0362211117555259,-0.18625613885966774,0.017627807765256177,-0.19402766557119497,0.11799288980236465,1.0,0.07985606456741413
cds_dft,-0.02236240460116442,-0.003938027704171285,-0.01807180513598457,-0.04131760566479109,0.02434322205395041,0.21235887287596442,0.07985606456741413,1.0
