scheme,channel,n_pairs,abs_mae,baseline_mae_delta,mae_delta,mae_delta_std,median_err_delta,improvement_over_zero,sign_accuracy,spearman_delta,target_vs_1kcal,verdict,excluded_from_learning
groupkfold_component,cds_dft,1936,0.3067095176029712,0.37949678892390293,0.3396826350883925,0.0093866886390482,0.2522713568252571,0.10491301902291972,0.7039256198347108,0.5331202197044955,0.3396826350883925,A_GOAL,True
groupkfold_component,cpcm_dft,1936,2.3232427057129295,5.1617798208467125,2.414926424403714,0.049510777385227085,1.9201409512331922,0.532152376075665,0.8359504132231406,0.8585631636408484,2.414926424403714,C_LIMITED,False
groupkfold_component,d1_own_dft,1936,1.8250041645668031,6.614571969650818,1.7180787020070365,0.02196252498272597,1.167878011326834,0.740258521656431,0.9006198347107437,0.9498832226605826,1.7180787020070365,B_NEAR,False
groupkfold_component,d2_own_dft,1936,1.5650301648920864,6.78357730761731,1.7993759897636405,0.022294318493454368,1.2407064159584147,0.7347452666687954,0.875309917355372,0.9333992352412546,1.7993759897636405,B_NEAR,False
groupkfold_component,disp_dft,1936,1.023051461017022,2.4986130621660614,1.092913883853541,0.023792203823263355,0.9018959008288376,0.5625917832567129,0.8678719008264462,0.8938817805956798,1.092913883853541,B_NEAR,False
groupkfold_component,elst_dft,1936,3.819571111153831,6.618378521592868,4.201663785212722,0.086532931823286,3.311100212458322,0.36515208800697396,0.7771694214876033,0.7544516643184662,4.201663785212722,C_LIMITED,False
groupkfold_component,interaction_own_dft,1936,2.008265902250089,4.674185625374449,2.2962493659411765,0.03285282163171966,1.8446699867998777,0.5087380883044789,0.8199380165289256,0.8515262950738045,2.2962493659411765,C_LIMITED,True
groupkfold_component,oi_dft,1936,3.079481664294895,7.644813819716968,3.8305797010140266,0.112770248690252,2.8772057908138158,0.4989309365344563,0.8238636363636364,0.8315651665491213,3.8305797010140266,C_LIMITED,False
groupkfold_component,pauli_dft,1936,5.664575649246551,12.601847049688775,6.5784097999630875,0.11142425163477032,5.050405917391146,0.4779805076172899,0.8320247933884298,0.8366784560027817,6.5784097999630875,C_LIMITED,False
kfold_random,cds_dft,1936,0.2976863926150634,0.37949678892390293,0.3078243531326374,0.006436688629638812,0.22128833162829373,0.18886177138546842,0.7185950413223141,0.5602409733235392,0.3078243531326374,A_GOAL,True
kfold_random,cpcm_dft,1936,2.2772480837549454,5.1617798208467125,2.3475518364723564,0.02446489885861551,1.8803615302014165,0.5452049645760992,0.8331611570247933,0.8645182221990257,2.3475518364723564,C_LIMITED,False
kfold_random,d1_own_dft,1936,1.8182152375490497,6.614571969650818,1.6802000183277346,0.046247271648338896,1.126082699488959,0.745985072649163,0.8998966942148761,0.9491489504767594,1.6802000183277346,B_NEAR,False
kfold_random,d2_own_dft,1936,1.4970822614855173,6.78357730761731,1.6232271622955594,0.054062344524921,1.1492903136690178,0.7607122188358006,0.8790289256198347,0.9393281651541792,1.6232271622955594,B_NEAR,False
kfold_random,disp_dft,1936,0.9982928910065395,2.4986130621660614,1.0615126476316008,0.01878653683436595,0.8737126835564603,0.5751592498634543,0.8664256198347108,0.8988208620642506,1.0615126476316008,B_NEAR,False
kfold_random,elst_dft,1936,3.7198598888591476,6.618378521592868,4.025763279527571,0.14089970266894067,3.165866448688118,0.39172967118860447,0.7860537190082645,0.7707942188999386,4.025763279527571,C_LIMITED,False
kfold_random,interaction_own_dft,1936,1.981535338778291,4.674185625374449,2.2030055581680195,0.03452951243208238,1.723324398468256,0.5286867628429848,0.8258264462809917,0.8566395742260207,2.2030055581680195,C_LIMITED,True
kfold_random,oi_dft,1936,2.971421818146539,7.644813819716968,3.6065042244727,0.09014993210357508,2.732460119106898,0.528241719220021,0.8323347107438016,0.8471559658798441,3.6065042244727,C_LIMITED,False
kfold_random,pauli_dft,1936,5.486885317106712,12.601847049688775,6.058963448871349,0.1522969381923893,4.515879073723371,0.5192003660272178,0.8412190082644628,0.8569988513543565,6.058963448871349,C_LIMITED,False
