scheme,seed,direct_mae_delta,direct_baseline,sum_mae_delta,sum_baseline,direct_beats_sum
kfold_random,42,2.20229145913038,4.674185625374449,4.480521295664419,4.912945830174794,True
kfold_random,43,2.1585812054068247,4.674185625374449,4.156873081418533,4.912945830174794,True
kfold_random,44,2.1848846540731772,4.674185625374449,4.206334049962396,4.912945830174794,True
kfold_random,45,2.2498975367318494,4.674185625374449,4.6942810043020335,4.912945830174794,True
kfold_random,46,2.219372935497865,4.674185625374449,4.262398407766972,4.912945830174794,True
groupkfold_component,42,2.275537093017103,4.674185625374449,4.301813307942611,4.912945830174794,True
groupkfold_component,43,2.2860692287782354,4.674185625374449,4.609265777876084,4.912945830174794,True
groupkfold_component,44,2.349157393469688,4.674185625374449,4.306152455706311,4.912945830174794,True
groupkfold_component,45,2.2659672863950266,4.674185625374449,4.556139437948895,4.912945830174794,True
groupkfold_component,46,2.30451582804583,4.674185625374449,4.513151907063763,4.912945830174794,True
