,d1_own_dft,d2_own_dft,elst_dft,pauli_dft,oi_dft,disp_dft,cpcm_dft,cds_dft
d1_own_dft,1.0,-0.19356169920297037,0.08720859698401581,-0.06972096624691418,-0.012328673853152101,-0.08028370811324101,-0.023937659975127236,-0.06056062155669449
d2_own_dft,-0.19356169920297037,1.0,0.04308105449734793,-0.020385687662662706,-0.07057340602346798,-0.06915952825452233,-0.019627123068024638,-0.08487252887597929
elst_dft,0.08720859698401581,0.04308105449734793,1.0,-0.6707492373172813,0.27650388351510424,0.06702225466337428,-0.2173430453644156,-0.014967233823997178
pauli_dft,-0.06972096624691418,-0.020385687662662706,-0.6707492373172813,1.0,-0.4501865025368664,-0.10708920483014289,0.04360691545711988,-0.07277662980786896
oi_dft,-0.012328673853152101,-0.07057340602346798,0.27650388351510424,-0.4501865025368664,1.0,0.030891685438179058,-0.23482859774376422,0.069413717496097
disp_dft,-0.08028370811324101,-0.06915952825452233,0.06702225466337428,-0.10708920483014289,0.030891685438179058,1.0,0.0915101274669209,0.2672206853459413
cpcm_dft,-0.023937659975127236,-0.019627123068024638,-0.2173430453644156,0.04360691545711988,-0.23482859774376422,0.0915101274669209,1.0,0.061624232302801396
cds_dft,-0.06056062155669449,-0.08487252887597929,-0.014967233823997178,-0.07277662980786896,0.069413717496097,0.2672206853459413,0.061624232302801396,1.0
