scheme,seed,channel,n_pairs,abs_mae,baseline_mae_delta,mae_delta,mae_delta_ci_lo,mae_delta_ci_hi,median_err_delta,improvement_over_zero,sign_accuracy,spearman_delta,target_vs_1kcal
kfold_random,42,d1_own_dft,1936,1.8153553839308298,6.614571969650818,1.7060915252130382,1.63141959779981,1.7839766227241172,1.1503134168150906,0.7420707593717357,0.8956611570247934,0.9484946700031053,1.7060915252130382
kfold_random,42,d2_own_dft,1936,1.5237074851582366,6.7835773076173105,1.5547469333738961,1.490959977368924,1.6257079317072427,1.0971015193731528,0.7708072211946249,0.887396694214876,0.9440426414304416,1.5547469333738961
kfold_random,42,elst_dft,1936,3.7073252688425242,6.618378521592867,3.85336720938658,3.694912421781268,4.00526989411815,2.906333951102372,0.4177777537481828,0.7959710743801653,0.7845236780220399,3.85336720938658
kfold_random,42,pauli_dft,1936,5.488508722632861,12.601847049688775,5.908228587496945,5.6278859796215706,6.173346019429451,4.373523626852837,0.5311616968369046,0.8502066115702479,0.8644028951831496,5.908228587496945
kfold_random,42,oi_dft,1936,2.993009702136023,7.644813819716968,3.5679295423039354,3.4145534913115902,3.715941897984994,2.7225634380760653,0.5332875820858081,0.8393595041322314,0.8514705536528258,3.5679295423039354
kfold_random,42,disp_dft,1936,1.0000010481127362,2.4986130621660614,1.0371521791010545,1.0005920788944405,1.0757306046418258,0.8569157027907943,0.5849088461092324,0.8693181818181818,0.9024976038664408,1.0371521791010545
kfold_random,42,cpcm_dft,1936,2.2770870154888314,5.1617798208467125,2.3624076993423166,2.2738656785519753,2.450129379594937,1.8357658632921208,0.5423269141001835,0.831095041322314,0.859452563885925,2.3624076993423166
kfold_random,42,cds_dft,1936,0.30063343428163625,0.37949678892390293,0.31118448176084973,0.29776768016316846,0.3252145262930262,0.21743639575730755,0.18000760258541015,0.7159090909090909,0.5512439426666763,0.31118448176084973
kfold_random,42,interaction_own_dft,1936,1.9839914739310405,4.674185625374449,2.20229145913038,2.1171015045323456,2.2780153240918946,1.7286569776809628,0.528839537913312,0.8264462809917356,0.8591395354459899,2.20229145913038
kfold_random,43,d1_own_dft,1936,1.8152578061356421,6.614571969650818,1.641586787917334,1.5669696397752635,1.716285276363182,1.0645728813679494,0.75182267341722,0.8946280991735537,0.9472931902298929,1.641586787917334
