,MAE,MAE,RMSE,RMSE,tail_ratio,tail_ratio,NMAE,NMAE,R2_det,R2_det
,mean,std,mean,std,mean,std,mean,std,mean,std
channel,,,,,,,,,,
strain,14.2002,1.8817,18.4769,2.454,1.3012,0.0135,0.656,0.0502,0.4966,0.0809
Pauli,57.9665,6.1737,78.1123,8.3214,1.3478,0.032,0.6212,0.0767,0.5553,0.1072
Velst,25.1639,2.8087,33.4393,3.5559,1.3295,0.0244,0.6149,0.0791,0.5675,0.1111
oi,39.879,5.9952,54.265,7.0053,1.3651,0.0559,0.6162,0.0998,0.549,0.1407
disp,1.2929,0.0628,1.7767,0.121,1.3737,0.0448,0.225,0.0187,0.9363,0.0095
