model,fold,seed,n_train,n_val,n_test_original,n_test_kept,best_epoch,final_epoch,elapsed_s,test_mae_mean_original
m3,0,42,432,76,126,114,2243,12243,4709.816575527191,34.11490249633789
m3,1,142,431,75,128,124,35913,45913,21167.97822356224,24.717269897460938
m3,2,242,431,75,127,116,4341,14341,6727.860888004303,36.510398864746094
m3,3,342,431,75,127,119,1096,11096,5118.419890880585,31.735919952392578
m3,4,442,431,76,126,122,552,10552,4981.185882091522,32.56839370727539
