   4.00000000 -73.67026219 
   3.90000000 -73.67027153 
   3.80000000 -73.67031086 
   3.70000000 -73.67032105 
   3.60000000 -73.67023869 
   3.50000000 -73.66995674 
   3.40000000 -73.66938581 
   3.30000000 -73.66846361 
   3.20000000 -73.66715056 
   3.10000000 -73.66541138 
   3.00000000 -73.66319966 
   2.90000000 -73.66044084 
   2.80000000 -73.65705953 
   2.70000000 -73.65300669 
   2.60000000 -73.64826036 
   2.50000000 -73.64282311 
   2.40000000 -73.63684440 
   2.30000000 -73.63068263 
   2.20000000 -73.62520770 
   2.10000000 -73.66778474 
   2.00000000 -73.68070855 
   1.90000000 -73.69375868 
   1.80000000 -73.70687272 
