   4.00000000 -73.64725790 
   3.90000000 -73.64716502 
   3.80000000 -73.64706713 
   3.70000000 -73.64691988 
   3.60000000 -73.64666443 
   3.50000000 -73.64621437 
   3.40000000 -73.64547815 
   3.30000000 -73.64438060 
   3.20000000 -73.64287098 
   3.10000000 -73.64092540 
   3.00000000 -73.63849755 
   2.90000000 -73.63551625 
   2.80000000 -73.63190090 
   2.70000000 -73.62761330 
   2.60000000 -73.62263962 
   2.50000000 -73.61699412 
   2.40000000 -73.61083821 
   2.30000000 -73.60459979 
   2.20000000 -73.59924566 
   2.10000000 -73.64390267 
   2.00000000 -73.65714843 
   1.90000000 -73.67075003 
   1.80000000 -73.68399252 
