,NMAE,NMAE,NMAE,NMAE,RMSE,RMSE,RMSE,RMSE
variant,ridge_24d,ridge_28d,xgb_24d,xgb_28d,ridge_24d,ridge_28d,xgb_24d,xgb_28d
channel,,,,,,,,
strain,0.4905257452608912,0.47418302427876596,0.4270206599803782,0.23168106459089108,14.433897131465422,13.851507645258645,13.81860681013132,8.125082101071193
Pauli,0.5077488853316175,0.35151851431739295,0.2992580664256996,0.2424476696765767,49.78126041366791,39.16932085645516,35.56619191963318,32.21607035114259
elst,0.5021427391207903,0.40676239212284726,0.3449617614359544,0.30909001092665034,22.826093444129125,19.98842390940081,18.191158158660357,17.37742743654832
oi,0.4261418276951993,0.23146661999983484,0.24606584688341737,0.15996769308651895,28.49526585302767,18.464295977070154,21.495059786140747,14.348858061761113
disp,0.21135703735499747,0.21288747093620794,0.14435345229622548,0.13755310070674506,1.8000430951297504,1.714224060073105,1.4100076287092647,1.3115805898402373
barrier,0.33757792899953115,0.32367218186673197,0.3935970205344382,0.28844417591650134,12.631448641357268,12.216280457082972,15.995407473792975,11.901473649591212
