variant,channel,NMAE,RMSE,R2,n_train,n_test,D
xgb_24d,strain,0.4270206599803782,13.81860681013132,0.7376273027031435,626,157,24
xgb_24d,Pauli,0.2992580664256996,35.56619191963318,0.8825183515719784,626,157,24
xgb_24d,elst,0.3449617614359544,18.191158158660357,0.8470879080175147,626,157,24
xgb_24d,oi,0.24606584688341737,21.495059786140747,0.8996344692880393,626,157,24
xgb_24d,disp,0.14435345229622548,1.4100076287092647,0.9658726132607861,626,157,24
xgb_24d,barrier,0.3935970205344382,15.995407473792975,0.8000419543529049,626,157,24
xgb_28d,strain,0.23168106459089108,8.125082101071193,0.9055398374495329,610,152,28
xgb_28d,Pauli,0.2424476696765767,32.21607035114259,0.903241232930557,610,152,28
xgb_28d,elst,0.30909001092665034,17.37742743654832,0.8586330366556403,610,152,28
xgb_28d,oi,0.15996769308651895,14.348858061761113,0.9540730017374102,610,152,28
xgb_28d,disp,0.13755310070674506,1.3115805898402373,0.967555329981354,610,152,28
xgb_28d,barrier,0.28844417591650134,11.901473649591212,0.8925950959634461,610,152,28
ridge_24d,strain,0.4905257452608912,14.433897131465422,0.7137421980592161,626,157,24
ridge_24d,Pauli,0.5077488853316175,49.78126041366791,0.7698414711258964,626,157,24
ridge_24d,elst,0.5021427391207903,22.826093444129125,0.7592400125220018,626,157,24
ridge_24d,oi,0.4261418276951993,28.49526585302767,0.823618635928711,626,157,24
ridge_24d,disp,0.21135703735499747,1.8000430951297504,0.9443806492805707,626,157,24
ridge_24d,barrier,0.33757792899953115,12.631448641357268,0.8753034067260531,626,157,24
ridge_28d,strain,0.47418302427876596,13.851507645258645,0.7254716090674838,610,152,28
ridge_28d,Pauli,0.35151851431739295,39.16932085645516,0.8569666603794728,610,152,28
ridge_28d,elst,0.40676239212284726,19.98842390940081,0.8129601849659153,610,152,28
ridge_28d,oi,0.23146661999983484,18.464295977070154,0.923950057778037,610,152,28
ridge_28d,disp,0.21288747093620794,1.714224060073105,0.9445771860177495,610,152,28
ridge_28d,barrier,0.32367218186673197,12.216280457082972,0.8868379981166311,610,152,28
