channel,base_24d_NMAE,base_25d_NMAE,delta_base_25d,base_24d_d26_NMAE,delta_base_24d_d26,base_24d_d27_NMAE,delta_base_24d_d27,base_24d_d28_NMAE,delta_base_24d_d28,base_24d_d26_27_28_NMAE,delta_base_24d_d26_27_28,base_25d_d26_27_28_NMAE,delta_base_25d_d26_27_28
strain,0.39289943157808593,0.23654536544082802,-0.1563540661372579,0.3886716524905567,-0.004227779087529249,0.38217284960497083,-0.010726581973115101,0.3965140462829215,0.0036146147048355393,0.3773029373757469,-0.01559649420233905,0.223769056743201,-0.16913037483488494
Pauli,0.27162076727670115,0.2664513977622179,-0.0051693695144832685,0.26730100956024294,-0.004319757716458206,0.20633913455704347,-0.06528163271965767,0.26287741980549034,-0.008743347471210805,0.21155263750258751,-0.06006812977411363,0.2123066329192259,-0.059314134357475234
elst,0.3072793394145271,0.30677900982136763,-0.0005003295931594876,0.3155631304207249,0.008283791006197805,0.2691173727379836,-0.038161966676543535,0.314298174487476,0.00701883507294887,0.2715353519684007,-0.035743987446126446,0.27022750664508627,-0.03705183276944085
oi,0.21483899450775318,0.20969962527666844,-0.005139369231084739,0.2174470479249763,0.0026080534172231162,0.15131570556392362,-0.06352328894382955,0.22009177036665914,0.0052527758589059614,0.15180193258506755,-0.06303706192268563,0.14906783296433215,-0.06577116154342103
disp,0.1562226557972516,0.15605417032677116,-0.0001684854704804284,0.15703425097847712,0.0008115951812255329,0.14953702453192352,-0.0066856312653280625,0.15515226102570326,-0.0010703947715483275,0.1490577651453054,-0.0071648906519461986,0.14905942551857368,-0.007163230278677907
barrier,0.39498182161919426,0.32520579526202814,-0.06977602635716612,0.39691733476379304,0.0019355131445987772,0.3762881757290919,-0.01869364589010236,0.3996228737866765,0.004641052167482229,0.3676280153355575,-0.02735380628363676,0.29489189078572775,-0.10008993083346651
