variant,channel,NMAE,RMSE
base_24d,strain,0.39804921571359286,13.245336532592773
base_24d,Pauli,0.2718200383674946,38.66581344604492
base_24d,elst,0.3160909093082254,19.536048889160156
base_24d,oi,0.22216216476140238,21.52631187438965
base_24d,disp,0.15662197863225152,1.6104364395141602
base_24d,barrier,0.44334354424139993,18.19064712524414
all_extras,strain,0.22746850351397638,8.43808364868164
all_extras,Pauli,0.21097203455919875,32.50275802612305
all_extras,elst,0.27803302208252123,17.097288131713867
all_extras,oi,0.15970879774899663,16.68357276916504
all_extras,disp,0.14923649149866652,1.5588854551315308
all_extras,barrier,0.3742047884257044,15.8234281539917
