channel,M0_NMAE,M1_NMAE,M2_NMAE,M3_NMAE,d25_effect_M1_M0,d25_effect_M3_M2,sum_effect_M2_M0,sum_effect_M3_M1,interaction_M3_M1_M2+M0
strain,0.5984407915229408,0.5327474472983825,0.5992719323755998,0.5336715225705485,-0.0656933442245583,-0.06560040980505133,0.0008311408526590069,0.0009240752721659806,9.293441950697368e-05
Pauli,0.42587879651851623,0.4271120195812324,0.42437634722813095,0.42443403612299213,0.001233223062716171,5.7688894861185336e-05,-0.0015024492903852882,-0.002677983458240274,-0.0011755341678549858
elst,0.4079290474539207,0.4128181886195122,0.40760354613222205,0.41230211132786093,0.004889141165591471,0.004698565195638882,-0.0003255013216986735,-0.0005160772916512624,-0.00019057596995258885
oi,0.40505092397091635,0.39296560693518495,0.40505483072549503,0.3932530791453269,-0.012085317035731402,-0.011801751580168107,3.906754578675287e-06,0.0002874722101419702,0.00028356545556329493
disp,0.1826551304491198,0.1754556229824395,0.1826251419679858,0.17542123568281134,-0.007199507466680299,-0.0072039062851744495,-2.998848113400232e-05,-3.438729962815246e-05,-4.398818494150136e-06
barrier,0.5572746349601313,0.5485328276643381,0.536044666234002,0.5262988709734084,-0.008741807295793214,-0.009745795260593604,-0.021229968726129256,-0.022233956690929646,-0.0010039879648003902
