channel,spec03_xgb,M0_24d_plain,M1_25d_plain (+d25),M2_24d_sum (+sum),M3_25d_sum (+d25 +sum),delta_M0_vs_ref,delta_M1_vs_ref,delta_M2_vs_ref,delta_M3_vs_ref,pct_improve_M3_vs_ref
strain,0.6042939346767402,0.5984407915229408,0.5327474472983825,0.5992719323755998,0.5336715225705485,-0.005853143153799367,-0.07154648737835767,-0.00502200230114036,-0.07062241210619169,11.686765008483876
Pauli,0.4279727399805681,0.4258787965185162,0.4271120195812324,0.4243763472281309,0.4244340361229921,-0.0020939434620519393,-0.0008607203993357126,-0.0035963927524372274,-0.003538703857576042,0.8268526303186309
elst,0.4201252162156946,0.4079290474539207,0.4128181886195122,0.407603546132222,0.4123021113278609,-0.012196168761773873,-0.007307027596182403,-0.012521670083472602,-0.00782310488783372,1.8620888691949629
oi,0.4048432612087084,0.4050509239709163,0.3929656069351849,0.405054830725495,0.3932530791453269,0.00020766276220790525,-0.011877654273523497,0.00021156951678658054,-0.011590182063381471,2.8628813108504225
disp,0.1855751852618287,0.1826551304491198,0.1754556229824395,0.1826251419679858,0.1754212356828113,-0.0029200548127089054,-0.010119562279389205,-0.0029500432938429078,-0.010153949579017413,5.4716095606700685
barrier,0.5567596864626144,0.5572746349601313,0.5485328276643381,0.536044666234002,0.5262988709734084,0.0005149484975168761,-0.008226858798276337,-0.02071502022861238,-0.030460815489205983,5.471088555771608
