variant,channel,NMAE,RMSE,R2,slope,n_used
base_24d,strain,0.39289943157808593,13.050022146210356,0.7890932893133082,0.7832065058523774,783
base_24d,Pauli,0.27162076727670115,36.69501359632883,0.8950376522396395,0.8637932167014044,783
base_24d,elst,0.3072793394145271,18.255238044805303,0.8677332265730544,0.8450174202724642,783
base_24d,oi,0.21483899450775318,19.71988173795332,0.9285011867388857,0.9093412812368424,783
base_24d,disp,0.1562226557972516,1.5860962627623747,0.9544858033382417,0.9528062451957167,783
base_24d,barrier,0.39498182161919426,15.428912300657693,0.8038830367523477,0.8474065297726092,783
base_25d,strain,0.23654536544082802,8.867455764281324,0.9014986310037626,0.8905511352305425,762
base_25d,Pauli,0.2664513977622179,36.29636185867514,0.8972664320692342,0.8722111794955946,762
base_25d,elst,0.30677900982136763,17.958830058734577,0.8714754518298459,0.8395647197377439,762
base_25d,oi,0.20969962527666844,18.731021850500834,0.9348038774453467,0.9077505939752871,762
base_25d,disp,0.15605417032677116,1.5615247665467462,0.95401698763041,0.9510567907133992,762
base_25d,barrier,0.32520579526202814,13.671770242912173,0.8498164077576741,0.912528439511238,762
base_24d_d26,strain,0.3886716524905567,12.85829582757347,0.7952449001457853,0.7835229361567857,783
base_24d_d26,Pauli,0.26730100956024294,36.45480643830007,0.8964073307355687,0.8616479117686163,783
base_24d_d26,elst,0.3155631304207249,18.667072053604272,0.8616980937694437,0.8338526392333027,783
base_24d_d26,oi,0.2174470479249763,19.716802065591178,0.9285235170680617,0.9050691012989025,783
base_24d_d26,disp,0.15703425097847712,1.592216474229827,0.9541338777423193,0.9519674209695226,783
base_24d_d26,barrier,0.39691733476379304,15.436715903952795,0.8036846033207661,0.8549382066604885,783
base_24d_d27,strain,0.38217284960497083,12.941636914181876,0.7925820567041726,0.795165199434951,783
base_24d_d27,Pauli,0.20633913455704347,29.69918454292781,0.9312443360432047,0.9123762747191012,783
base_24d_d27,elst,0.2691173727379836,16.293415883105908,0.8946341089701397,0.8824407171166394,783
base_24d_d27,oi,0.15131570556392362,15.121868504208672,0.9579562799474606,0.95255349775864,783
base_24d_d27,disp,0.14953702453192352,1.5474137358480136,0.9566787785328449,0.95728345861935,783
base_24d_d27,barrier,0.3762881757290919,15.112644727051462,0.8118407883685785,0.836332733310513,783
base_24d_d28,strain,0.3965140462829215,13.088129704803203,0.7878597474190292,0.7775495393337424,783
base_24d_d28,Pauli,0.26287741980549034,36.38787601761718,0.8967873703909064,0.8659500977902932,783
base_24d_d28,elst,0.314298174487476,18.872722225764722,0.8586340375875067,0.8328465271233335,783
base_24d_d28,oi,0.22009177036665914,20.481380848591442,0.922872600627727,0.903241056383762,783
base_24d_d28,disp,0.15515226102570326,1.5864340800898324,0.9544664134411401,0.9488898143647253,783
base_24d_d28,barrier,0.3996228737866765,15.501612130631333,0.8020305068891737,0.8625774567025664,783
base_24d_d26_27_28,strain,0.3773029373757469,12.70900586939068,0.7999718761064296,0.7947043649469666,783
base_24d_d26_27_28,Pauli,0.21155263750258751,30.61861723712918,0.9269213395928765,0.901815277718252,783
base_24d_d26_27_28,elst,0.2715353519684007,16.449321416444896,0.892608049115054,0.873431568475799,783
base_24d_d26_27_28,oi,0.15180193258506755,15.313495857116777,0.9568839554516799,0.9488182708528777,783
base_24d_d26_27_28,disp,0.1490577651453054,1.5535064951403708,0.956336962512707,0.9556720125680577,783
base_24d_d26_27_28,barrier,0.3676280153355575,14.486119451289944,0.8271184439036193,0.8473544268950187,783
base_25d_d26_27_28,strain,0.223769056743201,8.334703829087722,0.9129789039498537,0.8942255072646175,762
base_25d_d26_27_28,Pauli,0.2123066329192259,30.803877717556087,0.9260059223840071,0.9053706012530676,762
base_25d_d26_27_28,elst,0.27022750664508627,16.3296059239577,0.8937371615214356,0.8713974629783082,762
base_25d_d26_27_28,oi,0.14906783296433215,14.981637962068433,0.9582921865489012,0.9487747605006009,762
base_25d_d26_27_28,disp,0.14905942551857368,1.5219674214657517,0.9563172091048747,0.957147013780019,762
base_25d_d26_27_28,barrier,0.29489189078572775,12.341331101524542,0.8776237915840016,0.9094865483948056,762
