phase,canonical,model,target_used,mae_mean,mae_std,r2_mean,r2_std,y_range,n_seeds
Phase 1 (paper),d1,ridge,distortion_energy_1_dft,3.31288199630072,0.22174925215917898,0.4037477683775766,0.5264661435919094,38.75565500002779,5
Phase 1 (paper),d1,krr,distortion_energy_1_dft,2.9862491826928057,0.1221232719178236,0.6656443173107738,0.054943856219589256,38.75565500002779,5
Phase 1 (paper),d1,svr,distortion_energy_1_dft,2.6431154539853234,0.14995804507912452,0.7402053688015033,0.0515472068610746,38.75565500002779,5
Phase 1 (paper),d1,rf,distortion_energy_1_dft,2.95240206341216,0.12254320636720463,0.7028027510709134,0.04164553959461286,38.75565500002779,5
Phase 1 (paper),d2,ridge,distortion_energy_2_dft,3.1556230232359566,0.13142215320596126,0.25363486964190807,0.848986195990833,36.13019499996845,5
Phase 1 (paper),d2,krr,distortion_energy_2_dft,2.7646371117996376,0.15463035275246687,0.6842051102213038,0.03544403127861704,36.13019499996845,5
Phase 1 (paper),d2,svr,distortion_energy_2_dft,2.3699925625160394,0.12483603531737308,0.7636374811488194,0.01955414406252412,36.13019499996845,5
Phase 1 (paper),d2,rf,distortion_energy_2_dft,2.6097591320889064,0.11332431713735905,0.7275474801498325,0.01941356228050531,36.13019499996845,5
Phase 1 (paper),interaction,ridge,interaction_energies_dft,3.1005945601471536,0.2164520571971058,-0.10745238139820479,1.4756576233149963,34.65826849604203,5
Phase 1 (paper),interaction,krr,interaction_energies_dft,2.917894056878641,0.1508604476492893,0.5364735439293831,0.05852200760760102,34.65826849604203,5
Phase 1 (paper),interaction,svr,interaction_energies_dft,2.4003449361661757,0.15577704084129226,0.7045069374798272,0.042679818369810274,34.65826849604203,5
Phase 1 (paper),interaction,rf,interaction_energies_dft,2.7415813589621862,0.168393053632844,0.6205376893500929,0.03677116200370362,34.65826849604203,5
Phase 2 (τ=1e-10),d1,ridge,d1_own_dft,2.56384095912559,0.02206930909272946,0.8580284190908021,0.010082864446382936,53.98597521813522,5
Phase 2 (τ=1e-10),d1,krr,d1_own_dft,2.714405906331195,0.09007597947038601,0.8360948911318342,0.022398724991807298,53.98597521813522,5
Phase 2 (τ=1e-10),d1,svr,d1_own_dft,2.210206258230607,0.11312718679185378,0.8993057136673686,0.014147875255883922,53.98597521813522,5
Phase 2 (τ=1e-10),d1,rf,d1_own_dft,2.2061141970501708,0.05513148636455035,0.901890733897034,0.005746525116051066,53.98597521813522,5
Phase 2 (τ=1e-10),d1,xgb,d1_own_dft,1.790617674522533,0.062093719099466836,0.9315299274560471,0.004130378188416963,53.98597521813522,5
Phase 2 (τ=1e-10),d2,ridge,d2_own_dft,2.0927009109820793,0.08771343921010955,0.8660981575862191,0.020756813592674006,45.053803956989775,5
Phase 2 (τ=1e-10),d2,krr,d2_own_dft,2.4672284256457635,0.08817254886699107,0.8154908094009908,0.02088367235127925,45.053803956989775,5
Phase 2 (τ=1e-10),d2,svr,d2_own_dft,1.8793256098269562,0.045627917657186115,0.897000932169116,0.01135363260928087,45.053803956989775,5
Phase 2 (τ=1e-10),d2,rf,d2_own_dft,1.7953671062321543,0.08554915479703462,0.8995355458598409,0.014533576127105208,45.053803956989775,5
Phase 2 (τ=1e-10),d2,xgb,d2_own_dft,1.469311983883634,0.059107005150240845,0.9245127322156627,0.013459340539107726,45.053803956989775,5
Phase 2 (τ=1e-10),interaction,ridge,interaction_own_dft,2.250494566090972,0.263224487660068,0.7318413624435095,0.24133792843722446,45.258575012874275,5
Phase 2 (τ=1e-10),interaction,krr,interaction_own_dft,2.3417055830129514,0.1160174139063519,0.7757600738847602,0.013683683397990145,45.258575012874275,5
Phase 2 (τ=1e-10),interaction,svr,interaction_own_dft,1.8584674649770458,0.1005018082991129,0.8522398630810493,0.011166004352108214,45.258575012874275,5
Phase 2 (τ=1e-10),interaction,rf,interaction_own_dft,2.543261789865453,0.1111255150856252,0.7698465686655063,0.005920351485403605,45.258575012874275,5
Phase 2 (τ=1e-10),interaction,xgb,interaction_own_dft,1.8325282769831355,0.10774088956955608,0.8711873760941394,0.009768926892344562,45.258575012874275,5
Phase 2 (τ=1e-10),pauli,ridge,pauli_dft,7.360754895131322,0.5077131235316196,0.6138285498123695,0.5595180539720066,211.98982394254529,5
Phase 2 (τ=1e-10),pauli,krr,pauli_dft,10.099727735816037,0.658252083556048,0.5576520844891606,0.08775041020592844,211.98982394254529,5
Phase 2 (τ=1e-10),pauli,svr,pauli_dft,5.731661460239122,0.17142489887495418,0.8719626861327919,0.013810539092362333,211.98982394254529,5
Phase 2 (τ=1e-10),pauli,rf,pauli_dft,8.727447685142616,0.2754909136980897,0.8033105666695551,0.010431881586300854,211.98982394254529,5
Phase 2 (τ=1e-10),pauli,xgb,pauli_dft,5.2980555211008635,0.178169665510563,0.9145064754290285,0.006353288459175267,211.98982394254529,5
Phase 2 (τ=1e-10),oi,ridge,oi_dft,3.965628056786296,0.22595597701946532,0.6055285222314675,0.5366564338034888,99.72102480987355,5
Phase 2 (τ=1e-10),oi,krr,oi_dft,4.476158927730832,0.2780654755083499,0.6731047608099087,0.09222985414320167,99.72102480987355,5
Phase 2 (τ=1e-10),oi,svr,oi_dft,3.057112233219058,0.13255041507716422,0.8684865618948379,0.015907999816865356,99.72102480987355,5
Phase 2 (τ=1e-10),oi,rf,oi_dft,5.178015862347854,0.25155593873650584,0.7269231761436846,0.01447268066695473,99.72102480987355,5
Phase 2 (τ=1e-10),oi,xgb,oi_dft,2.929968148742309,0.08429100067763455,0.9026096747199537,0.0026174707058444382,99.72102480987355,5
Phase 2 (τ=1e-10),elst,ridge,elst_dft,4.267494790186007,0.20159250587909622,0.6446659825486687,0.3945018633424162,111.81272976499092,5
Phase 2 (τ=1e-10),elst,krr,elst_dft,5.2158875808029945,0.24417927517241403,0.601113945754844,0.06835737239348529,111.81272976499092,5
Phase 2 (τ=1e-10),elst,svr,elst_dft,3.769027017024294,0.1821539682605898,0.8178516913903401,0.01954317585261405,111.81272976499092,5
Phase 2 (τ=1e-10),elst,rf,elst_dft,5.394776904109754,0.10599944521562549,0.6945619051414921,0.02077604001249313,111.81272976499092,5
Phase 2 (τ=1e-10),elst,xgb,elst_dft,3.680086146674783,0.0828514431976211,0.8482205567444696,0.005699258530123492,111.81272976499092,5
Phase 2 (τ=1e-10),disp,ridge,disp_dft,0.012209312570112655,0.0005968315294553999,0.9999867193993207,7.801010219184852e-06,31.31429297270564,5
Phase 2 (τ=1e-10),disp,krr,disp_dft,0.866566836057331,0.037402601283477915,0.8970067093305337,0.023076470401908612,31.31429297270564,5
Phase 2 (τ=1e-10),disp,svr,disp_dft,0.3651214185587336,0.020984361150820204,0.9807599081626442,0.003247387834091284,31.31429297270564,5
Phase 2 (τ=1e-10),disp,rf,disp_dft,0.12681719716132647,0.02038750685854005,0.9963910778462592,0.003065249956837812,31.31429297270564,5
Phase 2 (τ=1e-10),disp,xgb,disp_dft,0.08204531524425521,0.019424138647448047,0.996864808510535,0.00297495422199234,31.31429297270564,5
Phase 2 (τ=1e-10),cpcm,ridge,cpcm_dft,2.605925275686805,0.1549800355538602,0.7358350103798136,0.04056046564139825,43.12509475503047,5
