fold,member,channel,MAE,RMSE,NMAE,R2_det
0,0,strain,9.559228289469033,13.436365333217998,0.4262692198718163,0.7519417199927868
0,0,Pauli,25.758126465378293,37.91344457414324,0.35280188751592634,0.8664998409203428
0,0,Velst,12.443406235640216,17.466951297401273,0.36230567321422374,0.8590207002574247
0,0,oi,15.378190080831006,21.962565404531333,0.30471138511577134,0.8952212033829691
0,0,disp,1.1002035968622583,1.554540402067639,0.18103513597617332,0.958517574995671
0,0,barrier,9.842170402692382,13.296530131159242,0.343400245059021,0.8618264513342684
0,1,strain,10.609479003461303,14.478481776636873,0.47310245148492697,0.7119710320782671
0,1,Pauli,25.55989234158947,38.260010952694905,0.35008672990783063,0.8640480389943958
0,1,Velst,13.198799440055895,18.374720474345068,0.38429991163130545,0.8439863445566709
0,1,oi,15.292946412305163,21.744638929206975,0.30302232312783056,0.8972902500858636
0,1,disp,1.2696452524251998,1.792168730891303,0.20891624202086245,0.9448662032929867
0,1,barrier,9.651824006039625,12.70398186983435,0.3367589254534615,0.8738672112170225
0,2,strain,10.95067903627256,14.951636531013028,0.4883173901183019,0.6928379322774008
0,2,Pauli,25.254198378058756,37.10941207674633,0.3458997247900158,0.87210209105251
0,2,Velst,13.058110319125424,17.68793035454035,0.38020356809743955,0.8554310024740378
0,2,oi,14.550023924013612,20.778114891642687,0.2883016739974005,0.906217985527783
0,2,disp,1.2305752840011743,1.7457972168356228,0.20248739824467385,0.9476824132778301
0,2,barrier,9.746922673123658,12.97944359680868,0.3400769848087953,0.8683380089215806
0,3,strain,10.906373471780947,14.80197564952991,0.4863416973280558,0.6989563358147847
0,3,Pauli,26.73330231684788,43.139725857282265,0.36615859967901215,0.8271576914911203
0,3,Velst,14.374671419714666,21.033433376824114,0.41853692689355726,0.7955714864262382
0,3,oi,15.684199127422017,24.528336289584892,0.3107748061005941,0.8693096700911118
0,3,disp,1.1501336321709261,1.6344577305573138,0.1892509705336852,0.9541428039217772
0,3,barrier,9.97881195974198,13.264571270810075,0.34816776505270475,0.8624898668605058
0,4,strain,11.032322660183452,15.323971034778085,0.49195807771547373,0.6773491857930283
0,4,Pauli,26.219813984670456,39.04014406609555,0.3591254929407135,0.8584473123893337
0,4,Velst,13.592558584395487,18.708206668039022,0.39576471227934706,0.8382719135033951
0,4,oi,14.490387651571043,21.070390680827625,0.2871200101550626,0.9035610558112624
0,4,disp,1.2206137749799497,1.760670405419571,0.2008482624107896,0.9467871845154998
0,4,barrier,9.735734799675122,12.782666732182356,0.33968663203834687,0.8722999110206783
1,0,strain,11.062102992063874,15.857189079031132,0.49900713899910676,0.6605837180958747
1,0,Pauli,25.385476057696494,39.10275471621793,0.2974962090785463,0.880281744816093
1,0,Velst,13.300505054984123,19.88129367378233,0.35747640804636177,0.8351032815210334
1,0,oi,16.05649124588936,23.4901596750884,0.279621136406124,0.896846863632482
1,0,disp,1.2091071184273738,2.0041503784090087,0.20112752254229796,0.934576877208312
1,0,barrier,10.017480347566543,14.01096843454741,0.3599570677262937,0.8367060085271447
1,1,strain,9.043234451561217,12.728953525084687,0.40793676882317553,0.7812914990012888
1,1,Pauli,27.3536387401022,44.12290416635252,0.32056140334690586,0.8475688061326992
1,1,Velst,13.45243132038481,19.828137244509392,0.3615597158169177,0.8359838683700251
1,1,oi,17.303504602164978,27.342721652078804,0.3013376675246317,0.8602364310339443
1,1,disp,1.2120108241867866,1.9951236324694464,0.20161053611213128,0.9351648849448545
1,1,barrier,10.075649311398244,13.238716005739136,0.3620472469856543,0.8542107078692198
1,2,strain,10.966382593106312,15.53464236320679,0.4946892292434361,0.6742512325032237
1,2,Pauli,27.89111847786387,40.46924169856771,0.3268602091710397,0.8717681804382345
1,2,Velst,15.095974910031458,20.25876546336772,0.40573308039711026,0.8287822895278449
1,2,oi,16.95944398375833,24.787294984927808,0.2953459088247918,0.8851400111562442
1,2,disp,1.2530957277223562,2.030605261902275,0.20844475678295663,0.9328383009260912
1,2,barrier,10.19360266720793,14.169875422029124,0.36628565251405093,0.8329809690157737
1,3,strain,10.507587882363872,15.133492375088617,0.4739931793006943,0.6908575909785134
1,3,Pauli,28.06623784447931,41.697498705526264,0.3289124593469246,0.8638662904282721
1,3,Velst,13.761992576015983,19.937254721383187,0.3698797642117631,0.8341736860661418
1,3,oi,16.99417121395184,24.6523405778751,0.2959506777884614,0.8863873166394416
1,3,disp,1.100561993706758,1.9382582967331259,0.18307170954907262,0.938808096458942
1,3,barrier,9.644002245300134,13.364184456419169,0.3465369183586481,0.8514342095157297
1,4,strain,11.375461358173638,15.952146399896868,0.5131426123233064,0.6565065059274257
1,4,Pauli,28.501083914641363,40.557907015832455,0.3340084857957448,0.871205670758399
1,4,Velst,14.596315654220096,19.60656071623394,0.39230378615030037,0.8396290989452546
1,4,oi,17.153001440558462,25.86280689609176,0.2987166798856354,0.8749563006010728
1,4,disp,1.2668486596292752,1.9785145971660223,0.21073247230457992,0.9362398723934415
1,4,barrier,9.823658722411295,13.858762035694673,0.35299249565505664,0.8402345853325202
2,0,strain,10.70019103804971,16.9068047947724,0.4631899408322353,0.6252853459581116
2,0,Pauli,30.750921258501187,53.457195830400785,0.3690470288302945,0.7944736582097459
2,0,Velst,15.340509142845299,26.03319879109701,0.40594888204442964,0.755830303816125
2,0,oi,16.658942014168783,26.137038805446437,0.3056800810134231,0.8741983060592101
2,0,disp,1.264834498784914,1.7692817099515228,0.2194307205261704,0.9423412058495227
2,0,barrier,10.4666929790501,14.592220847342206,0.357739919879349,0.839952435668513
2,1,strain,11.269587404788679,15.255361973480644,0.4878379745432282,0.6949137501625953
