channel,best_classical_model,classical_NMAE,neural_NMAE,delta_NMAE (classical - neural)
strain,xgb,0.40376480014995264,0.4618940105836205,-0.058129210433667866
Pauli,xgb,0.26413254530470115,0.3507674286820007,-0.08663488337729958
elst,xgb,0.31852952896542724,0.39557761711041894,-0.0770480881449917
oi,xgb,0.21968485438640653,0.3047387777507911,-0.08505392336438458
disp,xgb,0.1637050413674043,0.20624240326823587,-0.04253736190083157
barrier,ridge,0.36553403363550735,0.3724386373089718,-0.00690460367346446
