model,channel,NMAE,RMSE,R2,slope
ridge,barrier_direct,0.5016732387521795,22.051115036010742,0.6126107304108515,0.6744404807699403
lasso,barrier_direct,0.5314192715553546,27.87559700012207,0.38093699639740164,0.6473415878574886
enet,barrier_direct,0.5264274236773667,25.891191482543945,0.4659394202668855,0.64784618903872
xgb,barrier_direct,0.4174685600312766,18.090906143188477,0.7392603332074611,0.7471042058546955
ridge,barrier_sum,0.5030643856108664,22.582773208618164,0.5937054467603725,0.6814853266865945
lasso,barrier_sum,0.7179283421268156,45.869686126708984,-0.676246881132863,0.46941108794363146
enet,barrier_sum,0.5983524072563213,41.22943115234375,-0.3542570430973939,0.6141915232263163
xgb,barrier_sum,0.5567596864626144,23.576183319091797,0.5571736430581886,0.8070109662849541
