model,fold,member,channel,MAE,RMSE,NMAE,R2_det
m1,0,0,strain,16.69854949555307,22.07137144428261,0.8512841822132525,0.20343818662312774
m1,0,0,Pauli,75.3080582288826,116.90350322904217,0.7234869798605456,0.18824643386919226
m1,0,0,Velst,31.993918454122245,45.772963355078495,0.7443778282902594,0.25489615826456713
m1,0,0,oi,59.44798575032432,97.81501591812487,0.7301652599639341,0.10517522765696585
m1,0,0,disp,1.6204156230830546,2.048735280720418,0.31062782209073053,0.9103620645741314
m1,0,0,barrier,20.629148069417703,28.37782239553073,0.6537612565365549,0.5617786444212859
m1,0,1,strain,16.05162856563832,21.240580883224617,0.8183044581404657,0.26227649221717664
m1,0,1,Pauli,70.33318523191056,108.77636502416571,0.6756932121759517,0.29718950610799166
m1,0,1,Velst,29.29392277744581,41.39734089413763,0.6815591110056144,0.3905422071254836
m1,0,1,oi,55.29076294854002,91.36000899545603,0.6791044943302343,0.21938084110378497
m1,0,1,disp,1.6845501541341625,2.143953371188687,0.32292218004274276,0.9018363216523022
m1,0,1,barrier,21.721609590188514,28.682893503789202,0.688382609494691,0.5523059462149054
m1,0,2,strain,16.71276692024567,21.71688958721626,0.8520089798225204,0.22881941015987517
m1,0,2,Pauli,73.03358109192278,111.60134308765679,0.7016360035735244,0.2602107842870627
m1,0,2,Velst,31.696881773336877,45.287380349936164,0.7374669049007841,0.2706211891444462
m1,0,2,oi,57.699282423505245,93.4263394439362,0.7086869474002543,0.18367028630054472
m1,0,2,disp,1.6012928568342197,2.067490636167802,0.3069620568712346,0.9087133531228162
m1,0,2,barrier,20.22144207789463,28.002582827020372,0.6408405881493446,0.5732912128917155
m1,0,3,strain,16.240365319282002,22.193042215912197,0.8279261688777925,0.19463171740142649
m1,0,3,Pauli,67.29613247757437,100.11280048316907,0.6465161469775141,0.4046828773708918
m1,0,3,Velst,29.330454069863325,41.536771090995806,0.6824090564148765,0.38642986931727674
m1,0,3,oi,52.31379531089615,81.41148653207117,0.6425401209270094,0.3801332968558242
m1,0,3,disp,1.5912903997133363,2.0133231384203136,0.3050446219694997,0.9134340455233998
m1,0,3,barrier,20.401560881602688,27.380176069636107,0.6465487586972409,0.5920491161091882
m1,0,4,strain,15.956519273841906,21.355200100385623,0.813455831275638,0.2542931477862701
m1,0,4,Pauli,74.26413983518972,113.75805259836586,0.7134580216901161,0.231341469467381
m1,0,4,Velst,30.26247419726174,43.48795308454332,0.7040936499838225,0.3274312627712411
m1,0,4,oi,58.16398347623693,94.55480044478414,0.7143946019269931,0.16383092109113606
m1,0,4,disp,1.6325803237891048,2.0791452575388676,0.3129597512778341,0.9076812710747614
m1,0,4,barrier,20.30471916768536,27.63306819249602,0.6434797342100105,0.5844783825089366
