seed,target,canonical,mae_full,mae_xgb_only,r2
1,d1_own_dft,d1,1.8333364725112915,1.8333861827850342,0.9284090399742126
1,d2_own_dft,d2,1.442989468574524,1.4430904388427734,0.928734540939331
1,elst_dft,elst,3.6454296112060547,3.6450624465942383,0.8481529951095581
1,pauli_dft,pauli,5.601151943206787,5.600972652435303,0.9091017842292786
1,oi_dft,oi,2.9157984256744385,2.9161055088043213,0.9034056067466736
1,disp_dft,disp,1.0812082290649414,1.081124186515808,0.9108966588973999
1,cpcm_dft,cpcm,2.403985023498535,2.404062509536743,0.7649473547935486
1,cds_dft,cds,0.30735376477241516,0.3073183298110962,0.7306907176971436
14,d1_own_dft,d1,1.8192944526672363,1.8192269802093506,0.9274349212646484
14,d2_own_dft,d2,1.3379878997802734,1.3377119302749634,0.936870276927948
14,elst_dft,elst,3.7208621501922607,3.7210278511047363,0.8412342071533203
14,pauli_dft,pauli,5.501487731933594,5.501904487609863,0.9086621999740601
14,oi_dft,oi,2.965221881866455,2.9652915000915527,0.8961902856826782
14,disp_dft,disp,0.9770038723945618,0.9770038723945618,0.920386016368866
14,cpcm_dft,cpcm,2.3883216381073,2.3884847164154053,0.7541034817695618
14,cds_dft,cds,0.2948421239852905,0.2948535680770874,0.7705579996109009
2,d1_own_dft,d1,1.8079001903533936,1.8080147504806519,0.9340810179710388
2,d2_own_dft,d2,1.5101152658462524,1.5104542970657349,0.9310807585716248
2,elst_dft,elst,3.608926773071289,3.608825445175171,0.8430021405220032
2,pauli_dft,pauli,5.486541748046875,5.485808849334717,0.9015788435935974
2,oi_dft,oi,2.9941461086273193,2.9942076206207275,0.9026205539703369
2,disp_dft,disp,0.9897177815437317,0.9896444082260132,0.9199332594871521
2,cpcm_dft,cpcm,2.3087408542633057,2.3087475299835205,0.8063839673995972
2,cds_dft,cds,0.2761421501636505,0.27610498666763306,0.7555850148200989
22,d1_own_dft,d1,1.777176022529602,1.777099609375,0.9318349957466125
22,d2_own_dft,d2,1.4893128871917725,1.4894946813583374,0.9028671979904175
22,elst_dft,elst,3.928598642349243,3.92879056930542,0.8476627469062805
22,pauli_dft,pauli,5.8475823402404785,5.8474202156066895,0.9161056280136108
22,oi_dft,oi,3.0960495471954346,3.0961203575134277,0.9017742872238159
22,disp_dft,disp,1.0298097133636475,1.0297768115997314,0.9204366207122803
22,cpcm_dft,cpcm,2.34385347366333,2.344137191772461,0.7754217982292175
22,cds_dft,cds,0.30713653564453125,0.3071436285972595,0.7186037302017212
23,d1_own_dft,d1,1.8298768997192383,1.8303152322769165,0.9306514859199524
23,d2_own_dft,d2,1.414958119392395,1.414974570274353,0.9318100810050964
23,elst_dft,elst,3.7090625762939453,3.70872163772583,0.8460188508033752
23,pauli_dft,pauli,5.394728660583496,5.393572807312012,0.9066964983940125
23,oi_dft,oi,3.086510419845581,3.086629867553711,0.8937424421310425
23,disp_dft,disp,0.9738996028900146,0.9738995432853699,0.9247208833694458
23,cpcm_dft,cpcm,2.466702699661255,2.4666435718536377,0.7606374025344849
23,cds_dft,cds,0.2858960032463074,0.28589415550231934,0.7462702393531799
