canonical,mae_p5,mae_p5_std,r2_p5,mae_p6_full,mae_p6_full_std,mae_p6_xgb_only,r2_p6,delta_mae,pct_change,mace_contrib
d1,1.8136085880723225,0.0227268729505417,0.930478427508552,1.8135168075561523,0.022616652950296023,1.8136085510253905,0.930482292175293,-9.178051617020344e-05,-0.0050606573421532255,9.174346923823684e-05
d2,1.439145193426833,0.0680230078087748,0.9262707447188816,1.4390727281570435,0.06779770180560803,1.4391451835632325,0.9262725710868835,-7.246526978943457e-05,-0.005035299434720917,7.245540618905366e-05
pauli,5.565935729140508,0.1737025916502063,0.9084350368276768,5.566298484802246,0.17344534169348086,5.565935802459717,0.9084289908409119,0.0003627556617384897,0.006517424551621735,-0.00036268234252911924
oi,3.01167084703353,0.0780053352629682,0.8995421926177318,3.011545276641846,0.07806534419740936,3.011670970916748,0.8995466351509094,-0.00012557039168425987,-0.004169459348718192,0.00012569427490216611
elst,3.722485549795194,0.1241635228026671,0.8452194653525769,3.7225759506225584,0.12399454740775402,3.722485589981079,0.8452141880989075,9.040082736433419e-05,0.002428507140056136,-9.036064147949219e-05
disp,1.0102897282465828,0.0454304054858023,0.9192764446334528,1.0103278398513793,0.04545836207243686,1.010289764404297,0.9192746877670288,3.8111604796498e-05,0.0037723440841710754,-3.8075447082341896e-05
cpcm,2.38241512373374,0.0601912930698111,0.7723014738476015,2.382320737838745,0.060248230758906944,2.3824151039123533,0.772298800945282,-9.438589499488614e-05,-0.003961773666335857,9.436607360813198e-05
cds,0.2942629486906533,0.0135688233313938,0.7443419436610567,0.294274115562439,0.013562841171720342,0.2942629337310791,0.7443415403366089,1.1166871785706078e-05,0.0037948616485337264,-1.1181831359896588e-05
