phase,model,target,mae_mean,mae_std,nmae_mean,nmae_std,r2_mean
phase1_espley,krr,d1_dft_espley,3.212370701484225,0.13720081761366915,0.08713729121593584,0.0037216463199415376,0.38432038464854473
phase1_espley,krr,d2_dft_espley,3.1934563999814634,0.15465764899058623,0.10730088228254217,0.005196533194732186,0.3978687495061176
phase1_espley,krr,interaction_espley,2.3327657945658995,0.13380593648822792,0.09187114226752509,0.005269669272408452,0.5147149617724287
phase1_espley,ridge,d1_dft_espley,3.4630823345312662,0.18965250465834327,0.09393797974479991,0.005144426675479945,0.3157591076755732
phase1_espley,ridge,d2_dft_espley,3.3164831299098934,0.2205583226194119,0.11143460919540475,0.007410811248889398,0.34291718435352875
phase1_espley,ridge,interaction_espley,2.8457058692978934,0.1551340180690019,0.11207222318623228,0.006109631527412838,0.2816790666048839
phase1_espley,svr,d1_dft_espley,3.1914317466875817,0.1523055987696659,0.08656931075184138,0.004131371671294964,0.39132953094117107
phase1_espley,svr,d2_dft_espley,3.2445393046781716,0.20946015641684795,0.10901727983334125,0.007037910267601439,0.363537138865862
phase1_espley,svr,interaction_espley,2.4052932564391223,0.1373575710441204,0.09472748591915912,0.005409543032700527,0.4237251270432413
phase2_armB_tau1e-10,krr,cds_dft,0.41021471435974133,0.055226215457737884,0.06818060449241671,0.009178989982389942,0.4419521813022814
phase2_armB_tau1e-10,krr,cpcm_dft,2.4053848296723377,0.20084276220222957,0.05282000865360284,0.00441031984016477,0.7338525857808474
phase2_armB_tau1e-10,krr,d1_own,2.4775710726260334,0.03667586743341419,0.06552479527856163,0.0009699736696921227,0.7903291373816462
phase2_armB_tau1e-10,krr,d2_own,2.2456182901513664,0.18303781561156574,0.04684429861123632,0.003818225977790131,0.811589956279952
phase2_armB_tau1e-10,krr,disp_dft,0.057883604315015234,0.0015733659811191193,0.0029356053305442825,7.979429781072205e-05,0.9992960914375183
phase2_armB_tau1e-10,krr,elst_dft,3.841960898077317,0.4410271853188073,0.0378318660615289,0.0043428035441027074,0.8092300083030741
phase2_armB_tau1e-10,krr,oi_dft,3.397208974325862,0.4597632699546755,0.033974258257500854,0.004597926176694167,0.8262334122076892
phase2_armB_tau1e-10,krr,pauli_dft,5.732080243915403,0.6439110595751408,0.028332692292813707,0.0031827422399133038,0.8620343288131803
phase2_armB_tau1e-10,ridge,cds_dft,0.4449571780316049,0.04566375521804702,0.07395504917171258,0.007589641046932037,0.36074714124571305
phase2_armB_tau1e-10,ridge,cpcm_dft,2.472716084965808,0.2096006093728809,0.05429854025627513,0.00460263400030843,0.7186137113987752
phase2_armB_tau1e-10,ridge,d1_own,2.7406357427765324,0.10630677158853838,0.07248211684526995,0.002811515488708322,0.7420660975397797
phase2_armB_tau1e-10,ridge,d2_own,2.4080430083890674,0.1689130345219216,0.0502325289424294,0.003523578634524574,0.7843342610538545
phase2_armB_tau1e-10,ridge,disp_dft,3.055580756061065e-05,2.5560032159754098e-06,1.5496580182852476e-06,1.296293960008176e-07,0.9999999998466023
phase2_armB_tau1e-10,ridge,elst_dft,4.078166446324355,0.3635325236951295,0.04015778683514841,0.003579712055978073,0.8005674701362944
phase2_armB_tau1e-10,ridge,oi_dft,3.763143669021413,0.29802447651396474,0.03763383878873191,0.002980435000808617,0.7948909963739653
phase2_armB_tau1e-10,ridge,pauli_dft,6.729661943080759,0.7677696102595365,0.033263568016229594,0.003794953872522584,0.8189155945782558
phase2_armB_tau1e-10,svr,cds_dft,0.4031568184739327,0.049746039903111765,0.06700753197430863,0.00826814580991273,0.4337689914635985
phase2_armB_tau1e-10,svr,cpcm_dft,2.4513212040483587,0.12961725997409967,0.05382872861480219,0.0028462742048725943,0.7173561872837426
phase2_armB_tau1e-10,svr,d1_own,2.4013092679001375,0.10767976987281835,0.06350788476590315,0.0028478274365225614,0.8274590682905657
phase2_armB_tau1e-10,svr,d2_own,2.1870279587286383,0.19458684254095324,0.045622086005944175,0.004059142285126123,0.8055775203208213
phase2_armB_tau1e-10,svr,disp_dft,0.036047819497471115,0.004649986354873708,0.0018281890411551934,0.00023582713778562054,0.9996702680844122
phase2_armB_tau1e-10,svr,elst_dft,3.912850575537415,0.32812955689789597,0.038529918138049915,0.0032310983314802607,0.8065867233193573
phase2_armB_tau1e-10,svr,oi_dft,3.288064815165475,0.3423718302549065,0.0328827469967464,0.0034239368461228214,0.8232525035615391
phase2_armB_tau1e-10,svr,pauli_dft,6.299056228457257,0.8549312255325415,0.031135157614978603,0.00422577882963934,0.8407430600816649
phase3_armB_tau0.05,krr,cds_dft,0.424822114475182,0.03127969269761511,0.070608458333515,0.00519890750332805,0.41150114222578904
phase3_armB_tau0.05,krr,cpcm_dft,2.5814074014471475,0.19377508415608438,0.05668530024839576,0.004255120218485474,0.6890324395501524
phase3_armB_tau0.05,krr,d1_own,2.4818590104365525,0.08554901763972449,0.0656381991886677,0.002262531206091104,0.7863611698281854
phase3_armB_tau0.05,krr,d2_own,2.2823032135346835,0.16195694346625583,0.047609557565990654,0.0033784724034221416,0.8100722824519935
phase3_armB_tau0.05,krr,disp_dft,0.044629966685533186,0.002619185082265948,0.0022634383199609935,0.0001328337061966173,0.9995739320248763
phase3_armB_tau0.05,krr,elst_dft,4.697641973873298,0.28634598538851086,0.04625777478618533,0.002819654664339753,0.7429728208306982
phase3_armB_tau0.05,krr,oi_dft,3.5250144933494694,0.47270554162592465,0.03525239502884964,0.004727357154747266,0.8022557100877812
phase3_armB_tau0.05,krr,pauli_dft,6.815674534890616,0.6578070534795863,0.03368871354688452,0.003251427761162833,0.8276603895361638
phase3_armB_tau0.05,ridge,cds_dft,0.4681857500133524,0.0359029500840953,0.07781580312268443,0.00596732577868474,0.3129607416514946
phase3_armB_tau0.05,ridge,cpcm_dft,2.6755429447128005,0.1993394915142951,0.05875242902902448,0.004377309417148084,0.6677300596138143
phase3_armB_tau0.05,ridge,d1_own,2.704722378771846,0.11665627011470739,0.07153230924936624,0.0030852306525862303,0.7399949934743405
phase3_armB_tau0.05,ridge,d2_own,2.472798231226644,0.14148052992579813,0.05158334310730517,0.0029513280242624454,0.7797524740671474
phase3_armB_tau0.05,ridge,disp_dft,2.6323247858680247e-05,1.9848612948793267e-06,1.3350009496753947e-06,1.0066355519134958e-07,0.9999999998835025
phase3_armB_tau0.05,ridge,elst_dft,5.3015284131485725,0.3428421225347192,0.052204256672158965,0.0033759732605489813,0.6944571494963152
phase3_armB_tau0.05,ridge,oi_dft,4.092047297563583,0.4578355046347348,0.04092308502067388,0.00457864729295917,0.7604382954213329
phase3_armB_tau0.05,ridge,pauli_dft,8.112724499472858,0.7980647157164618,0.04009980968845067,0.003944697397449776,0.7799042615364669
phase3_armB_tau0.05,svr,cds_dft,0.3969026224590154,0.03243294871721758,0.06596804009363177,0.0053905868600126056,0.4477443857469068
phase3_armB_tau0.05,svr,cpcm_dft,2.5678959816812545,0.17248717615735965,0.05638860206515572,0.0037876576025917337,0.6816927555420252
phase3_armB_tau0.05,svr,d1_own,2.3322549632329603,0.04790935419083172,0.06168159238365302,0.0012670678391296293,0.836823659804621
phase3_armB_tau0.05,svr,d2_own,2.242622094885161,0.1557369428603837,0.04678179704257558,0.0032487212489087456,0.804446548178923
phase3_armB_tau0.05,svr,disp_dft,0.027293381685027613,0.004135712494622617,0.0013842019292216508,0.0002097453983469957,0.9997892029788599
phase3_armB_tau0.05,svr,elst_dft,5.027728015991172,0.38139176208902076,0.049508138666888274,0.0037555723348311797,0.7243713868939561
phase3_armB_tau0.05,svr,oi_dft,3.6462680281168334,0.3249611967587416,0.036465007775358334,0.003249819397565574,0.7857859214771393
phase3_armB_tau0.05,svr,pauli_dft,7.561785761415995,0.8683161704289778,0.037376613732824304,0.004291938323046565,0.8002318668844316
phase4_stacked_xgb_mace,stacked,cds_dft,0.43343991875648497,0.028296823123262812,0.07204079872679818,0.004703133354858493,0.3630464315414429
phase4_stacked_xgb_mace,stacked,cpcm_dft,2.89131290435791,0.1418949969390534,0.06349053621048314,0.0031158818637950334,0.6160540699958801
phase4_stacked_xgb_mace,stacked,d1_own,2.411752948760986,0.1378588716479531,0.06378409078797154,0.003645979904217713,0.8297760128974915
phase4_stacked_xgb_mace,stacked,d2_own,2.248215427398682,0.1472800598689114,0.04689847570503769,0.003072308029480374,0.8127754139900207
phase4_stacked_xgb_mace,stacked,disp_dft,0.08420710876584053,0.029260791771725293,0.00427061929346026,0.0014839804348317118,0.9974898052215576
phase4_stacked_xgb_mace,stacked,elst_dft,5.964608306884766,0.5093739920372599,0.058733617692067926,0.005015815921401943,0.552900333404541
phase4_stacked_xgb_mace,stacked,oi_dft,5.1435638046264645,0.4294776238525243,0.05143892129773679,0.004295050383669415,0.6023590254783631
phase4_stacked_xgb_mace,stacked,pauli_dft,10.568129425048829,0.7760373405841925,0.05223645628973468,0.003835819849494397,0.5760986661911011
