   4.00000000 -90.63594454 
   3.90000000 -90.63633911 
   3.80000000 -90.63664753 
   3.70000000 -90.63688319 
   3.60000000 -90.63697398 
   3.50000000 -90.63689872 
   3.40000000 -90.63662183 
   3.30000000 -90.63608083 
   3.20000000 -90.63517334 
   3.10000000 -90.63377528 
   3.00000000 -90.63178639 
   2.90000000 -90.62904125 
   2.80000000 -90.62535669 
   2.70000000 -90.62058306 
   2.60000000 -90.61466192 
   2.50000000 -90.60767427 
   2.40000000 -90.61060515 
   2.30000000 -90.60500264 
   2.20000000 -90.59912105 
   2.10000000 -90.59353008 
   2.00000000 -90.63013042 
   1.90000000 -90.64221565 
   1.80000000 -90.65441947 
