   4.00000000 -90.65232034 
   3.90000000 -90.65279635 
   3.80000000 -90.65319342 
   3.70000000 -90.65350725 
   3.60000000 -90.65369997 
   3.50000000 -90.65373041 
   3.40000000 -90.65356321 
   3.30000000 -90.65313618 
   3.20000000 -90.65234956 
   3.10000000 -90.65108082 
   3.00000000 -90.64922667 
   2.90000000 -90.64662281 
   2.80000000 -90.64308161 
   2.70000000 -90.63845354 
   2.60000000 -90.63268440 
   2.50000000 -90.62586127 
   2.40000000 -90.62931311 
   2.30000000 -90.62391213 
   2.20000000 -90.61821912 
   2.10000000 -90.61275874 
   2.00000000 -90.64729991 
   1.90000000 -90.65884440 
   1.80000000 -90.67092187 
