reaction_id,sub_source,reaction_number,flags,e_barrier_dft,sum_distortion_energies_dft,interaction_energies_dft,asm_residual_kcal
dipolar_004494,locked_778,308,e_barrier_lt_0,-5.687877615810649,64.36212238418935,70.05,1.4210854715202004e-14
dipolar_004537,locked_778,310,e_barrier_lt_0,-3.128676104077691,59.39132389592231,62.52,0.00999999999999801
dipolar_004557,locked_778,311,e_barrier_lt_0,-3.28945433742821,4.18054566257179,7.47,0.010000000000000675
dipolar_004574,spec16,312,e_barrier_lt_0,-5.8559999999999945,77.744,83.6,0.010000000000013998
dipolar_004576,locked_778,313,e_barrier_lt_0,-3.1456066354369314,5.714393364563068,8.86,0.009999999999999787
dipolar_004578,spec16,314,e_barrier_lt_0,-0.2010000000000005,50.889,51.09,0.010000000000018827
dipolar_004580,spec16,315,sum_distortion_gt_100,11.107,114.157,103.05,1.4210854715202004e-14
dipolar_004582,locked_778,316,e_barrier_lt_0,-3.812977193852994,57.447022806147004,61.26,1.4210854715202004e-14
dipolar_004594,locked_778,317,e_barrier_lt_0|e_barrier_lt_neg20,-37.05755206623019,8.112447933769815,45.17,0.009999999999990905
dipolar_004652,locked_778,318,e_barrier_lt_0,-3.5248059638846048,10.835194036115395,14.36,0.009999999999994458
dipolar_004752,locked_778,323,e_barrier_lt_0,-3.744681886200792,5.005318113799208,8.75,0.00999999999999801
dipolar_004762,spec16,326,e_barrier_lt_0,-5.996000000000002,55.994,61.99,5.329070518200751e-15
dipolar_004770,locked_778,327,e_barrier_lt_0,-2.637789797370899,7.492210202629102,10.13,1.7763568394002505e-15
dipolar_004790,spec16,329,e_barrier_lt_0,-10.232999999999997,54.647,64.88,1.0658141036401503e-14
dipolar_004885,spec16,335,sum_distortion_gt_100,8.721999999999994,105.172,96.45,2.3092638912203256e-14
dipolar_004918,locked_778,337,e_barrier_lt_0,-4.261743972429107,8.978256027570893,13.24,5.329070518200751e-15
dipolar_004919,locked_778,338,e_barrier_lt_0,-0.393233413409547,42.696766586590456,43.09,1.4210854715202004e-14
dipolar_004948,spec16,340,e_barrier_lt_0,-3.5049999999999955,68.565,72.07,0.010000000000009557
dipolar_004963,spec16,341,e_barrier_lt_0,-0.15000000000000036,9.98,10.13,0.010000000000001924
dipolar_005107,spec16,347,sum_distortion_gt_100,26.986999999999995,100.327,73.34,1.0658141036401503e-14
dipolar_005117,spec16,348,e_barrier_lt_0,-13.637,74.163,87.8,0.010000000000019327
dipolar_005125,locked_778,349,e_barrier_lt_0,-3.7297137505540263,51.13028624944597,54.86,0.0
dipolar_005155,locked_778,353,e_barrier_lt_0,-2.7952327907562307,65.21476720924377,68.01,1.4210854715202004e-14
