sub_source,target,n,mean,std,min,max
locked_778,e_barrier_dft,192,3.376785897831398,11.539991049887536,-51.88871438176812,61.226704328300265
locked_778,sum_distortion_energies_dft,192,39.503400481164725,32.65373284125335,0.6234088748737824,123.41643863177649
locked_778,interaction_energies_dft,192,36.12661458333333,32.14627592767497,-0.99,114.9
spec16,e_barrier_dft,208,4.330951923076924,12.563039863280428,-39.476,68.39699999999999
spec16,sum_distortion_energies_dft,208,49.26999038461538,36.37056963633378,3.248,150.587
spec16,interaction_energies_dft,208,44.939038461538466,35.87599564897505,-3.94,123.26
ALL,e_barrier_dft,400,3.8729522309590707,12.07717846931114,-51.88871438176812,68.39699999999999
ALL,sum_distortion_energies_dft,400,44.58202723095908,34.93652026315516,0.6234088748737824,150.587
ALL,interaction_energies_dft,400,40.709075000000006,34.37799034913892,-3.94,123.26
