channel,full_NMAE,reduced_NMAE,delta
strain,0.2247365831926258,0.22553355445872625,0.0007969712661004547
Pauli,0.20938555145845683,0.20589871843600088,-0.0034868330224559485
elst,0.2733729975089215,0.2651316119311504,-0.008241385577771099
oi,0.14975428302524096,0.14618627413431778,-0.00356800889092318
disp,0.1492896139026249,0.15199732421280676,0.0027077103101818545
barrier,0.2258970207812247,0.2167874083294278,-0.009109612451796895
