model,fold,member,channel,n_test,MAE,RMSE,tail_ratio,NMAE,R2_det
m2,0,0,strain,114,14.80877001034586,18.92165810034754,1.2777332679978344,0.6611565437706326,0.47921470142412437
m2,0,0,Pauli,114,59.1658394671323,77.1433365642356,1.3038492694266617,0.6430409516525734,0.5476737122951956
m2,0,0,Velst,114,27.15502866841199,34.561499389628096,1.2727476671689786,0.6763536816878019,0.5104618442270437
m2,0,0,oi,114,46.5795296838409,58.70519534864018,1.2603217711106653,0.7555822107379168,0.4037474875213076
m2,0,0,disp,114,1.2314767952550922,1.6490814646754284,1.3391088415383678,0.2035243093161421,0.9486204333685024
m2,1,0,strain,124,11.118672128646605,14.49450462061504,1.303618314571108,0.607574037297049,0.5644899921358092
m2,1,0,Pauli,124,51.7331713937944,67.40754733647097,1.302985019483201,0.5964329323090091,0.647590027382249
m2,1,0,Velst,124,21.66941378578063,28.474968109290675,1.3140626871953416,0.5422809780667508,0.6883980830727223
m2,1,0,oi,124,33.661010336972055,48.136986968156904,1.4300517568031805,0.5404618964906244,0.6507970070687092
m2,1,0,disp,124,1.3950977909468836,1.9922618340191067,1.428044576478696,0.2452756523462889,0.9212980731776664
m2,2,0,strain,116,15.71269936602691,20.28756189609299,1.29115700768498,0.6131327013864576,0.5789372361817509
m2,2,0,Pauli,116,55.99200565239479,74.54990004542117,1.3314382861767098,0.5606379197816601,0.6255105244359846
m2,2,0,Velst,116,24.88225721490794,32.76619124018356,1.316849631332966,0.5587844719303984,0.6219507905978985
m2,2,0,oi,116,37.910987385388076,50.22887326857543,1.3249159869662217,0.5619818571335777,0.6209259781555891
m2,2,0,disp,116,1.1905754439789673,1.751391637462996,1.4710463300080765,0.20709867620331246,0.9384836969508609
m2,3,0,strain,119,15.77345753116768,20.588003585783095,1.3052308629925986,0.7281309588483178,0.3775116235605095
m2,3,0,Pauli,119,61.79179802662184,84.34291760516096,1.3649532834248228,0.6378651582678821,0.527115653684421
m2,3,0,Velst,119,26.428346774157355,35.47867408035209,1.3424477279465885,0.6597118585223252,0.5236996664475113
m2,3,0,oi,119,44.140641795486964,57.11825067720203,1.2940058946547062,0.6710967360676378,0.5242602349554537
m2,3,0,disp,119,1.271051345502629,1.7423023864854095,1.370756887713633,0.21401768762858034,0.9424989000655971
m2,4,0,strain,122,13.183177185840295,17.134697864454097,1.2997396320257326,0.6480413258095135,0.5367501593028232
m2,4,0,Pauli,122,67.82407483116525,92.01554044524629,1.356679625550381,0.7340461224259435,0.38369977909296893
m2,4,0,Velst,122,27.95850667992576,37.45561428666113,1.3396857963645927,0.6919615072914885,0.46398820209854175
m2,4,0,oi,122,45.31262838449634,62.32780032586497,1.3755061789174505,0.6754514307479054,0.48495792154166273
m2,4,0,disp,122,1.3055898667328427,1.7122428440379782,1.311470690503105,0.24238326573009503,0.9327589238415879
