model,fold,member,n_test,MAE,RMSE,tail_ratio,NMAE,R2_det
m2,0,0,114,17.62408654417908,23.46906137632907,1.331646966071015,0.49604727315852926,0.7148894827720376
m2,1,0,124,13.21088311196335,17.8413714693618,1.3505055883209829,0.42660199940880555,0.786547998497072
m2,2,0,116,14.428308506977968,18.66786441345496,1.2938359617433057,0.43004655779491,0.7959599025429489
m2,3,0,119,16.707974449676627,22.077869866543423,1.3213971527811816,0.4996356750961092,0.7367319442161835
m2,4,0,122,14.872496624171855,18.660699039819047,1.2547119364942623,0.47967297237382517,0.7924067225079467
