rxn_0016 f1=OK:12c:ec1 f2=OK:12c:ec1 
rxn_3380 f1=OK:16c:ec1 f2=OK:10c:ec1 
rxn_3461 f1=OK:16c:ec1 f2=OK:10c:ec1 
rxn_3382 f1=OK:18c:ec0 f2=OK:10c:ec1 
rxn_3402 f1=OK:15c:ec1 f2=OK:12c:ec1 
rxn_3449 f1=OK:14c:ec1 f2=OK:12c:ec1 
rxn_3436 f1=OK:12c:ec1 f2=OK:14c:ec1 
rxn_3279 f1=OK:10c:ec1 f2=OK:14c:ec1 
rxn_3318 f1=OK:14c:ec1 f2=OK:12c:ec1 
rxn_3316 f1=OK:10c:ec1 f2=OK:15c:ec1 
rxn_3315 f1=OK:11c:ec1 f2=OK:15c:ec1 
rxn_0112 f1=OK:13c:ec1 f2=OK:14c:ec1 
rxn_0029 f1=OK:16c:ec1 f2=OK:14c:ec1 
rxn_3322 f1=OK:11c:ec1 f2=OK:13c:ec0 
rxn_3337 f1=OK:15c:ec0 f2=OK:12c:ec1 
rxn_3336 f1=OK:16c:ec1 f2=OK:10c:ec1 
rxn_3418 f1=OK:14c:ec1 f2=OK:10c:ec1 
rxn_3401 f1=OK:14c:ec1 f2=OK:12c:ec1 
rxn_3493 f1=OK:14c:ec1 f2=OK:12c:ec1 
rxn_0139 f1=OK:15c:ec1 f2=OK:12c:ec1 
rxn_3487 f1=OK:12c:ec1 f2=OK:18c:ec1 
rxn_0138 f1=OK:15c:ec1 f2=OK:13c:ec1 
rxn_3342 f1=OK:15c:ec0 f2=OK:14c:ec1 
rxn_3338 f1=OK:16c:ec1 f2=OK:12c:ec1 
rxn_3360 f1=OK:16c:ec1 f2=OK:12c:ec1 
rxn_3331 f1=OK:17c:ec0 f2=OK:12c:ec1 
rxn_3441 f1=OK:14c:ec1 f2=OK:10c:ec1 
rxn_3389 f1=OK:13c:ec0 f2=OK:14c:ec1 
rxn_0107 f1=OK:16c:ec1 f2=OK:11c:ec0 
