reaction_id,jobtype,out,exists
dipolar_003313,eda,/gpfs/tmp_cpu2/yeseo1ee/spec23_wb97x3c_workdir/dipolar_003313/eda/eda.out,True
dipolar_003313,fragA_opt,/gpfs/tmp_cpu2/yeseo1ee/spec23_wb97x3c_workdir/dipolar_003313/fragA_opt/fragA_opt.out,True
dipolar_003313,fragB_opt,/gpfs/tmp_cpu2/yeseo1ee/spec23_wb97x3c_workdir/dipolar_003313/fragB_opt/fragB_opt.out,True
