arm,strain,Pauli,elst,oi,disp,barrier
xgb28_delta,0.2271425672954107,0.20505356847361284,0.26539365526369124,0.14909791258225163,0.14175715491994131,0.2994399674212151
ridge_delta,0.47574155111822214,0.38073983689938823,0.43137120842500726,0.32877172024059614,0.2188853816173992,0.37052507433599935
xgb_delta,0.3907382091015458,0.2694376059475135,0.3052129212736606,0.21369663701648892,0.15517275181369403,0.39298884623988345
xgb_24d,0.3928994194751083,0.27162079041099485,0.307279340682109,0.21483900568117886,0.15622265255990028,0.39498182534061677
xgb_28d(base_fold0),0.23168106459089108,0.2424476696765767,0.30909001092665034,0.15996769308651895,0.13755310070674506,0.28844417591650134
