model,fold,member,n_test,MAE,RMSE,tail_ratio,NMAE,R2_det
m1,0,0,114,21.357542552968912,29.282172752788036,1.3710459749835555,0.6011290694817093,0.5561580030148353
m1,1,0,124,22.4154959751233,29.171670007188265,1.3014064038361213,0.7238346838500256,0.42935456878416
m1,2,0,116,22.157425989364757,28.680320383954555,1.2943886351113478,0.6604187020060883,0.5183913889235875
m1,3,0,119,24.80199485892007,33.97734406599196,1.3699440008460433,0.7416794586555403,0.3764623470158843
m1,4,0,122,22.251802275415326,29.74933624829935,1.3369405264385077,0.7176729239108133,0.47239120161269677
