,MAE,MAE,RMSE,RMSE,tail_ratio,tail_ratio,NMAE,NMAE,R2_det,R2_det
,mean,std,mean,std,mean,std,mean,std,mean,std
channel,,,,,,,,,,
strain,15.786,1.2911,21.3111,2.1657,1.3485,0.0348,0.7333,0.0631,0.3265,0.1006
Pauli,64.0082,4.1683,90.9089,6.5222,1.4198,0.0183,0.685,0.0485,0.4039,0.0778
Velst,29.4034,1.2073,40.4443,1.3225,1.376,0.0239,0.7184,0.0508,0.3757,0.0523
oi,44.3201,2.5894,62.6573,2.8987,1.4149,0.0397,0.6845,0.0498,0.4093,0.0652
disp,1.643,0.0699,2.1389,0.1009,1.3019,0.0286,0.2858,0.0211,0.9078,0.0105
