model,fold,seed,n_train,n_val,n_test_original,n_test_kept,best_epoch,final_epoch,elapsed_s,test_mae_mean_original
m1,0,42,432,76,126,114,404,10404,3723.5321686267853,38.10023498535156
m1,1,142,431,75,128,124,15110,25110,8693.076533555984,33.02113342285156
m1,2,242,431,75,127,116,527,10527,3681.4739186763763,38.351478576660156
m1,3,342,431,75,127,119,768,10768,3800.156553506851,39.422607421875
m1,4,442,431,76,126,122,1691,11691,4996.5205335617065,31.13525390625
