model,fold,member,channel,n_test,MAE,RMSE,tail_ratio,NMAE,R2_det
m1,0,0,strain,114,15.476224520750213,20.612320357091807,1.33187007783812,0.69095590704758,0.3819919935945514
m1,0,0,Pauli,114,64.50756747680798,90.3690696355509,1.4009064853986435,0.7010972539673446,0.3792816092351152
m1,0,0,Velst,114,29.15113843010183,40.28904471931022,1.3820744879626123,0.7260710361733214,0.33476462275105656
m1,0,0,oi,114,43.31215692507593,59.64557246905793,1.3771092622386958,0.7025810587484209,0.38449218789778805
m1,0,0,disp,114,1.6080911792161172,2.08965825973904,1.299465034537201,0.26576679952751014,0.9174994674514075
m1,1,0,strain,124,14.99270926367852,19.53815729897974,1.3031772280353002,0.8192687752600201,0.20866825397990407
m1,1,0,Pauli,124,64.49637199986365,93.1367926541466,1.444062507180148,0.7435801679806877,0.3272190354659609
m1,1,0,Velst,124,29.83493416155538,41.53126007377194,1.392034580967441,0.746624594353443,0.33713689943153446
m1,1,0,oi,124,44.69418067509128,64.79590181555018,1.4497614865476633,0.7176107136398965,0.3672746590731656
m1,1,0,disp,124,1.7258744578688376,2.289621096339901,1.3266440591323165,0.3034303303098657,0.8960511304642139
m1,2,0,strain,116,17.300777924471888,24.18041646486118,1.3976490866724594,0.6751018687377126,0.4018437096901687
m1,2,0,Pauli,116,65.58941484319753,93.7364804665064,1.4291403680090629,0.6567350583165592,0.4079440199888533
m1,2,0,Velst,116,28.80093791567046,40.23895763473351,1.3971405289839425,0.6467868547981188,0.4298490465427036
m1,2,0,oi,116,43.79147646344941,62.103210734656734,1.4181574989025827,0.6491525799466787,0.4205109177323486
m1,2,0,disp,116,1.5446955726064484,2.023530411115717,1.3099865416855598,0.2686973008235206,0.9178810938726301
m1,3,0,strain,119,16.915011842711632,22.958666796535706,1.3572953427418482,0.7808271438032975,0.22590171348836985
m1,3,0,Pauli,119,68.34579832012913,97.21583839984358,1.4224113374824925,0.705520875822899,0.37175108159003745
m1,3,0,Velst,119,31.21638558892643,41.737193008006145,1.3370283657314839,0.7792322360987637,0.34083733754101664
m1,3,0,oi,119,48.416272065218756,66.42385584708815,1.3719324725706354,0.7361017156495697,0.3566196060065867
m1,3,0,disp,119,1.6518510787927805,2.179149820090582,1.3192168761866634,0.27813616612805475,0.9100495648152699
m1,4,0,strain,122,14.24533432428954,19.26601434093844,1.3524438179094331,0.7002534527130339,0.4143392285457663
m1,4,0,Pauli,122,57.102000166158206,80.0863569476009,1.4025140400434606,0.6180032961610527,0.5331395999682677
m1,4,0,Velst,122,28.01378406657547,38.42516562720203,1.371652095835523,0.693329599808845,0.435879350809111
m1,4,0,oi,122,41.386513657257204,60.31817070826088,1.4574354150191622,0.6169269111086642,0.5176353912386744
m1,4,0,disp,122,1.6845295849393627,2.1126826032664168,1.25416770483284,0.3127335715605039,0.8976300601475663
