   4.00000000 -65.36403685 
   3.90000000 -65.36428224 
   3.80000000 -65.36438191 
   3.70000000 -65.36431321 
   3.60000000 -65.36404396 
   3.50000000 -65.36353594 
   3.40000000 -65.36274368 
   3.30000000 -65.36161553 
   3.20000000 -65.36014569 
   3.10000000 -65.35831970 
   3.00000000 -65.35607795 
   2.90000000 -65.35329821 
   2.80000000 -65.34983490 
   2.70000000 -65.34559833 
   2.60000000 -65.34059313 
   2.50000000 -65.33487543 
   2.40000000 -65.32864199 
   2.30000000 -65.32223950 
   2.20000000 -65.31637181 
   2.10000000 -65.36280806 
   2.00000000 -65.37558427 
   1.90000000 -65.38858811 
   1.80000000 -65.40166728 
