   4.00000000 -65.35054320 
   3.90000000 -65.35071465 
   3.80000000 -65.35073385 
   3.70000000 -65.35057882 
   3.60000000 -65.35021656 
   3.50000000 -65.34960837 
   3.40000000 -65.34870570 
   3.30000000 -65.34746001 
   3.20000000 -65.34586293 
   3.10000000 -65.34389521 
   3.00000000 -65.34149567 
   2.90000000 -65.33854829 
   2.80000000 -65.33491457 
   2.70000000 -65.33050507 
   2.60000000 -65.32532335 
   2.50000000 -65.31943200 
   2.40000000 -65.31302551 
   2.30000000 -65.30645915 
   2.20000000 -65.30045372 
   2.10000000 -65.34863504 
   2.00000000 -65.36162018 
   1.90000000 -65.37504278 
   1.80000000 -65.38821121 
