reaction_number,reaction_id,d_forming_min,barrier_dft,distortion_dft,interaction_dft,gate_result
0,dipolar_000009,1.9226323039780644,-24.04020656112698,81.79079249639472,-105.8309990575217,nonphysical_barrier
1,dipolar_000017,1.8972237413125528,-21.78431349270977,53.54869862404303,-75.3330121167528,nonphysical_barrier
5,dipolar_000041,1.5839763733402086,-11.235158069088357,71.30702716685482,-82.54218523594318,"structure_contaminated_bonded,nonphysical_barrier"
6,dipolar_000049,1.960295642141766,-8.916635852248874,81.97532432473963,-90.8919601769885,nonphysical_barrier
7,dipolar_000050,1.894892634056083,-10.613693971798057,87.92311289854115,-98.5368068703392,nonphysical_barrier
12,dipolar_000097,1.6986986620057132,-5.237814411375439,72.27702178122126,-77.5148361925967,"structure_contaminated_bonded,nonphysical_barrier"
14,dipolar_000145,1.7531646602358832,-8.053760268318001,137.30617985632853,-145.35994012464653,"structure_contaminated_bonded,nonphysical_barrier"
15,dipolar_000155,1.939322542203849,-1.7501346285571344,42.9891924886615,-44.739327117218636,nonphysical_barrier
17,dipolar_000172,1.378790749932708,24.30231677714619,107.19123992384993,-82.88892314670375,structure_contaminated_bonded
18,dipolar_000173,1.3284910246591806,29.570037118974142,89.73186233485467,-60.161825215880526,structure_contaminated_bonded
19,dipolar_000205,1.5835314746793003,0.23733954620547593,42.64871643984225,-42.41137689363677,structure_contaminated_bonded
22,dipolar_000245,1.8658105720302904,-7.83081128023332,48.95572034025099,-56.78653162048431,nonphysical_barrier
25,dipolar_000271,1.628119968399135,-14.554245858627837,102.09755717712687,-116.65180303575471,"structure_contaminated_bonded,nonphysical_barrier"
26,dipolar_000279,1.8227670542611856,-5.942500020581065,85.61208944383543,-91.5545894644165,nonphysical_barrier
30,dipolar_000339,1.7175272918937852,-23.845589923206717,66.54960570510593,-90.39519562831265,"structure_contaminated_bonded,nonphysical_barrier"
34,dipolar_000393,1.726293596147538,-12.846048836130649,71.22888828764553,-84.07493712377618,"structure_contaminated_bonded,nonphysical_barrier"
36,dipolar_000404,1.6997051390461817,-9.856927725486457,93.7856068580295,-103.64253458351595,"structure_contaminated_bonded,nonphysical_barrier"
37,dipolar_000411,1.634056140590035,-2.3379853694932535,79.364399147511,-81.70238451700425,"structure_contaminated_bonded,nonphysical_barrier"
38,dipolar_000415,1.801608336625916,-11.545497728220653,64.13928174116882,-75.68477946938947,nonphysical_barrier
39,dipolar_000418,1.964079426856256,-4.358497143606655,93.88691839255625,-98.24541553616291,nonphysical_barrier
41,dipolar_000455,1.418956672911474,18.84089468535967,150.6119049511617,-131.77101026580203,structure_contaminated_bonded
43,dipolar_000484,1.7065189266164027,-7.979802452842705,76.1416000475001,-84.12140250034281,"structure_contaminated_bonded,nonphysical_barrier"
46,dipolar_000514,1.666231020567076,-16.094551312969998,68.65887823473895,-84.75342954770895,"structure_contaminated_bonded,nonphysical_barrier"
47,dipolar_000517,1.4272184083033683,0.2668786202557385,146.48758386768168,-146.22070524742594,structure_contaminated_bonded
50,dipolar_000551,1.8594277145670384,-20.35475058775046,75.35336973881931,-95.70812032656977,nonphysical_barrier
53,dipolar_000583,1.7229928181800411,-11.210359258053359,96.88279482012149,-108.09315407817485,"structure_contaminated_bonded,nonphysical_barrier"
54,dipolar_000606,1.2738311485043847,64.62134445144329,134.17980167275527,-69.55845722131198,structure_contaminated_bonded
55,dipolar_000628,1.874541916442521,-6.964654661715031,58.40734693611739,-65.37200159783242,nonphysical_barrier
56,dipolar_000648,1.7556895758931874,-10.235275665385416,101.19705496102688,-111.4323306264123,"structure_contaminated_bonded,nonphysical_barrier"
58,dipolar_000700,1.562408299261112,17.995387995732017,132.29293765395414,-114.29754965822212,structure_contaminated_bonded
59,dipolar_000721,1.768550173334079,-13.545878591714427,90.65394200693117,-104.1998205986456,"structure_contaminated_bonded,nonphysical_barrier"
60,dipolar_000732,1.6867833308104512,-5.622240342141595,104.14751741927466,-109.76975776141626,"structure_contaminated_bonded,nonphysical_barrier"
62,dipolar_000759,1.899597614364684,-0.6587676386116073,61.26811267033918,-61.926880308950786,nonphysical_barrier
63,dipolar_000763,1.9405368244380208,-10.424246761773247,53.11585915629985,-63.540105918073095,nonphysical_barrier
65,dipolar_000784,2.856263790093625,-1.5695379012904596,5.427146761852782,-6.996684663143242,nonphysical_barrier
66,dipolar_000797,1.62926281992808,-15.113435764505994,100.17827491438948,-115.29171067889547,"structure_contaminated_bonded,nonphysical_barrier"
68,dipolar_000864,1.7232766805420423,-3.287105347495526,75.24023631116142,-78.52734165865695,"structure_contaminated_bonded,nonphysical_barrier"
69,dipolar_000876,1.793520494753266,-7.87799574440578,141.2193403019919,-149.0973360463977,"structure_contaminated_bonded,nonphysical_barrier"
76,dipolar_000991,1.9055015892147664,-5.143700485234149,103.10430545808049,-108.24800594331464,nonphysical_barrier
78,dipolar_001090,1.7044932773408057,5.643788041663356,125.54072277707746,-119.8969347354141,structure_contaminated_bonded
79,dipolar_001108,1.9396447070533305,-19.482306140707806,51.392698136973195,-70.875004277681,nonphysical_barrier
81,dipolar_001155,1.8644988058725056,-7.660909422091208,91.65806682087714,-99.31897624296835,nonphysical_barrier
82,dipolar_001156,2.024978102745805,-4.048144126078114,78.27000212896382,-82.31814625504194,nonphysical_barrier
83,dipolar_001158,2.1777464168493084,-11.363174701109529,28.752174548630137,-40.115349249739666,nonphysical_barrier
84,dipolar_001172,1.6140506820109457,5.058751299278811,77.82987018791027,-72.77111888863146,structure_contaminated_bonded
