arm,channel,metric,point,ci_low,ci_high
xgb_direct,strain,NMAE,0.39289941947510826,0.36494592991953206,0.4206889215110223
xgb_direct,strain,RMSE,13.050022146210356,12.050025950656314,14.019413726069335
xgb_direct,strain,R2,0.7890932812252096,0.7565435872532326,0.8164986507092258
xgb_direct,strain,slope,0.783206533789007,,
xgb_direct,Pauli,NMAE,0.27162079041099485,0.24896625439238848,0.2984489339670384
xgb_direct,Pauli,RMSE,36.69501359632882,32.62763295697945,41.29356496446944
xgb_direct,Pauli,R2,0.8950376558217623,0.872118157438249,0.9126869926326703
xgb_direct,Pauli,slope,0.8637931857413252,,
xgb_direct,elst,NMAE,0.307279340682109,0.2820529291765587,0.33608114820163415
xgb_direct,elst,RMSE,18.255238044805303,16.466421586442593,20.46145863127951
xgb_direct,elst,R2,0.8677332311299127,0.8424020324977202,0.8882970796101204
xgb_direct,elst,slope,0.8450173941399657,,
xgb_direct,oi,NMAE,0.2148390056811789,0.19437091166844436,0.23719923842246246
xgb_direct,oi,RMSE,19.71988173795332,17.424811516625077,22.27377790627686
xgb_direct,oi,R2,0.9285011943846904,0.9119137716399002,0.9419535559814537
xgb_direct,oi,slope,0.9093411835292602,,
xgb_direct,disp,NMAE,0.15622265255990028,0.14165328068973632,0.1715395799507761
xgb_direct,disp,RMSE,1.5860962627623747,1.3795515498292528,1.8232220667787722
xgb_direct,disp,R2,0.9544858060821365,0.9427930087404923,0.9647905565449661
xgb_direct,disp,slope,0.9528062079045081,,
xgb_direct,barrier,NMAE,0.39498182534061677,0.36844182113875645,0.4230307231874648
xgb_direct,barrier,RMSE,15.428912805857937,14.33743237553017,16.59141964614523
xgb_direct,barrier,R2,0.8038830250820312,0.7726860110064442,0.8297743062070992
xgb_direct,barrier,slope,0.8474065034864952,,
xgb_direct,barrier,rho_cancellation,0.2748522257903217,,
ridge_delta,strain,NMAE,0.4757415511182221,0.44437239144509233,0.5072684046549273
ridge_delta,strain,RMSE,15.359443623129554,14.165813825020832,16.53269834176368
ridge_delta,strain,R2,0.7078412577940552,0.6589508477891953,0.7481351264596374
ridge_delta,strain,slope,0.7336976941308723,,
ridge_delta,Pauli,NMAE,0.38073983689938823,0.3501592372292117,0.41010552786447846
ridge_delta,Pauli,RMSE,47.657628822760444,43.38666667904236,51.85635233642537
ridge_delta,Pauli,R2,0.8229547511863846,0.7930573390735745,0.8466624760912318
ridge_delta,Pauli,slope,0.8400850933477193,,
ridge_delta,elst,NMAE,0.43137120842500726,0.40165993815575685,0.46214017474242913
ridge_delta,elst,RMSE,23.167280999620168,21.16895470567794,25.024896729825002
ridge_delta,elst,R2,0.7869773043270629,0.7535528132352052,0.8180264543782656
ridge_delta,elst,slope,0.8056146667024966,,
ridge_delta,oi,NMAE,0.32877172024059614,0.30497315733244407,0.3528206899066709
ridge_delta,oi,RMSE,26.59397925520473,24.402816844777224,28.833812436258704
ridge_delta,oi,R2,0.869966028773349,0.8469916673194704,0.8875369065275786
ridge_delta,oi,slope,0.8792177375353627,,
ridge_delta,disp,NMAE,0.2188853816173992,0.20278667859772656,0.2350202026137735
ridge_delta,disp,RMSE,1.8550430922587609,1.670117173836709,2.048201296495152
ridge_delta,disp,R2,0.9377419122611521,0.9235006765913669,0.9486812355883372
ridge_delta,disp,slope,0.9504305965703481,,
ridge_delta,barrier,NMAE,0.37052507433599935,0.34711670636249004,0.39564509496085215
ridge_delta,barrier,RMSE,14.142222533080153,13.175107561210933,15.071666725842785
ridge_delta,barrier,R2,0.835229344373059,0.8115972538885775,0.8571997710733634
ridge_delta,barrier,slope,0.8596098942378569,,
ridge_delta,barrier,rho_cancellation,0.1834480935130143,,
xgb_delta,strain,NMAE,0.39073820910154566,0.3618098960511232,0.4179104313496658
xgb_delta,strain,RMSE,12.997901827079973,12.013475168110393,13.969034878298165
xgb_delta,strain,R2,0.7907745924002868,0.7592710488685878,0.8182277608864563
xgb_delta,strain,slope,0.7861879680531766,,
xgb_delta,Pauli,NMAE,0.2694376059475135,0.24651972322098134,0.2962003796057164
xgb_delta,Pauli,RMSE,36.622806754783724,32.62784823258653,41.18034086254953
xgb_delta,Pauli,R2,0.8954503300137373,0.8727971558095773,0.9129838556625132
xgb_delta,Pauli,slope,0.8645161498440764,,
xgb_delta,elst,NMAE,0.3052129212736606,0.27927277254844984,0.3339627131772291
xgb_delta,elst,RMSE,18.19068907404786,16.381650787947756,20.361207287132167
xgb_delta,elst,R2,0.868666945553443,0.8438768291591487,0.8890478488104201
xgb_delta,elst,slope,0.8478026519705384,,
xgb_delta,oi,NMAE,0.21369663701648894,0.19367682038831927,0.23556300721957088
xgb_delta,oi,RMSE,19.6859316126327,17.417723813260974,22.16631912020519
xgb_delta,oi,R2,0.9287471698849186,0.9126195669593724,0.9419694682137614
xgb_delta,oi,slope,0.9097663872019093,,
xgb_delta,disp,NMAE,0.15517275181369403,0.14005121530496886,0.1698476508249299
xgb_delta,disp,RMSE,1.5715197150857874,1.3653608521431442,1.8048678887418093
xgb_delta,disp,R2,0.9553185313833558,0.9437510278937521,0.9655356752929264
xgb_delta,disp,slope,0.9574711396139246,,
xgb_delta,barrier,NMAE,0.39298884623988345,0.3669836060120269,0.42208891207629645
xgb_delta,barrier,RMSE,15.38221088647808,14.28753019431311,16.579305827728255
xgb_delta,barrier,R2,0.8050684848064337,0.7737333815790052,0.8309787422142421
xgb_delta,barrier,slope,0.8473290542625018,,
xgb_delta,barrier,rho_cancellation,0.2764293881943359,,
