variant,rho,cov_strain_strain,cov_strain_Pauli,cov_strain_V_elst,cov_strain_oi,cov_strain_disp,cov_Pauli_Pauli,cov_Pauli_V_elst,cov_Pauli_oi,cov_Pauli_disp,cov_V_elst_V_elst,cov_V_elst_oi,cov_V_elst_disp,cov_oi_oi,cov_oi_disp,cov_disp_disp
M_b,0.08264082717568147,646.5035378917224,1499.5765985080534,-637.484134946579,-1347.5179230762828,-1.8056407026437071,12788.14183601266,-5091.5595258139265,-9783.020881648788,0.4470769083569237,2228.998154135547,3710.4906386206885,-1.9221695337422535,8205.608494005855,-8.986364882702132,3.9646070981299943
M_delta,0.13338777248722045,754.1442568634515,1283.9043243428714,-552.6978487075261,-1197.0512213489715,-2.9360689075927127,11597.84752950641,-4553.615755938442,-8601.72683013544,-11.537688250903166,2051.641419329728,3235.784981264049,5.91758638510312,7440.8133758597805,3.0279261201012444,6.660420959513434
M_bdelta,0.09826300018733775,620.4125027299444,1166.6092167321062,-490.62650650463615,-1131.8441366868024,-0.8917089925252352,10509.53575695145,-4014.9817676725656,-8243.719847932927,5.262683883745978,1744.265217246398,2984.8171368604912,-4.58110552520236,7190.977332961505,-13.556172937437461,4.2054754704508674
