arm,family,channel,metric,point,ci_low,ci_high
xgb_28d,dipolar,strain,NMAE,0.26682973992572656,0.23541369214303914,0.3040414141764002
xgb_28d,dipolar,strain,RMSE,10.543548658673066,9.274838742291905,11.915877462873018
xgb_28d,dipolar,strain,R2,0.8984214462879677,0.8712370878221348,0.9214089602928867
xgb_28d,dipolar,strain,slope,0.9029085685355427,,
xgb_28d,dipolar,Pauli,NMAE,0.14598504324661868,0.11784816201108245,0.17856578614548668
xgb_28d,dipolar,Pauli,RMSE,28.041543444061062,18.96881126964033,37.41748231893886
xgb_28d,dipolar,Pauli,R2,0.9518590332528261,0.9229854712088887,0.9759049820218937
xgb_28d,dipolar,Pauli,slope,0.9188660034638474,,
xgb_28d,dipolar,elst,NMAE,0.15001526509034238,0.1243969615804944,0.18123612332978936
xgb_28d,dipolar,elst,RMSE,13.522422871527194,9.657717232316987,17.560299108786104
xgb_28d,dipolar,elst,R2,0.9547923269637597,0.9310368972852466,0.9747426205539105
xgb_28d,dipolar,elst,slope,0.9191868339759006,,
xgb_28d,dipolar,oi,NMAE,0.09394304919597667,0.07625994127808786,0.11402077254492983
xgb_28d,dipolar,oi,RMSE,13.869318683915361,9.950565634750513,18.087767942448547
xgb_28d,dipolar,oi,R2,0.9781061216746267,0.9650267120846943,0.9879896934283698
xgb_28d,dipolar,oi,slope,0.9566468648307975,,
xgb_28d,dipolar,disp,NMAE,0.4749156861195772,0.4173788733053887,0.5337012002806216
xgb_28d,dipolar,disp,RMSE,2.876649616941041,2.4024508602502412,3.394283627015203
xgb_28d,dipolar,disp,R2,0.7487570766967188,0.6793247388907208,0.8078498603134376
xgb_28d,dipolar,disp,slope,0.7413177313907331,,
xgb_28d,dipolar,barrier,NMAE,0.9823005638435016,0.8525078068245957,1.1165379534974467
xgb_28d,dipolar,barrier,RMSE,11.94398888221319,9.926669505052727,13.888109483414931
xgb_28d,dipolar,barrier,R2,0.0982276594746041,-0.2788444908212129,0.3450062345561429
xgb_28d,dipolar,barrier,slope,0.41391583329411813,,
xgb28_delta,dipolar,strain,NMAE,0.26581412078680317,0.23441820090808166,0.3027548983924798
xgb28_delta,dipolar,strain,RMSE,10.503011909602169,9.216477120889756,11.89870071318767
xgb28_delta,dipolar,strain,R2,0.8992010222903447,0.8722865455303501,0.921186810880734
xgb28_delta,dipolar,strain,slope,0.9046125900187958,,
xgb28_delta,dipolar,Pauli,NMAE,0.1449110035874342,0.11696187048767202,0.17735307287870664
xgb28_delta,dipolar,Pauli,RMSE,27.983445667960613,18.809543503836537,37.447293378583204
xgb28_delta,dipolar,Pauli,R2,0.9520583080007763,0.9228158837383441,0.976213175892351
xgb28_delta,dipolar,Pauli,slope,0.9189358059688227,,
