family,arm,strain,Pauli,elst,oi,disp,barrier
dipolar,xgb_28d,0.26682973992572656,0.14598504324661868,0.15001526509034238,0.09394304919597667,0.4749156861195772,0.9823005638435016
dipolar,xgb28_delta,0.26581412078680317,0.1449110035874342,0.1477532205159073,0.09286105124470308,0.3827110753933308,0.9860346772134952
qmrxn20_e2,xgb_28d,0.22568606622606677,0.2309764464134632,0.3255336605041975,0.15841569223982177,0.22809746161931524,0.44641456910659744
qmrxn20_e2,xgb28_delta,0.22897554190815314,0.22928616169500288,0.3039093356769959,0.16008132607349454,0.200050468081328,0.44992182391125773
qmrxn20_sn2,xgb_28d,0.2364772671048775,0.23125802517913002,0.2544149719664072,0.20451564506228648,0.18787622016412692,0.29988228641765136
qmrxn20_sn2,xgb28_delta,0.22116109796974914,0.19875037227029482,0.2280192624572542,0.1888430426460736,0.1869295089019016,0.29240784230183775
rgd1,xgb_28d,0.34095881705229897,0.3113653416758772,0.36599692851899984,0.23754358619810617,0.5987267281473706,0.6882582984346873
rgd1,xgb28_delta,0.3408044952839003,0.3083449192555979,0.35862911715802687,0.23647526684040765,0.535332394387965,0.696771629268419
