channel,n,mean_signed,std,mae,median_abs,p95,delta_prop,pearson_r
elst,218,14.806761060231999,9.735684096302979,15.80455699939327,15.581823229756285,28.741124620729654,13.768336487971723,0.8427387701144492
pauli,218,-33.04648825561549,18.871697266910253,34.35677776441874,33.5318317917169,61.913824074534354,26.68861021986375,0.8369736877587378
oi,218,17.634017228316015,12.55248365962931,19.382976085149437,20.079467515652592,34.89295936337093,17.751892632914434,0.7541174260733917
disp,218,-0.633285039023358,1.7992329283996522,1.279692165845917,0.7693031149715583,3.8388745865200473,2.5444996092110483,0.926528333694817
cpcm,218,1.9412374918401714,3.8899254789640976,2.827929662200741,1.560051930977746,10.777854672012708,5.501185368971685,0.7415007352051587
cds,218,-0.16709976813789418,0.47340978673755924,0.3332931071881073,0.2140693349932543,1.1867892311895814,0.6695025409644109,0.891667204306398
d1,218,-8.319510334929971,6.305663211723608,8.78097765556107,7.818630151564366,17.866868308012293,8.917554433776617,0.7029011686647523
d2,218,-6.575777772656207,4.961173710263985,6.789677643027014,6.024891589717081,14.672392538155574,7.016159146344176,0.7805193691661498
