rxn_id,elst_dft,pauli_dft,oi_dft,disp_dft,cpcm_dft,cds_dft,e_bond_kcal,e_frag1_dist_eh,e_frag1_rel_eh,e_frag2_dist_eh,e_frag2_rel_eh,d1_b3lyp,d2_b3lyp,sum_dist_b3lyp
3,-22.520497567532797,56.858437850154424,-30.067347373219892,-5.261464693715603,-0.5449016168595373,-2.81765251583119,-4.352634188301168,-321.178836459575,-321.206519767909,-116.619670155125,-116.631021071938,17.371538253007103,7.122807839460145,24.494346092467246
6,-43.68963842244333,82.7533369919992,-38.128895133255234,-5.881678366127561,-1.5898222354462486,-2.128871196943094,-8.664626533246638,-384.536877355206,-384.547005692044,-228.917010706158,-228.919498536019,6.355627322361281,1.5611368076322454,7.916764129993526
52,-21.196870184814642,56.3385886705336,-25.666205510305645,-11.713155472322494,-4.072672028715917,-3.432917899534476,-9.741149783966115,-399.826077160204,-399.836494311485,-324.564448324278,-324.581222656069,6.536861121569693,10.52605211992914,17.062913241498833
81,-9.640886320200314,48.92189700545857,-24.082501680484356,-11.798942731778293,-6.673854421057034,-3.113415740479035,-6.3895309451251485,-689.498920455591,-689.51049104192,-469.726223214695,-469.735227192462,7.260652541885934,5.65008135305139,12.910733894937323
113,-45.164803695562455,106.36969332242677,-54.4617784284267,-10.356109947061219,-11.95702611075227,-2.95656328408938,-18.522574279114437,-357.92609992676,-357.947942182548,-604.151024699756,-604.177366512593,13.706222441871798,16.529737119225558,30.235959561097356
114,-12.110506268477362,40.080192381458055,-15.971230759984673,-11.46779907971098,-6.84767266284409,-2.643738014090812,-8.959688955313851,-437.896689365367,-437.922516238884,-406.569220225156,-406.573180792427,16.20660781732317,2.4852934852218396,18.69190130254501
121,-52.85606796685191,124.88522004263797,-62.48534536178205,-12.148284409597226,-3.9555975861399646,-2.525179448857753,-9.083440788954254,-486.407055832351,-486.429304674896,-287.700311551989,-287.726085885618,13.961359483941441,16.173638539852966,30.13499802379441
124,-31.240692511994673,69.14423073258814,-32.177966390343755,-7.429254090991039,-5.693211480427028,-1.5588267187296387,-8.954605689317306,-994.765534773332,-994.773020226135,-188.015443150329,-188.034258812372,4.697192551567817,11.807006192758655,16.504198744326473
126,-31.101766871761946,68.95973334631866,-32.16329572084774,-7.4111516349323185,-5.714492209220929,-1.5563004283380082,-8.986408496972299,-994.765689477804,-994.77299820269,-188.014710977625,-188.034261630498,4.586294109286995,12.268219901940299,16.854514011227295
136,-55.515997607901966,116.09801078865208,-55.91783490854355,-9.306388190737502,-8.3971673744302,-2.9739181253607008,-16.02701032813793,-737.289322903513,-737.325957555881,-116.61388801955,-116.631021071938,22.9885914399153,10.751152693083291,33.739744132998595
155,-18.890531778492818,56.65181899789767,-27.08127238131627,-12.681572332114591,-9.459462475334771,-3.072811484940834,-14.522377649373436,-457.815526854276,-457.82265610539,-384.984031759709,-385.005325242661,4.473672617015331,13.361862288174528,17.83553490518986
201,-19.320664171580322,53.49604580316085,-23.469389658292265,-10.373310107247182,-6.565421411448404,-3.29811512204824,-9.537315316747673,-634.443937697849,-634.45231134935,-285.288726842158,-285.301654148974,5.254545649355397,8.112007501184777,13.366553150540174
